,https://roic.ai/company/ZEPP,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,896458000,1556476000,2048896000,3645335000,5812255000,6433363000,6250109000
2,COGS,785867000,1280324000,1554194000,2705885000,4344512000,5100698000,4944467000
3,Gross Profit,110591000,276152000,494702000,939450000,1467743000,1332665000,1305642000
4,Gross Profit Ratio,0.1234,0.1774,0.2414,0.2577,0.2525,0.2071,0.2089
5,Research and Development Exp.,61553000,132304000,153827000,263220000,430822000,538009000,515081000
6,General and Administrative Exp.,69984000,102644000,114880000,213973000,248462000,261805000,258346000
7,Selling and Marketing Exp.,19168000,27821000,44026000,96538000,181975000,358655000,438273000
8,"Selling, General and Administrative Exp.",89152000,130465000,158906000,310511000,430437000,620460000,696619000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,150705000,262769000,312733000,573731000,861259000,1158469000,1211700000
11,COGS and Expenses,936572000,1543093000,1866927000,3279616000,5205771000,6259167000,6156167000
12,Interest Income ,255000,754000,3003000,11595000,33478000,46118000,16686000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,44884000
14,Depreciation and Amortization,285000,2399000,3717000,6216000,17215000,27129000,- -
15,EBITDA,-38465000,29433000,199010000,398298000,670298000,287036000,193432000
16,EBITDA ratio,-0.0429,0.0189,0.0971,0.1093,0.1153,0.0446,0.0309
17,Operating Income,-40114000,13383000,181969000,365719000,606484000,174196000,93942000
18,Operating Income ratio,-0.0447,0.0086,0.0888,0.1003,0.1043,0.0271,0.0150
19,Total Other Income Expenses (Gains),1364000,15480000,9931000,20894000,45886000,91413000,12727000
20,Income Before Tax,-38750000,28863000,191900000,386613000,652370000,265609000,106669000
21,Income Before Tax Ratio,-0.0432,0.0185,0.0937,0.1061,0.1122,0.0413,0.0171
22,Income Tax expense (Gain),-897000,3088000,27611000,52036000,77887000,31154000,10745000
23,Net Income,-37853000,23946000,167682000,340046000,575196000,228753000,137803000
24,Net Income ratio,-0.0422,0.0154,0.0818,0.0933,0.0990,0.0356,0.0220
25,EPS,-1.03,-0.20,0.78,6.00,9.40,3.68,2.22
26,EPS Diluted,-1.03,-0.20,0.78,5.40,8.96,3.52,2.12
27,Weighted Average Shares Outstanding,59434117,59434117,59434116,52968426,60912046,62117671,62117671
28,Weighted Average Shares Outstanding Diluted,59434117,59434117,59434116,56258662,63989793,65087998,65087998
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1720446/000156459019011452/hmi-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1720446/000110465920050322/a20-3630_120f.htm,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,219987000,153152000,366336000,1441802000,1803117000,2273349000,1468499000
32,Short-Term Investments,- -,9236000,13721000,147451000,17187000,23430000,24351000
33,Cash and Short-Term Investments,219987000,162388000,380057000,1589253000,1820304000,2296779000,1492850000
34,Net Receivables,205672000,498823000,641004000,757474000,1663957000,1279997000,- -
35,Inventory,89946000,192372000,249735000,484622000,893806000,1217537000,1249327000
36,Other Current Assets,4044000,6260000,24564000,26107000,14385000,33553000,1188776000
37,Total Current Assets,519649000,859843000,1295360000,2857456000,4392452000,4827866000,3930953000
38,PP&E,2926000,10801000,28755000,40042000,173032000,275784000,242308000
39,Goodwill,- -,- -,5930000,5930000,5930000,62515000,61055000
40,Intangible Assets,- -,1223000,5339000,63722000,85753000,145213000,135582000
41,Intangible Assets,- -,1223000,11269000,69652000,91683000,207728000,196637000
42,Investments,2000000,78057000,85238000,208949000,406099000,443986000,1552591000
43,Tax Assets,4504000,22972000,41895000,75032000,102649000,120190000,143419000
44,Other Non-Current Assets,- -,- -,3000000,7350000,8828000,28165000,- -
45,Total Non-Current Assets,9430000,113053000,170157000,401025000,782291000,1075853000,2134955000
46,Other Assets,- -,- -,- -,- -,- -,- -,4289503000
47,Total Assets,529079000,972896000,1465517000,3258481000,5174743000,5903719000,6085501000
48,Accounts Payable,252073000,524072000,707782000,1064106000,1999951000,1951335000,1317306000
49,Short-Term Debt,- -,12662000,35243000,38936000,34983000,552791000,461795000
50,Tax Payable,301000,29527000,28169000,58764000,84467000,27706000,2595000
51,Deferred Revenue,4046000,15044000,28559000,47806000,104378000,94282000,4230000
52,Other Current Liabilities,21704000,82592000,105665000,236844000,342488000,191266000,368801000
53,Total Current Liabilities,277823000,634370000,877249000,1387692000,2481800000,2789674000,2152132000
54,Long-Term Debt,- -,- -,- -,- -,76360000,176245000,797968000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,2470000,4962000,5399000,22374000,26909000
57,Other Non-Current Liabilities,272279000,308347000,357634000,56249000,113596000,185168000,175053000
58,Total Non-Current Liabilities,272279000,308347000,360104000,61211000,195355000,383787000,999930000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,109159000,164365000,71117000
61,Total Liabilities,550102000,942717000,1237353000,1448903000,2677155000,3173461000,3152062000
62,Preferred Stock,- -,- -,349618000,- -,- -,- -,- -
63,Common Stock,56000,56000,56000,151000,155000,157000,159000
64,Retained Earnings,-60436000,-36490000,131192000,340046000,910612000,1133368000,1271171000
65,Other Comprehensive Income/Loss,10226000,15791000,22100000,97141000,111081000,44624000,29271000
