,https://roic.ai/company/SRTS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,10478920,5810205,10273094,14811175,20587827,26427190,27263248,9576932,27042000
2,COGS,3600348,2054798,3698687,4965372,6787836,9516302,9706104,4327839,10054000
3,Gross Profit,6878572,3755407,6574407,9845803,13799991,16910888,17557144,5249093,16988000
4,Gross Profit Ratio,0.6564,0.6463,0.6400,0.6648,0.6703,0.6399,0.6440,0.5481,0.6282
5,Research and Development Exp.,1333111,1576775,1466728,1824150,5490489,6260406,6417619,4157430,3436000
6,General and Administrative Exp.,1453344,1650651,1586401,3469332,3721627,4124214,4004682,3989110,4594000
7,Selling and Marketing Exp.,3965276,4208241,3742535,4915440,8305315,8531622,9103136,5336427,4838000
8,"Selling, General and Administrative Exp.",5418620,5858892,5328936,8384772,12026942,12655836,13107818,9325537,9432000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,6751731,7435667,6795664,10208922,17517431,18916242,19525437,13482967,12868000
11,COGS and Expenses,10352079,9490465,10494351,15174294,24305267,28432544,29231541,17810806,22922000
12,Interest Income ,1253,820,1776,38538,75807,139278,268290,66785,- -
13,Interest Expense (Gain),20467,20030,17786,21867,68881,156685,- -,14230,1000
14,Depreciation and Amortization,265557,272649,315599,337583,387917,658255,545717,721865,613000
15,EBITDA,393651,-3406791,96118,13002,-3253716,-1207821,-1154286,-6099431,4733000
16,EBITDA ratio,0.0376,-0.5863,0.0094,0.0009,-0.1580,-0.0457,-0.0423,-0.6369,0.1750
17,Operating Income,126841,-3680260,-221257,-363119,-3717440,-2005354,-1968293,-8233874,4120000
18,Operating Income ratio,0.0121,-0.6334,-0.0215,-0.0245,-0.1806,-0.0759,-0.0722,-0.8598,0.1524
19,Total Other Income Expenses (Gains),-19214,-19210,-16010,16671,6926,-17407,268290,1398348,-1000
20,Income Before Tax,107627,-3699470,-237267,-346448,-3710514,-2022761,-1700003,-6835526,4119000
21,Income Before Tax Ratio,0.0103,-0.6367,-0.0231,-0.0234,-0.1802,-0.0765,-0.0624,-0.7137,0.1523
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,107627,-3699470,-237267,-346448,-3710514,-2022761,-1700003,-6835526,4119000
24,Net Income ratio,0.0103,-0.6367,-0.0231,-0.0234,-0.1802,-0.0765,-0.0624,-0.7137,0.1523
25,EPS,-0.04,-0.43,-0.08,-0.03,-0.28,-0.14,-0.10,-0.42,0.25
26,EPS Diluted,-0.04,-0.43,-0.08,-0.03,-0.28,-0.14,-0.10,-0.42,0.25
27,Weighted Average Shares Outstanding,9885351,9885351,9885351,12028435,13236519,14115757,16323748,16434079,16461311
28,Weighted Average Shares Outstanding Diluted,9885351,9885351,9885351,12028435,13236519,14115757,16323748,16434079,16461311
