,https://roic.ai/company/CASS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,46500000,45600000,46800000,48200000,47900000,52994000,55553000,57374000,66449000,66842000,72217000,83255000,89582000,93930000,89969000,100317000,108685000,111194000,112271000,114330000,117119000,120721000,130878000,143357000,151956000,139921000,146604000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144956000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0360,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,24700000,23900000,24000000,25000000,26000000,28500000,30469000,31405000,37152000,38198000,38044000,42676000,46965000,49723000,50614000,51368000,56573000,65742000,69110000,69491000,73693000,75878000,81072000,89758000,94989000,92192000,97210000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2345000,2024000,2049000,2268000,2187000,2557000,3344000,3838000,2184000,2627000
8,"Selling, General and Administrative Exp.",24700000,23900000,24000000,25000000,26000000,28500000,30469000,31405000,37152000,38198000,38044000,42676000,46965000,49723000,50614000,51368000,56573000,68087000,71134000,71540000,75961000,78065000,83629000,93102000,98827000,94376000,99837000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19956000,23324000,25035000,21277000,22386000,25632000,25427000,17913000,15866000,16460000,15039000,15935000,19371000,22898000,26173000,20239000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,66000000,72000000,71000000,73000000,77000000,82000000,86000000,87000000,88000000,91000000,94000000,103000000,116000000,125000000,114615000,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114615000,- -
12,Interest Income ,26800000,28100000,29300000,30100000,30900000,37065000,36182000,31617000,28243000,30733000,38251000,47053000,49346000,44138000,43784000,49046000,50235000,45933000,41577000,39759000,38710000,39930000,41977000,47926000,52609000,47687000,45497000
13,Interest Expense (Gain),4100000,4600000,4300000,4300000,4400000,5185000,3872000,2273000,1861000,3095000,4687000,6619000,7964000,3378000,5053000,4875000,4374000,3148000,2832000,2460000,2111000,2029000,2187000,3736000,5193000,2362000,1171000
14,Depreciation and Amortization,2600000,2700000,2600000,2400000,2500000,2652000,3356000,4000000,4637000,3976000,2207000,2049000,3186000,4336000,4039000,4026000,4528000,6916000,7346000,8181000,8859000,9429000,11341000,11238000,10939000,11269000,5172000
15,EBITDA,16000000,16900000,17500000,18300000,16500000,18845000,17992000,16572000,17853000,18338000,22822000,32101000,37093000,33880000,30626000,36834000,40408000,41254000,40909000,42433000,42004000,43522000,48427000,51321000,53598000,43972000,40164000
16,EBITDA ratio,0.3441,0.3706,0.3739,0.3797,0.3445,0.3556,0.3239,0.2888,0.2687,0.2743,0.3160,0.3856,0.4141,0.3607,0.3404,0.3672,0.3718,0.3710,0.3644,0.3711,0.3586,0.3605,0.3700,0.3580,0.3527,0.3143,0.2740
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,9300000,9600000,10600000,11600000,9600000,11008000,10764000,10299000,11355000,11267000,16226000,23828000,25943000,26166000,21534000,27933000,31506000,31190000,30731000,31792000,31034000,32064000,34899000,36347000,37466000,30341000,33821000
21,Income Before Tax Ratio,0.2000,0.2105,0.2265,0.2407,0.2004,0.2077,0.1938,0.1795,0.1709,0.1686,0.2247,0.2862,0.2896,0.2786,0.2393,0.2784,0.2899,0.2805,0.2737,0.2781,0.2650,0.2656,0.2667,0.2535,0.2466,0.2168,0.2307
22,Income Tax expense (Gain),3100000,3100000,3600000,4200000,3400000,3861000,3739000,2987000,3453000,3262000,4982000,8367000,8148000,7160000,5405000,7623000,8497000,7887000,7234000,7759000,7978000,7716000,9885000,6079000,7062000,5165000,5217000
23,Net Income,6200000,6500000,7000000,7400000,6200000,7147000,7025000,7312000,7902000,8005000,10946000,15066000,17795000,19006000,16129000,20310000,23009000,23303000,23497000,24033000,23056000,24348000,25014000,30268000,30404000,25176000,28604000
24,Net Income ratio,0.1333,0.1425,0.1496,0.1535,0.1294,0.1349,0.1265,0.1274,0.1189,0.1198,0.1516,0.1810,0.1986,0.2023,0.1793,0.2025,0.2117,0.2096,0.2093,0.2102,0.1969,0.2017,0.1911,0.2111,0.2001,0.1799,0.1951
25,EPS,0.35,0.37,0.40,0.42,0.36,0.45,0.48,0.50,0.54,0.55,0.76,1.03,1.22,1.30,1.10,1.36,1.54,1.55,1.55,1.58,1.54,1.65,1.70,2.06,2.11,1.75,1.99
26,EPS Diluted,0.35,0.37,0.39,0.41,0.35,0.44,0.47,0.50,0.54,0.54,0.74,1.01,1.19,1.27,1.08,1.35,1.52,1.53,1.53,1.56,1.52,1.63,1.68,2.03,2.07,1.73,1.99
27,Weighted Average Shares Outstanding,17467068,17771062,17560753,17597338,17310073,15915400,14741151,14617612,14536679,14526611,14495914,14624175,14575474,14614926,14637068,14880336,14981645,15004859,15129776,15178737,14992079,14718521,14714118,14693204,14409479,14386286,13753571
28,Weighted Average Shares Outstanding Diluted,17575541,17875514,17855068,17876661,17571154,16120217,14931832,14710515,14683888,14815110,14869520,14954665,14959039,15064391,14890889,15087968,15117225,15227703,15354475,15399786,15216960,14925403,14933731,14910345,14687923,14552601,14003636
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708781/000095011401500013/0000950114-01-500013-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708781/000119380506000714/0001193805-06-000714-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/708781/000114544309000476/0001145443-09-000476-index.html,https://www.sec.gov/Archives/edgar/data/708781/000114420410012778/0001144204-10-012778-index.html,https://www.sec.gov/Archives/edgar/data/708781/000114420411014006/v214144_10k.htm,https://www.sec.gov/Archives/edgar/data/708781/000120677412001006/0001206774-12-001006-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677413000998/0001206774-13-000998-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677414000828/cass_10k.htm,https://www.sec.gov/Archives/edgar/data/708781/000120677415000808/cass_10k.htm,https://www.sec.gov/Archives/edgar/data/708781/000120677416004815/0001206774-16-004815-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677417000734/0001206774-17-000734-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677418000614/0001206774-18-000614-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677419000648/0001206774-19-000648-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677420000650/0001206774-20-000650-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677421000530/0001206774-21-000530-index.htm,https://www.sec.gov/Archives/edgar/data/708781/000162828022004254/0001628280-22-004254-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,90300000,67200000,99100000,179400000,124200000,115931000,31915000,24279000,17754000,23131000,29561000,26995000,26719000,10043000,39189000,79576000,136130000,127354000,171599000,212273000,185420000,148666000,169478000,194323000,190498000,424795000,12301000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,341935000,317767000,356141000,375696000,390552000,470523000,441534000,422665000,357726000,1176080000
