,https://roic.ai/company/MWA,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,1933400000,1849000000,1859300000,1427900000,1337500000,1339200000,1023900000,1120800000,1184700000,1164500000,1138900000,826000000,916000000,968000000,964100000,1111000000
2,COGS,1525700000,1385800000,1420300000,1171000000,1101100000,1105100000,752800000,807600000,836800000,817200000,774600000,558500000,626100000,647100000,635900000,752500000
3,Gross Profit,407700000,463200000,439000000,256900000,236400000,234100000,271100000,313200000,347900000,347300000,364300000,267500000,289900000,320900000,328200000,358500000
4,Gross Profit Ratio,0.2109,0.2505,0.2361,0.1799,0.1767,0.1748,0.2648,0.2794,0.2937,0.2982,0.3199,0.3238,0.3165,0.3315,0.3404,0.3227
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,253200000,274600000,239100000,219300000,219900000,204200000,214400000,220700000,216900000,235400000,156400000,166700000,182700000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,253200000,274600000,239100000,219300000,219900000,204200000,214400000,220700000,216900000,235400000,156400000,166700000,182700000,- -,218800000
9,Other Expenses,250100000,-36500000,- -,- -,- -,- -,- -,- -,- -,11600000,8300000,10400000,10500000,16300000,211400000,- -
10,Operating Expenses,250100000,216700000,274600000,239100000,219300000,219900000,204200000,214400000,220700000,228500000,243700000,166800000,177200000,199000000,211400000,218800000
11,COGS and Expenses,1775800000,1602500000,1694900000,1410100000,1320400000,1325000000,957000000,1022000000,1057500000,1045700000,1018300000,725300000,803300000,846100000,847300000,971300000
12,Interest Income ,- -,- -,- -,- -,300000,300000,300000,300000,400000,300000,400000,2000000,4400000,3500000,1100000,400000
13,Interest Expense (Gain),- -,- -,- -,78300000,36600000,65900000,52900000,50000000,48000000,25900000,22100000,20500000,23100000,22200000,25400000,22700000
14,Depreciation and Amortization,100000000,103900000,93100000,90200000,84600000,81600000,60600000,59200000,56700000,58100000,52600000,41900000,43700000,53000000,57800000,59600000
15,EBITDA,113100000,190600000,166800000,-914500000,52600000,88600000,13000000,158800000,178200000,134700000,171700000,209900000,162500000,157300000,177300000,177200000
16,EBITDA ratio,0.0585,0.1031,0.0897,-0.6405,0.0393,0.0662,0.0127,0.1417,0.1504,0.1157,0.1508,0.2541,0.1774,0.1625,0.1839,0.1595
17,Operating Income,129000000,210000000,146100000,-1000900000,4000000,6700000,64100000,97300000,124100000,109600000,120600000,100700000,121700000,124300000,116800000,131700000
18,Operating Income ratio,0.0667,0.1136,0.0786,-0.7010,0.0030,0.0050,0.0626,0.0868,0.1048,0.0941,0.1059,0.1219,0.1329,0.1284,0.1211,0.1185
19,Total Other Income Expenses (Gains),-115900000,-123300000,-72400000,-82100000,-72600000,-65600000,-61400000,-53100000,-50600000,-58900000,-23600000,-22200000,-26000000,-42200000,-22700000,-36800000
20,Income Before Tax,13100000,86700000,73700000,-1083000000,-68600000,-58900000,2700000,44200000,73500000,50700000,97000000,78500000,95700000,82100000,94100000,94900000
21,Income Before Tax Ratio,0.0068,0.0469,0.0396,-0.7585,-0.0513,-0.0440,0.0026,0.0394,0.0620,0.0435,0.0852,0.0950,0.1045,0.0848,0.0976,0.0854
22,Income Tax expense (Gain),8000000,38500000,31700000,-86300000,-23400000,-20800000,7900000,8800000,18000000,19800000,33100000,24200000,-9900000,18300000,22100000,24500000
23,Net Income,5100000,48200000,42000000,-996700000,-45200000,-38100000,-108400000,40800000,55500000,30900000,63900000,123300000,105600000,63800000,72000000,70400000
24,Net Income ratio,0.0026,0.0261,0.0226,-0.6980,-0.0338,-0.0284,-0.1059,0.0364,0.0468,0.0265,0.0561,0.1493,0.1153,0.0659,0.0747,0.0634
25,EPS,0.05,0.42,0.36,-8.55,-0.29,-0.23,-0.69,0.26,0.35,0.19,0.40,0.77,0.67,0.40,0.46,0.44
26,EPS Diluted,0.05,0.42,0.36,-8.55,-0.29,-0.23,-0.69,0.25,0.34,0.19,0.40,0.76,0.66,0.40,0.45,0.44
27,Weighted Average Shares Outstanding,102000000,114761905,115100000,116600000,154300000,155300000,156500000,157700000,159200000,160500000,161300000,160100000,158200000,157800000,157800000,158400000
28,Weighted Average Shares Outstanding Diluted,102000000,114761905,115500000,116600000,154300000,155300000,156500000,160300000,162200000,163200000,163400000,161800000,159700000,159000000,158600000,159200000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1350593/000119312507255091/0001193125-07-255091-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000095014408009023/0000950144-08-009023-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000119312509241519/0001193125-09-241519-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000119312510267819/0001193125-10-267819-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059311000017/0001350593-11-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059312000058/0001350593-12-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059313000043/0001350593-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059314000049/0001350593-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059315000049/0001350593-15-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059316000118/0001350593-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059317000062/0001350593-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059318000061/0001350593-18-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059319000064/0001350593-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059320000066/0001350593-20-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059321000061/0001350593-21-000061-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,81400000,98900000,183900000,61500000,83700000,61200000,83000000,123600000,161100000,113100000,195000000,361700000,347100000,176700000,208900000,227500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,81400000,98900000,183900000,61500000,83700000,61200000,83000000,123600000,161100000,113100000,195000000,361700000,347100000,176700000,208900000,227500000
34,Net Receivables,322900000,302100000,298200000,216300000,202500000,220800000,170400000,181600000,196700000,176800000,188200000,156200000,165900000,177500000,194800000,223900000
35,Inventory,454600000,453500000,459400000,342800000,268400000,237700000,183200000,208500000,198000000,219100000,213800000,138900000,156600000,191400000,162500000,184700000
36,Other Current Assets,76300000,95500000,108800000,125500000,81800000,79100000,53300000,55700000,68100000,40500000,15300000,13500000,15900000,21300000,15000000,17600000
37,Total Current Assets,935200000,950000000,1050300000,746100000,636400000,598800000,489900000,569400000,623900000,549500000,612300000,670300000,685500000,566900000,581200000,653700000
38,PP&E,337000000,351800000,356800000,296400000,264400000,243800000,144700000,141900000,146300000,148900000,155100000,122300000,150900000,217100000,279400000,310500000
39,Goodwill,865500000,870600000,871500000,- -,- -,- -,- -,- -,5400000,5400000,5400000,12900000,12100000,95700000,99800000,115100000
40,Intangible Assets,835400000,819300000,789800000,663600000,632400000,610900000,573700000,553100000,528200000,501900000,480600000,426400000,408100000,433700000,408800000,392500000
41,Intangible Assets,1700900000,1689900000,1661300000,663600000,632400000,610900000,573700000,553100000,533600000,507300000,486000000,439300000,420200000,529400000,508600000,507600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,16800000,17500000,21800000,33400000,35000000,31500000,32600000,17500000,13300000,24100000,27200000,26400000,35300000,23900000,25700000,46200000
45,Total Non-Current Assets,2054700000,2059200000,2039900000,993400000,931800000,886200000,751000000,712500000,693200000,680300000,668300000,588000000,606400000,770400000,813700000,864300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2989900000,3009200000,3090200000,1739500000,1568200000,1485000000,1240900000,1281900000,1317100000,1229800000,1280600000,1258300000,1291900000,1337300000,1394900000,1518000000
48,Accounts Payable,124800000,112300000,156000000,111700000,93200000,107600000,84500000,101200000,116000000,98700000,100800000,82500000,90000000,84600000,67300000,92000000
49,Short-Term Debt,9000000,6200000,9700000,11700000,700000,900000,1100000,1300000,46200000,6100000,5900000,5600000,700000,900000,1100000,5000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16500000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,25000000
52,Other Current Liabilities,117800000,121800000,129000000,97400000,89800000,86300000,82800000,80600000,82200000,63200000,79100000,53500000,76400000,93000000,81000000,98100000
53,Total Current Liabilities,251600000,240300000,294700000,220800000,183700000,194800000,168400000,183100000,244400000,168000000,185800000,141600000,167100000,178500000,155000000,220100000
54,Long-Term Debt,1118300000,1094300000,1085800000,728500000,691500000,677400000,621700000,599500000,499400000,482900000,479200000,475000000,444300000,445400000,446500000,470500000
