,https://roic.ai/company/III,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,18901000,174795000,132744000,132013000,184426000,192745000,210982000,209617000,209240000,216499000,269554000,275769000,265763000,249128000,277832000
2,COGS,- -,12246000,96311000,67674000,71528000,104823000,114429000,123985000,124132000,124701000,132359000,156630000,159921000,153179000,149878000,- -
3,Gross Profit,- -,6655000,78484000,65070000,60485000,79603000,78316000,86997000,85485000,84539000,84140000,112924000,115848000,112584000,99250000,- -
4,Gross Profit Ratio,- -,0.3521,0.4490,0.4902,0.4582,0.4316,0.4063,0.4123,0.4078,0.4040,0.3886,0.4189,0.4201,0.4236,0.3984,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,51161,7409000,51972000,- -,49889000,67717000,62909000,67823000,65434000,67841000,78863000,91046000,95400000,92518000,83785000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",51161,7409000,51972000,- -,49889000,67717000,62909000,67823000,65434000,67841000,78863000,91046000,95400000,92518000,83785000,78759000
9,Other Expenses,- -,910000,10000000,57456000,9846000,11034000,8857000,7473000,7373000,7083000,7869000,12721000,7771000,6708000,6196000,117488000
10,Operating Expenses,51161,8319000,61972000,57456000,59735000,78751000,71766000,75296000,72807000,74924000,86732000,103767000,103171000,99226000,89981000,196247000
11,COGS and Expenses,51161,20565000,158283000,125130000,131263000,183574000,186195000,199281000,196939000,199625000,219091000,260397000,263092000,252405000,239859000,- -
12,Interest Income ,294,10453000,1300000,262000,159000,75000,45000,20000,18000,14000,27000,107000,116000,194000,260000,142000
13,Interest Expense (Gain),3952,1174000,6928000,4550000,3241000,3458000,3146000,2712000,2229000,1789000,2664000,6821000,6688000,6267000,3563000,-2342000
14,Depreciation and Amortization,1664,982000,10000000,9562000,9846000,11034000,8857000,7474000,7373000,7083000,7869000,12721000,7771000,6708000,6196000,5331000
15,EBITDA,-49497,9855000,-45764000,10498000,-42004000,-49771000,15243000,19229000,19944000,16902000,5082000,21610000,20571000,20114000,15627000,26100000
16,EBITDA ratio,-Infinity,0.5214,-0.2618,0.0791,-0.3182,-0.2699,0.0791,0.0911,0.0951,0.0808,0.0235,0.0802,0.0746,0.0757,0.0627,0.0939
17,Operating Income,-51161,-1664000,-57642000,814000,-51741000,-60842000,6550000,11701000,12678000,9615000,-2592000,9157000,12677000,13358000,9269000,25267000
18,Operating Income ratio,-Infinity,-0.0880,-0.3298,0.0061,-0.3919,-0.3299,0.0340,0.0555,0.0605,0.0460,-0.0120,0.0340,0.0460,0.0503,0.0372,0.0909
19,Total Other Income Expenses (Gains),- -,9363000,-5050000,-4428000,-3350000,-3421000,-3310000,-2658000,-2210000,-1472000,-2732000,-7057000,-6565000,-6219000,-3401000,-2156000
20,Income Before Tax,- -,7699000,-62692000,-3614000,-55091000,-64263000,3240000,9043000,10468000,8143000,-5324000,2100000,6112000,7139000,5868000,23111000
21,Income Before Tax Ratio,- -,0.4073,-0.3587,-0.0272,-0.4173,-0.3484,0.0168,0.0429,0.0499,0.0389,-0.0246,0.0078,0.0222,0.0269,0.0236,0.0832
22,Income Tax expense (Gain),- -,3226000,-4783000,-778000,-1926000,-8326000,2637000,4267000,4164000,3189000,1054000,4198000,435000,3798000,3113000,7582000
23,Net Income,-54819,4473000,-57909000,-2836000,-53165000,-55937000,603000,4776000,6178000,4841000,-6505000,-2130000,5677000,3341000,2755000,15529000
24,Net Income ratio,-Infinity,0.2367,-0.3313,-0.0214,-0.4027,-0.3033,0.0031,0.0226,0.0295,0.0231,-0.0300,-0.0079,0.0206,0.0126,0.0111,0.0559
25,EPS,-0.01,0.12,-1.85,-0.09,-1.66,-1.54,0.02,0.13,0.17,0.13,-0.18,-0.05,0.13,0.07,0.06,0.32
26,EPS Diluted,-0.01,0.12,-1.85,-0.09,-1.66,-1.54,0.02,0.13,0.16,0.13,-0.18,-0.05,0.12,0.07,0.06,0.30
27,Weighted Average Shares Outstanding,7095560,36465000,31282000,31491000,32050000,36258000,36205000,36810000,37086000,37186000,36625000,43025000,44673000,46917000,47717000,48638000
28,Weighted Average Shares Outstanding Diluted,7095560,38376000,31282000,31491000,32050000,36258000,37626000,38687000,38693000,38936000,36625000,43025000,46067000,47620000,49972000,51756000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1371489/000104746908003541/0001047469-08-003541-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746909002741/0001047469-09-002741-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1371489/000104746911002222/0001047469-11-002222-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746912002765/0001047469-12-002765-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746913002665/0001047469-13-002665-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746914001991/0001047469-14-001991-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746915002152/0001047469-15-002152-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837016003969/0001558370-16-003969-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837017001838/0001558370-17-001838-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837018002157/0001558370-18-002157-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837019002121/0001558370-19-002121-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837020002405/0001558370-20-002405-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837021002901/0001558370-21-002901-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837022003397/0001558370-22-003397-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,88911,47177000,61146000,42786000,40301000,24469000,23499000,35085000,27662000,17835000,34485000,28420000,18636000,18153000,43730000,47521000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,88911,47177000,61146000,42786000,40301000,24469000,23499000,35085000,27662000,17835000,34485000,28420000,18636000,18153000,43730000,47521000
34,Net Receivables,- -,34943000,29105000,26273000,26603000,42851000,40920000,38688000,41148000,49484000,64662000,70824000,75934000,77076000,67473000,64344000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,10384,4965000,3890000,3561000,4133000,5448000,2996000,2941000,3268000,4175000,7104000,4467000,3620000,4572000,3412000,4245000
37,Total Current Assets,99295,87085000,94141000,72620000,71037000,72768000,67415000,76714000,72078000,71494000,106251000,103711000,98190000,99801000,114615000,116110000
38,PP&E,46641,2673000,2771000,2586000,2113000,2954000,3074000,3213000,3478000,3021000,4789000,5229000,6636000,12586000,10910000,5293000
39,Goodwill,- -,146333000,95249000,95065000,48474000,34691000,34691000,34691000,36400000,37286000,85940000,85619000,85389000,85349000,91008000,90790000
40,Intangible Assets,- -,118278000,85016000,70072000,55746000,35070000,27920000,22093000,18335000,13860000,35113000,25684000,20622000,16605000,15064000,12410000
41,Intangible Assets,- -,264611000,180265000,165137000,104220000,69761000,62611000,56784000,54735000,51146000,121053000,111303000,106011000,101954000,106072000,103200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2521000,2944000,3589000,2255000,2197000
44,Other Non-Current Assets,670807,2921000,2411000,1630000,7194000,996000,2885000,3163000,3878000,5682000,3029000,1996000,950000,825000,5668000,9994000
45,Total Non-Current Assets,717448,270205000,185447000,169353000,113527000,73711000,68570000,63160000,62091000,59849000,128871000,121049000,116541000,118954000,124905000,120684000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,816743,357290000,279588000,241973000,184564000,146479000,135985000,139874000,134169000,131343000,235122000,224760000,214731000,218755000,239520000,236794000
48,Accounts Payable,612219,4760000,2635000,1859000,1656000,4089000,6072000,6024000,7312000,6700000,9724000,7192000,8453000,8862000,11176000,16162000
49,Short-Term Debt,253952,950000,950000,2000000,- -,7000000,10000000,3375000,3938000,2250000,5546000,15499000,8250000,14013000,6850000,4300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,2979000,4770000,3928000,6094000,4545000,4657000,4839000,4264000,5459000,- -
51,Deferred Revenue,- -,2128000,1472000,1672000,1175000,4604000,3652000,3944000,4898000,5154000,9112000,8898000,6187000,4935000,5121000,- -
52,Other Current Liabilities,- -,20814000,19948000,9392000,10701000,16748000,13209000,21189000,21116000,17076000,27971000,21486000,17759000,13441000,27514000,36376000
53,Total Current Liabilities,866171,28652000,25005000,14923000,13532000,32441000,32933000,34532000,37264000,31180000,52353000,53075000,40649000,41251000,50661000,56838000
54,Long-Term Debt,- -,94050000,93100000,69813000,69813000,63063000,53063000,53371000,49434000,48531000,116485000,98838000,89212000,74823000,73551000,72971000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,43800000,30902000,25411000,19336000,10305000,5732000,2432000,- -,- -,396000,1569000,1790000,3472000,3811000,2824000
57,Other Non-Current Liabilities,- -,- -,- -,201000,66000,4786000,5948000,6296000,6754000,5460000,8852000,7741000,4493000,9535000,12360000,5768000
58,Total Non-Current Liabilities,- -,137850000,124002000,95425000,89215000,78154000,64743000,62099000,56188000,53991000,125733000,108148000,95495000,87830000,89722000,81563000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8026000,6882000,- -
61,Total Liabilities,866171,166502000,149007000,110348000,102747000,110595000,97676000,96631000,93452000,85171000,178086000,161223000,136144000,129081000,140383000,138401000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8086,31000,31000,32000,33000,37000,37000,38000,38000,38000,44000,44000,45000,48000,48000,49000
64,Retained Earnings,-54819,4418000,-53505000,-56430000,-109595000,-165532000,-164929000,-160153000,-154020000,-149179000,-155684000,-157814000,-150098000,-146757000,-144002000,-128473000
65,Other Comprehensive Income/Loss,-1664,-739000,-2412000,-1521000,-1553000,-2247000,-2043000,-2448000,-4582000,-6538000,-7800000,-5666000,-7155000,-7138000,-4671000,-6940000
66,Other Total Stockholders Equity,-1031,187078000,186467000,189544000,192932000,203626000,205244000,205806000,199281000,201851000,220476000,226973000,235795000,243521000,247762000,233757000
67,Total Stockholders Equity,-49428,190788000,130581000,131625000,81817000,35884000,38309000,43243000,40717000,46172000,57036000,63537000,78587000,89674000,99137000,98393000
68,Total Liabilities And Stockholders Equity,816743,357290000,279588000,241973000,184564000,146479000,135985000,139874000,134169000,131343000,235122000,224760000,214731000,218755000,239520000,236794000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,816743,357290000,279588000,241973000,184564000,146479000,135985000,139874000,134169000,131343000,235122000,224760000,214731000,218755000,239520000,236794000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1371489/000104746908003541/0001047469-08-003541-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746909002741/0001047469-09-002741-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1371489/000104746911002222/0001047469-11-002222-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746912002765/0001047469-12-002765-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746913002665/0001047469-13-002665-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746914001991/0001047469-14-001991-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746915002152/0001047469-15-002152-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837016003969/0001558370-16-003969-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837017001838/0001558370-17-001838-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837018002157/0001558370-18-002157-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837019002121/0001558370-19-002121-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837020002405/0001558370-20-002405-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837021002901/0001558370-21-002901-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837022003397/0001558370-22-003397-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-54819,4473000,-57909000,-2836000,-53165000,-55937000,603000,4776000,6178000,4841000,-6505000,-2130000,5677000,3341000,2755000,15529000
74,Depreciation and Amortization,1664,982000,10000000,9562000,9846000,11034000,8857000,7474000,7373000,7083000,7869000,12721000,7771000,6708000,6196000,5331000
75,Deferred Income Tax,- -,-298000,-12152000,-5653000,-6763000,-11003000,-2643000,-2665000,-2135000,-2268000,-1757000,-675000,-443000,1090000,830000,- -
76,Stock Based Compensation,- -,- -,1963000,2831000,3087000,3143000,2797000,3385000,3107000,5049000,7047000,7439000,9862000,9589000,8891000,- -
77,Change in Working Capital,6287,59199876,10703000,-11439000,-192000,-17178000,-5845000,7700000,-7368000,5500000,13584000,-3262000,6905000,1009000,5404000,-4682000
78,Accounts Receivable,- -,- -,4761000,2856000,-675000,-6238000,931000,897000,-2321000,-7506000,2068000,-6028000,- -,- -,817000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-2125000,-776000,-202000,-236000,1953000,-48000,1121000,-612000,1732000,-2381000,879000,243000,2070000,- -
81,Other Working Capital,-766876,58433000,69136000,57697000,57505000,40327000,34482000,42182000,34814000,40314000,53898000,50636000,57541000,58550000,63954000,59272000
82,Other Non-Cash Items,- -,-58435876,67876000,11591000,52934000,70812000,6961000,2385000,-148000,-13392000,-9579000,-2649000,-10644000,-1300000,19895000,-16178000
83,Cash Provided by Operating Activities,-46868,5921000,20481000,4056000,5747000,871000,10730000,23055000,7007000,6813000,10659000,11444000,19128000,20437000,43971000,- -
84,CAPEX,-48305,-237000,-1634000,-1239000,-957000,-1690000,-1823000,-1901000,-2170000,-1378000,-2359000,-3169000,-3999000,-1922000,-1181000,- -
85,Acquisitions Net,- -,-203393000,- -,- -,- -,-13684000,-24000,- -,-890000,-537000,-55187000,-889000,- -,- -,-2317000,- -
