,https://roic.ai/company/TLFA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,24400000,28100000,31400000,28300000,25400000,22200000,27100000,30095264,37279262,39728615,41712191,46146284,50719574,55199021,55317002,53237094,54482739,59892870,66102947,72720624,78284585,83430912,84161200,82923992,82321268,83098187,74918160,64084000,82661000
2,COGS,13400000,15700000,18000000,17100000,14300000,11900000,14100000,14519965,17934935,18393914,19020292,20706239,21964530,23566251,23644599,21857800,21873365,23642013,25765788,26814950,28956561,31306155,32090140,31210750,30207439,32517996,32958708,28026000,35662000
3,Gross Profit,11000000,12400000,13400000,11200000,11100000,10300000,13000000,15575299,19344327,21334701,22691899,25440045,28755044,31632770,31672403,31379294,32609374,36250857,40337159,45905674,49328024,52124757,52071060,51713242,52113829,50580191,41959452,36058000,46999000
4,Gross Profit Ratio,0.4508,0.4413,0.4268,0.3958,0.4370,0.4640,0.4797,0.5175,0.5189,0.5370,0.5440,0.5513,0.5669,0.5731,0.5726,0.5894,0.5985,0.6053,0.6102,0.6313,0.6301,0.6248,0.6187,0.6236,0.6331,0.6087,0.5601,0.5627,0.5686
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8600000,9600000,10400000,10900000,9400000,8900000,10300000,11702633,15442359,17202927,18594240,21181599,23181633,24565056,27161402,- -,- -,29615246,- -,- -,- -,40166728,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,200000,200000,400000,600000,500000,500000,800000,627582,- -,- -,- -,- -,- -,- -,- -,27200150,27514273,- -,32630509,36761669,38061234,- -,41596360,41412511,44872007,46751728,43555826,41328000,44699000
10,Operating Expenses,8800000,9800000,10800000,11500000,9900000,9400000,11100000,12330215,15442359,17202927,18594240,21181599,23181633,24565056,27161402,27200150,27514273,29615246,32630509,36761669,38061234,40166728,41596360,41412511,44872007,46751728,43555826,41328000,44699000
11,COGS and Expenses,22200000,25500000,28800000,28600000,24200000,21300000,25200000,26850180,33377294,35596841,37614532,41887838,45146163,48131307,50806001,49057950,49387638,53257259,58396297,63576619,67017795,71472883,73686500,72623261,75079446,79269724,76514534,69354000,80361000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),200000,100000,700000,1000000,- -,1000000,- -,617400,458558,246878,206942,53400,3188,- -,122209,332107,297864,265405,248576,240934,206763,225584,330004,155189,205555,304957,36260,7000,16000
14,Depreciation and Amortization,200000,200000,400000,600000,500000,500000,800000,627582,775906,528350,529262,452653,456706,392915,634291,985549,1125009,972409,1016561,1068226,1194612,1436624,1567172,1719154,1875102,1797281,5137154,4214000,1105000
15,EBITDA,2400000,2800000,3100000,300000,800000,1400000,1800000,3836287,4602950,586254,4708694,4719699,6167807,7559020,5584332,5429728,6441189,7715326,8805271,10254805,12622134,13469818,12116229,12077172,9243781,5805935,2579170,-2058000,3314000
16,EBITDA ratio,0.0984,0.0996,0.0987,0.0106,0.0315,0.0631,0.0664,0.1275,0.1235,0.0148,0.1129,0.1023,0.1216,0.1369,0.1010,0.1020,0.1182,0.1288,0.1332,0.1410,0.1612,0.1614,0.1440,0.1456,0.1123,0.0699,0.0344,-0.0321,0.0401
17,Operating Income,2200000,2600000,2600000,-300000,1200000,900000,1900000,3245084,3901968,4131774,4097659,4258446,5573411,7067714,4511001,4179144,5095101,6635611,7706650,9144005,11266790,11958029,10474700,10300731,7241822,3828463,-2598209,-6348000,2300000
