,https://roic.ai/company/REDU,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , 
1,Revenue,406705000,529469000,710993000,969275000,1271888000,1529447000,958467000
2,COGS,295097000,346671000,363579000,452220000,576530000,694693000,602934000
3,Gross Profit,111608000,182798000,347414000,517055000,695358000,834754000,355533000
4,Gross Profit Ratio,0.2744,0.3452,0.4886,0.5334,0.5467,0.5458,0.3709
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,122791000,135603000,148093000,339690000,242084000,304626000,260239000
7,Selling and Marketing Exp.,74368000,96688000,128475000,177993000,245662000,307339000,233687000
8,"Selling, General and Administrative Exp.",197159000,232291000,276568000,517683000,487746000,611965000,493926000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,197159000,232291000,276568000,517683000,487746000,611965000,493926000
11,COGS and Expenses,492256000,578962000,640147000,969903000,1064276000,1306658000,1096860000
12,Interest Income ,7150000,17853000,16622000,19559000,26376000,17952000,15091000
13,Interest Expense (Gain),- -,- -,6073000,26589000,33803000,34093000,23611000
14,Depreciation and Amortization,100322000,91507000,69822000,49711000,58225000,70021000,84249000
15,EBITDA,29465000,64103000,162020000,81250000,306749000,322911000,-40268000
16,EBITDA ratio,0.0724,0.1211,0.2279,0.0838,0.2412,0.2111,-0.0420
17,Operating Income,-85551000,-49493000,70846000,-628000,207612000,222789000,-138393000
18,Operating Income ratio,-0.2104,-0.0935,0.0996,-0.0006,0.1632,0.1457,-0.1444
19,Total Other Income Expenses (Gains),7197000,16633000,12199000,-48000,6587000,-7532000,-18746000
20,Income Before Tax,-78354000,-32860000,83045000,-676000,214199000,215257000,-157139000
21,Income Before Tax Ratio,-0.1927,-0.0621,0.1168,-0.0007,0.1684,0.1407,-0.1639
22,Income Tax expense (Gain),-5685000,-1119000,32202000,52924000,71763000,70697000,-15695000
23,Net Income,-65172000,-26285000,53923000,-47974000,142958000,148100000,-132433000
24,Net Income ratio,-0.1602,-0.0496,0.0758,-0.0495,0.1124,0.0968,-0.1382
25,EPS,-1.18,-0.48,0.98,-0.94,2.52,2.58,-2.34
26,EPS Diluted,-1.18,-0.48,0.98,-0.94,2.46,2.54,-2.34
27,Weighted Average Shares Outstanding,55000000,55000000,55000000,50945206,56906091,57452612,56406516
28,Weighted Average Shares Outstanding Diluted,55000000,55000000,55000000,50945206,57940934,58090805,56406516
29,SEC Link,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,517436000,639999000,1055982000,1288080000,999012000,554620000
32,Short-Term Investments,- -,1033000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,518469000,639999000,1055982000,1288080000,999012000,554620000
34,Net Receivables,- -,740000,976000,11200000,12763000,7469000,56876000
35,Inventory,- -,5963000,5533000,7905000,11320000,8685000,7814000
36,Other Current Assets,- -,28052000,61230000,67358000,90107000,69700000,125258000
37,Total Current Assets,- -,553224000,707738000,1142445000,1402270000,1084866000,744568000
38,PP&E,- -,70860000,75673000,100177000,128412000,747663000,746841000
39,Goodwill,- -,444412000,461686000,475732000,491969000,665416000,659255000
40,Intangible Assets,- -,244798000,225951000,200615000,198057000,210346000,185647000
41,Intangible Assets,- -,689210000,687637000,676347000,690026000,875762000,844902000
42,Investments,- -,- -,- -,- -,- -,33000000,- -
43,Tax Assets,- -,374000,4087000,2404000,6713000,11026000,34241000
44,Other Non-Current Assets,- -,22070000,25163000,34965000,53353000,49638000,55853000
45,Total Non-Current Assets,- -,782514000,792560000,813893000,878504000,1717089000,1681837000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1335738000,1500298000,1956338000,2280774000,2801955000,2426405000
48,Accounts Payable,- -,2938000,4068000,6041000,8426000,7553000,11028000
49,Short-Term Debt,- -,- -,38186000,- -,82506000,291926000,423842000
50,Tax Payable,- -,9686000,25835000,29734000,32040000,32178000,20032000
51,Deferred Revenue,- -,489918000,601324000,812821000,1002796000,716637000,563736000
52,Other Current Liabilities,- -,78570000,119788000,211838000,185144000,217402000,169749000
53,Total Current Liabilities,- -,571426000,763366000,1030700000,1278872000,1233518000,1168355000
54,Long-Term Debt,- -,- -,333102000,623439000,502356000,834467000,643882000
55,Deferred Revenue,- -,- -,- -,- -,36037000,39397000,38204000
56,Deferred Tax Liabilities,- -,4120000,3070000,3785000,14541000,31116000,24011000
57,Other Non-Current Liabilities,- -,8867000,2333000,2682000,8134000,39156000,50447000
58,Total Non-Current Liabilities,- -,12987000,338505000,629906000,561068000,944136000,756544000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,622215000,649583000
61,Total Liabilities,- -,584413000,1101871000,1660606000,1839940000,2177654000,1924899000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6120000,6120000,6782000,7074000,6946000,6959000
64,Retained Earnings,- -,-181546000,-134264000,-315531000,-248674000,-127059000,-260019000
65,Other Comprehensive Income/Loss,- -,54059000,82975000,86406000,120804000,145747000,144999000
66,Other Total Stockholders Equity,- -,878385000,452369000,532474000,576551000,583262000,603173000
67,Total Stockholders Equity,- -,757018000,407200000,310131000,455755000,608896000,495112000
68,Total Liabilities And Stockholders Equity,- -,1341431000,1509071000,1970737000,2295695000,2786550000,2420011000
69,Minority Interest,- -,-5693000,-8773000,-14399000,-14921000,15405000,6394000
70,Total Liabilities & Equity,- -,1335738000,1500298000,1956338000,2280774000,2801955000,2426405000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-65172000,-26285000,53923000,-47974000,142958000,148100000,-132433000
74,Depreciation and Amortization,100322000,91507000,69822000,49711000,58225000,70021000,84249000
75,Deferred Income Tax,-22330000,-11997000,-4763000,1151000,6740000,6475000,-31149000
76,Stock Based Compensation,- -,- -,- -,95307000,18631000,47889000,17999000
77,Change in Working Capital,19656000,115466000,124165000,247537000,145871000,-316431000,-178787000
78,Accounts Receivable,- -,- -,- -,-1695000,112000,706000,-647000
79,Inventory,1851000,1520000,430000,-2372000,-3415000,3104000,871000
80,Accounts Payable,1089000,-659000,1130000,1973000,2385000,-873000,3475000
81,Other Working Capital,22453000,101617000,110509000,196172000,181828000,-331657000,-156732000
82,Other Non-Cash Items,-7431000,-4971000,-3064000,-464000,7609000,4092000,34379000
83,Cash Provided by Operating Activities,25045000,163720000,240083000,345268000,380034000,-39854000,-205742000
84,CAPEX,-40624000,-43388000,-43767000,-53079000,-73990000,-62441000,-36951000
85,Acquisitions Net,-263000,- -,- -,- -,-26985000,-19282000,-22904000
86,Purchases of Investments,-397505000,-308000000,-615100000,-390000000,-405000000,-333000000,-572000000
87,Sales/Maturities of Investments,391505000,312967000,616133000,390000000,405000000,300000000,568000000
88,Other Investing Activites,-4139000,-8221000,-8127000,-2731000,-8680000,-11585000,-61002000
89,Cash Used for Investing Activites,-46777000,-38233000,-42544000,-53067000,-100875000,-114716000,-111782000
90,Debt Repayment,- -,- -,- -,-301639000,-75924000,-97332000,-62599000
91,Common Stock Issued,- -,- -,- -,437829000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-21367000,-48047000,- -
93,Dividends Paid,- -,- -,-426016000,-571807000,- -,- -,- -
94,Other Financing Activites,3920000,98000,345807000,564618000,39985000,4647000,1925000
95,Cash Used/Provided by Financing Activities,3920000,98000,-80209000,129001000,-57306000,-140732000,-60674000
96,Effect of Forex Changes on Cash,309000,2378000,5233000,-5219000,10037000,1342000,-5443000
97,Net Change In Cash,-17503000,127963000,122563000,415983000,231890000,-293960000,-383641000
98,Cash at the End of Period,389473000,517436000,639999000,1055982000,1316785000,1022825000,639184000
99,Cash at the Beginning of Period,406976000,389473000,517436000,639999000,1084895000,1316785000,1022825000
100,Free Cash Flow,-15579000,120332000,196316000,292189000,306044000,-102295000,-242693000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
