,https://roic.ai/company/PLG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,30410,21581,4952,- -,2714,- -,- -,- -,- -,- -,389708,366154,435926,473497,441000,508000,347000,235000,177000,122000
3,Gross Profit,- -,- -,-30410,-21581,-4952,- -,-2714,- -,- -,- -,- -,- -,-389708,-366154,-435926,-473497,-441000,-508000,-347000,-235000,-177000,-122000
4,Gross Profit Ratio,- -,- -,-Infinity,-Infinity,-Infinity,- -,-Infinity,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,499161,749098,1350878,3091939,2552139,5551879,- -,6973076,6420127,13727281,7040934,7320243,8902459,6736193,4824000,6226000,5814000,4885000,5118000,7355000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,178593,100604,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,499161,749098,1350878,3091939,2552139,5551879,- -,7151669,6520732,13727281,7040934,7320243,8902459,6736193,4824000,6226000,5814000,4885000,5118000,7355000
9,Other Expenses,- -,313789,26131,41156,27698,64764,85721,119281,- -,-74681,-127549,267884,- -,- -,- -,135177,165000,159000,- -,- -,- -,- -
10,Operating Expenses,- -,313789,525293,790254,1378576,3156703,2637861,5671160,- -,7076989,6393183,13995165,7040934,7320243,8902459,6871370,4989000,6385000,5814000,4885000,5118000,7355000
11,COGS and Expenses,- -,313789,555703,811836,1383528,3156703,2640574,5671160,- -,7076989,6393183,13995165,7430643,7686397,9338385,7344867,5430000,6893000,6161000,5120000,5295000,7477000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,127412,416958,3866692,- -,- -,- -,- -,1133000,1062000,739000,364000,158000,97000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,367000,18414000,8355000,5493000,5066000
14,Depreciation and Amortization,- -,4563,6581,11171,24201,63784,84952,118381,- -,107027,98663,266995,389708,366154,435926,473497,446000,535000,347000,235000,177000,122000
15,EBITDA,- -,-272444,-549122,-800665,-1359327,-3092919,-2555622,-5552779,- -,-6969962,-6294520,-13727281,-7040934,-7320243,-8902459,-6871370,-4984000,-6358000,-5814000,-4885000,-5329000,-7553000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,-318516,-1255697,-1401097,-2247869,-4084324,-3702927,-6923855,- -,-6654819,-7348591,-13995165,-7430643,-7686397,-9338385,-7344867,-5430000,-6893000,-6161000,-5120000,-5295000,-7477000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-36782,1064,-15788,327655,221013,217064,525935,- -,6662,46242840,457947,-503499,-3596092,-472713,4711560,-38715000,-581823000,-34863000,-11550000,-1761000,-5531000
20,Income Before Tax,- -,- -,-1254633,-1416884,-1920214,-3863311,-3485863,-6397920,- -,-6648157,38894249,-13537218,-7934142,-11282489,-9811099,-2633308,-44145000,-588716000,-41024000,-16670000,-7056000,-13008000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,-291068,-153435,-211780,-667649,- -,- -,- -,-290354,13752629,-1615149,2337244,163157,-192212,993815,-7494000,1655000,- -,106000,72000,55000
23,Net Income,- -,-311477,-963565,-1263449,-1708434,-3195662,-3485863,-6397920,- -,-6357803,25141620,-12479622,-10662102,-11733068,-9599573,-2868168,-20675000,-542415000,-38682000,-16776000,-7128000,-13063000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-5.81,-6.42,-5.06,-5.33,-8.42,-7.24,-11.36,- -,-9.13,27.35,-7.15,-6.04,-3.79,-1.84,-0.76,-2.60,-43.00,-2.00,-0.52,-0.11,-0.18
26,EPS Diluted,- -,-5.81,-6.42,-5.06,-5.33,-8.42,-7.24,-11.36,- -,-9.13,26.41,-7.15,-6.04,-3.79,-1.84,-0.76,-2.60,-43.00,-2.00,-0.52,-0.11,-0.18
27,Weighted Average Shares Outstanding,- -,53632,148216,259824,316406,391949,472302,458042,619788,724660,934981,1642172,1775845,3249905,5016425,6958364,8043843,12601907,19053143,32534646,61537004,71912296
28,Weighted Average Shares Outstanding Diluted,- -,53632,179525,2053782,321212,430936,472302,458042,619788,724660,954469,1642172,1775845,3249905,5016425,6958364,8043843,12601907,19053143,32534646,61537004,71912296
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095052/000113717105000293/financials.htm,https://www.sec.gov/Archives/edgar/data/1095052/000113717106000438/platinum20f022806.htm,https://www.sec.gov/Archives/edgar/data/1095052/000113717106002229/financials.htm,https://www.sec.gov/Archives/edgar/data/1095052/000109505207000017/0001095052-07-000017-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000109505208000041/0001095052-08-000041-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000113717109000959/0001137171-09-000959-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000113717110000715/0001137171-10-000715-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000120445911003165/0001204459-11-003165-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299312005082/0001062993-12-005082-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299313006057/0001062993-13-006057-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000110465914083412/0001104659-14-083412-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299315006423/0001062993-15-006423-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299316012525/0001062993-16-012525-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299317005381/form20f.htm,https://www.sec.gov/Archives/edgar/data/1095052/000106299318004854/0001062993-18-004854-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299319004589/0001062993-19-004589-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,576814,718522,1845976,2315690,9106931,11993815,- -,30098777,2231362,65497657,17788631,106036805,99462909,38829020,16450000,3414000,3017000,5550000,1308000,6059000
32,Short-Term Investments,- -,- -,59997,41898,252727,211955,189976,2092209,- -,1949328,- -,- -,- -,- -,- -,- -,- -,- -,7084000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,636811,760420,2098703,2527646,9296907,14086024,- -,32048105,2231362,65497657,17788631,106036805,99462909,38829020,16450000,3414000,10101000,5550000,1308000,6059000
34,Net Receivables,- -,- -,221665,55198,183697,289673,357330,566117,- -,1422415,1198178,1884789,1502442,6439954,12735667,9991013,6087000,2058000,863000,507000,218000,476000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,37537,17930,21478,45106,58031,2913188,- -,46393,963137,111952,3534565,599507,656648,343606,367000,70534000,352000,298000,385000,71000
37,Total Current Assets,- -,- -,896013,833548,2303878,2862425,9712269,17565329,- -,33516913,4392676,67494397,22825638,113076266,112855225,49163640,22904000,76006000,11316000,6355000,1911000,6606000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35396000,44423000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2958486,5504246,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2958486,5504246,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,9000000,11000000,19000000,18898884,- -,2208180,8758874,3256498,4691265,4360401,4912000,79000,70000,65000,108000,170000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1910100,2840815,4654420,10360212,6314365,6239369,- -,5863605,109860720,223175631,213855294,253597040,388494859,441591463,492042000,24443000,30463000,37243000,- -,- -
45,Total Non-Current Assets,- -,- -,1910100,2840815,4654420,10360212,15314365,17239369,- -,27720975,115364965,225383811,222614168,256853538,393186124,445951865,496954000,24522000,30533000,37308000,35504000,44593000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,36764203000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,2806113,3674363,6958298,13222637,25026634,34804698,36764203000,61237888,119757641,292878208,245439807,369929805,506041349,495115505,519858000,100528000,41849000,43663000,37415000,51199000
48,Accounts Payable,- -,- -,71502,122479,502708,1681863,1923814,2166936,- -,- -,1323027,- -,7832435,23768735,26280648,16264282,16920000,16443000,3572000,4134000,1412000,2463000
49,Short-Term Debt,- -,- -,- -,- -,- -,4992,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26667000,46305000,- -,- -,- -,27804000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,-0,6023,3428377,- -,786159,817682,6110686,- -,- -,- -,- -,- -,- -,- -,2775000,2890000,- -
53,Total Current Liabilities,- -,- -,71502,122479,502708,1686855,1929837,5595313,- -,786159,2140709,6110686,7832435,23768735,26280648,16264282,43587000,62748000,3572000,6909000,4302000,30267000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54586000,61046000,57144000,34860000,36549000,130000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,276822,259337,325289,- -,14394,- -,- -,- -,20579519,21914084,13519964,11295769,10654441,6276290,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,19001,- -,7985,- -,- -,- -,659246,1450078,1334661,1504589,2294233,2237000,- -,663000,3051000,707000,1329000
58,Total Non-Current Liabilities,- -,- -,276822,259337,325289,19001,14394,7985,- -,- -,20579519,22573331,14970042,12630431,12159030,8570522,56823000,61046000,57807000,37911000,37256000,1459000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,15971,- -,- -,41159038,45146661,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,19001,6023,15063,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198000,130000
61,Total Liabilities,- -,- -,348324,381816,827997,1705856,1944231,5603298,- -,786159,22720228,28684017,22802477,36399165,38439678,24834805,100410000,123794000,61379000,44820000,41558000,31726000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258105836,403561943,543320397,540819671,714190000,800894000,818454000,855270000,861890000,890783000
64,Retained Earnings,- -,- -,-1668547,-3242979,-5391933,-9730609,-13941382,-20987340,- -,-31243004,-7128184,-20200881,-55705151,-80960918,-110806188,-86216480,-125245000,-667617000,-715344000,-739018000,-746313000,-759771000
65,Other Comprehensive Income/Loss,- -,- -,-12569,-24346,-49874,-112198,-204915,-328996,- -,-467359,-557333,-927565,-1368511,-3419655,-93000000,-186000000,-232000000,-171000000,-160000000,-160000000,-164000000,-159226000
66,Other Total Stockholders Equity,- -,- -,4138905,6559872,11572109,21359587,37228700,50517736,- -,92162092,94208518,273375860,-18355571,-37263328,54735980,147912565,23824000,26365000,26208000,27140000,28154000,- -
67,Total Stockholders Equity,- -,- -,2457789,3292547,6130301,11516780,23082403,29201400,- -,60451729,86523002,252247414,182676602,281918042,394250189,416515757,380769000,-11358000,-30682000,-16608000,-20269000,1888000
68,Total Liabilities And Stockholders Equity,- -,- -,2806113,3674363,6958298,13222637,25026634,34804698,36764203000,61237888,109243230,280931431,205479080,318317207,432689867,441350561,481179000,112436000,30697000,28212000,21289000,33614000
69,Minority Interest,- -,- -,0,0,0,- -,-0,- -,- -,0,10514412,11946778,39960727,51612597,73351482,53764943,38679000,-11908000,11152000,15451000,16126000,17585000
