,https://roic.ai/company/GRFS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,524277000,648797000,703291000,814311000,913186000,990730000,1795613000,2620944000,2741732000,3355384000,3934563000,4049830000,4318073000,4486724000,5098691000,5340038000,4933118000
2,COGS,153897000,203172000,179426000,175680000,172039000,227597000,466702000,1291345000,1323880000,1656170000,2003565000,2137539000,2166062000,2437164000,2757459000,3084873000,2970522000
3,Gross Profit,370380000,445625000,523865000,638631000,741147000,763133000,1328911000,1329599000,1417852000,1699214000,1930998000,1912291000,2152011000,2049560000,2341232000,2255165000,1962596000
4,Gross Profit Ratio,0.7065,0.6868,0.7449,0.7843,0.8116,0.7703,0.7401,0.5073,0.5171,0.5064,0.4908,0.4722,0.4984,0.4568,0.4592,0.4223,0.3978
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,124443000,123271000,180753000,224193000,197617000,288320000,240661000,276018000,294216000,354881000
6,General and Administrative Exp.,265040000,313156000,300037000,350198000,405084000,436428000,877669000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,36098000,35664000,40236000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",265040000,313156000,300037000,350198000,441182000,472092000,917905000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1061508000
9,Other Expenses,41611000,46292000,51395000,59992000,74921000,82910000,134237000,545072000,558461000,660772000,736435000,775266000,860348000,814775000,942821000,985616000,-16302000
10,Operating Expenses,306651000,359448000,351432000,410190000,516103000,555002000,1052142000,669515000,681732000,841525000,960628000,972883000,1148668000,1055436000,1218839000,1279832000,1400087000
11,COGS and Expenses,460548000,562620000,530858000,585870000,688142000,782599000,1518844000,1960860000,2005612000,2497695000,2964193000,3110422000,3314730000,3492600000,3976298000,4364705000,4370609000
12,Interest Income ,3425000,4667000,2847000,2212000,6510000,2876000,5761000,1677000,4869000,3069000,5841000,9934000,9678000,13995000,114197000,8021000,11551000
13,Interest Expense (Gain),8279000,8076000,9519000,12668000,12393000,33394000,200562000,252389000,215351000,209493000,224612000,228804000,249533000,274162000,324381000,222921000,233813000
14,Depreciation and Amortization,26898000,29357000,31528000,33256000,39554000,45776000,90639000,129126000,128469000,189472000,189755000,201869000,215490000,228609000,302455000,321533000,359767000
15,EBITDA,76048000,100651000,164060000,217805000,256343000,237200000,371303000,770772000,844853000,991815000,1105321000,1144338000,1162131000,1230849000,1420441000,1332639000,861509000
