,https://roic.ai/company/CAPL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,1192078000,1629075000,1626413000,1934383000,2669317000,2214835000,1869806000,2094827000,2445917000,2149429000,1932323000,3579259000
2,COGS,1148380000,1585828000,1584715000,1863831000,2557644000,2057317000,1714239000,1934061000,2273122000,1994792000,1720196000,3302306000
3,Gross Profit,43698000,43247000,41698000,70552000,111673000,157518000,155567000,160766000,172795000,154637000,212127000,276953000
4,Gross Profit Ratio,0.0367,0.0265,0.0256,0.0365,0.0418,0.0711,0.0832,0.0767,0.0706,0.0719,0.1098,0.0774
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,19521000,- -,- -,32067000,59370000,40264000,24156000,27887000,17966000,16849000,20991000,30930000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,56257000,61074000,61297000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",19521000,- -,- -,32067000,59370000,96521000,85230000,89184000,17966000,16849000,20991000,30930000
9,Other Expenses,9749000,24782000,38459000,10031000,45316000,48227000,54412000,57470000,128468000,107586000,159670000,211931000
10,Operating Expenses,29270000,24782000,38459000,42098000,104686000,144748000,139642000,146654000,146434000,124435000,180661000,242861000
11,COGS and Expenses,1177650000,1610610000,1623174000,1905929000,2662330000,2202065000,1853881000,2080715000,2419556000,2119227000,1900857000,3545167000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,16631000,18493000,22757000,27919000,32872000,27000000,16587000,-18244000
14,Depreciation and Amortization,13295000,12153000,14587000,21059000,33217000,48621000,54610000,57540000,66528000,55032000,68742000,77852000
15,EBITDA,8265000,22063000,10993000,37413000,42332000,75013000,87618000,90380000,101918000,98878000,184837000,78037000
16,EBITDA ratio,0.0069,0.0135,0.0068,0.0193,0.0159,0.0339,0.0469,0.0431,0.0417,0.0460,0.0957,0.0218
17,Operating Income,14156000,21653000,6829000,28501000,8640000,26017000,32171000,32419000,35012000,43322000,115592000,36129000
18,Operating Income ratio,0.0119,0.0133,0.0042,0.0147,0.0032,0.0117,0.0172,0.0155,0.0143,0.0202,0.0598,0.0101
19,Total Other Income Expenses (Gains),-12587000,4433000,-10630000,-12147000,-16165000,-18097000,-21909000,-27480000,-32499000,-26476000,-16084000,-17700000
20,Income Before Tax,1569000,- -,-3801000,16354000,-7525000,7920000,10262000,4939000,2513000,16846000,99508000,18429000
21,Income Before Tax Ratio,0.0013,- -,-0.0023,0.0085,-0.0028,0.0036,0.0055,0.0024,0.0010,0.0078,0.0515,0.0051
22,Income Tax expense (Gain),- -,- -,- -,-1716000,-1354000,-3542000,-453000,-18237000,-2733000,-1230000,-7948000,-3225000
23,Net Income,-5030000,9910000,-3594000,18070000,-6162000,11441000,10704000,23158000,5251000,18076000,107456000,21654000
24,Net Income ratio,-0.0042,0.0061,-0.0022,0.0093,-0.0023,0.0052,0.0057,0.0111,0.0021,0.0084,0.0556,0.0060
25,EPS,-0.33,0.66,-0.24,1.18,-0.32,0.35,0.22,0.56,0.11,0.51,2.87,0.57
26,EPS Diluted,-0.33,0.66,-0.24,1.18,-0.32,0.35,0.22,0.56,0.11,0.51,2.87,0.57
27,Weighted Average Shares Outstanding,15050000,15050000,15050000,15256471,19927938,28987665,33310522,33844823,34345298,34454369,37369487,37880910
28,Weighted Average Shares Outstanding Diluted,15050000,15050000,15050000,15305357,19927938,29086403,33367370,33855345,34345298,34484801,37369487,37884124
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1538849/000104746913003574/0001047469-13-003574-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000119312514091702/0001193125-14-091702-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000119312515070302/0001193125-15-070302-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000153884916000071/0001538849-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000153884917000008/0001538849-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459018003295/0001564590-18-003295-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459019004128/0001564590-19-004128-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459020006520/0001564590-20-006520-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459021010002/0001564590-21-010002-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459022007821/0001564590-22-007821-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,2988000,2082000,4768000,4115000,15170000,1192000,1350000,3897000,3191000,1780000,513000,7648
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2988000,2082000,4768000,4115000,15170000,1192000,1350000,3897000,3191000,1780000,513000,7648
34,Net Receivables,12831000,12295000,11876000,23900000,38332000,21258000,42226000,42251000,25857000,36459000,29450000,33331
35,Inventory,1355000,1247000,- -,2141000,12069000,15739000,13164000,15122000,14083000,6230000,23253000,46100
36,Other Current Assets,20866000,12358000,4289000,5340000,10553000,11580000,8667000,19236000,7731000,19026000,21605000,19236
37,Total Current Assets,38040000,27982000,20933000,35496000,76124000,49769000,65407000,80506000,50862000,63495000,74821000,106315
38,PP&E,185579000,202393000,243022000,288729000,391499000,628564000,677329000,681000000,647413000,686683000,738716000,924787
39,Goodwill,2773000,4487000,5636000,9324000,40328000,80821000,89109000,89109000,88764000,88764000,88764000,100464
40,Intangible Assets,8910000,12379000,35602000,47005000,77780000,82315000,80760000,76063000,59063000,44996000,92912000,114187
41,Intangible Assets,11683000,16866000,41238000,56329000,118108000,163136000,169869000,165172000,147827000,133760000,181676000,214651
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,22113000,22387000,10617000,11067000,18915000,11625000,19384000,20558000,20820000,21318000,19129000,24389
45,Total Non-Current Assets,219375000,241646000,294877000,356125000,528522000,803325000,866582000,866730000,816060000,841761000,939521000,1163827
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,257415000,269628000,315810000,391621000,604646000,853094000,931989000,947236000,866922000,905256000,1014342000,1270142
48,Accounts Payable,12165000,13166000,14238000,20567000,33575000,32577000,44861000,61301000,57677000,57823000,63978000,67173
49,Short-Term Debt,20186000,13051000,2187000,2568000,29083000,8342000,2956000,3936000,3462000,25956000,34589000,10939
50,Tax Payable,8658000,7777000,342000,1178000,3410000,3311000,7177000,8303000,7540000,7881000,9117000,22585
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,23916000,18298000,13687000,15722000,31375000,26539000,27316000,28236000,27309000,28857000,48381000,85778
53,Total Current Liabilities,56267000,44515000,30112000,38857000,94033000,67458000,75133000,93473000,88448000,112636000,146948000,163890
54,Long-Term Debt,156940000,177529000,183751000,173509000,201276000,430632000,465119000,529147000,519276000,534859000,509923000,799696
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9328000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,23692000,43609000,42923000,24069000,19929000,19369000,15022000,12341
57,Other Non-Current Liabilities,72386000,80271000,87402000,84584000,95154000,42539000,128003000,129528000,128336000,159995000,223453000,237657
58,Total Non-Current Liabilities,229326000,257800000,271153000,258093000,320122000,516780000,636045000,682744000,667541000,714223000,757726000,1049694
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,35669000,45720000,75980000,66932000,62788000,- -,78268000,77467000,75313000,123542000,193345000,- -
61,Total Liabilities,285593000,302315000,301265000,296950000,414155000,584238000,711178000,776217000,755989000,826859000,904674000,1213584
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-21036000,-28614000,-28835000,-43808000,-63339000,-94395000,-131418000,-164574000,-193733000,-196611000,-2456000,3030
66,Other Total Stockholders Equity,- -,- -,43380000,138479000,253830000,363251000,352229000,335593000,304666000,275008000,112124000,53528
67,Total Stockholders Equity,-28178000,-32687000,- -,- -,- -,- -,- -,- -,- -,- -,- -,56558
68,Total Liabilities And Stockholders Equity,257415000,269628000,315810000,391621000,604646000,853094000,931989000,947236000,866922000,905256000,1014342000,1270142
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,257415000,269628000,315810000,391621000,604646000,853094000,931989000,947236000,866922000,905256000,1014342000,1270142
