,https://roic.ai/company/BLFS,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,100000,100000,100000,100000,5900000,13400000,13594186,- -,3570000,2370000,1780000,1189505,1344016,848791,605511,626709,614718,603219,972262,1322497,1581600,2081565,2758729,5662990,8949401,6190698,6448910,8226992,11021821,19742000,27371000,48087000,119156000
2,COGS,- -,200000,800000,1200000,2700000,4700000,6800000,5761998,- -,1920000,1280000,960000,268957,788699,- -,- -,163979,250078,298065,463106,770646,1007022,1225177,1355571,3370571,5186514,3155288,2634700,3448294,4275348,6217000,8760000,20646000,81408000
3,Gross Profit,- -,-100000,-700000,-1100000,-2600000,1200000,6600000,7832188,- -,1650000,1090000,820000,920548,555317,- -,605511,462730,364640,305154,509156,551851,574578,856388,1403158,2292419,3762887,3035410,3814210,4778698,6746473,13525000,18611000,27441000,37748000
4,Gross Profit Ratio,- -,-1.0000,-7.0000,-11.0000,-26.0000,0.2034,0.4925,0.5761,- -,0.4622,0.4599,0.4607,0.7739,0.4132,- -,1.0000,0.7383,0.5932,0.5059,0.5237,0.4173,0.3633,0.4114,0.5086,0.4048,0.4205,0.4903,0.5915,0.5809,0.6121,0.6851,0.6800,0.5707,0.3168
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,2899686,- -,1290000,670000,690000,1373500,1773119,644798,759309,29087,27855,57330,413376,457640,414465,318897,516454,463638,487816,871100,1378807,2028465,1193415,1298000,3168000,6720000,11819000
6,General and Administrative Exp.,- -,200000,800000,1400000,- -,- -,- -,6744034,- -,2020000,1660000,1270000,2150874,3182814,- -,- -,- -,- -,- -,- -,2185341,1888757,1500680,1829307,2151817,2718977,3970254,4868801,4592235,4522479,5950000,8893000,14607000,34097000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372324,558721,431007,267080,619202,841451,1329746,2583731,3009537,2086426,2615000,4701000,6413000,13996000
8,"Selling, General and Administrative Exp.",- -,200000,800000,1400000,2100000,7900000,9000000,6744034,- -,2016319,1662970,1269553,2150874,3182814,824104,1443330,1092067,964318,1742179,2610787,2557665,2447478,1931687,2096387,2771019,3560428,5300000,7452532,7601772,6608905,8565000,13594000,21020000,48093000
9,Other Expenses,- -,- -,200000,200000,300000,100000,300000,- -,- -,3681,-2970,447,266174,- -,- -,- -,- -,- -,- -,198490,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1079000,3033000,94121000
10,Operating Expenses,- -,200000,1000000,1600000,2400000,8000000,9300000,9643720,- -,3310000,2330000,1960000,3790548,4955933,1468902,2202639,1121154,992173,1799509,3222653,3015305,2861943,2250584,2612841,3234657,4048244,6171100,8831339,9630237,7802320,9863000,17841000,30773000,154033000
11,COGS and Expenses,- -,400000,1800000,2800000,5100000,12700000,16100000,15405718,- -,5230000,3610000,2920000,4059505,5744632,1468902,2202639,1285133,1242251,2097574,3685759,3785951,3868965,3475761,3968412,6605228,9234758,9326388,11466039,13078531,12077668,16080000,26601000,51419000,235441000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128202,- -,6998,13766,- -,6354,1069,193,46,- -,- -,20825,21753,2420,350,281000,506000,58000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,-30000,-30000,- -,- -,- -,52314,- -,1943,56544,- -,284762,488013,588001,670986,733430,742219,177308,- -,100000,190069,5000,5000,- -,-432000
14,Depreciation and Amortization,- -,- -,-200000,-200000,-300000,-100000,-300000,425804,- -,420993,342288,283728,266174,299909,168880,251588,166204,66088,49760,61563,29281,93690,71741,97115,169644,247072,258119,343218,368102,338682,338000,1797000,5068000,12865000
15,EBITDA,- -,-500000,-1900000,-2800000,-5000000,-6700000,-2900000,-1804921,- -,-1099007,-957712,-916272,-2505753,-4110348,55150,-999466,-576958,-551292,-1027714,-2790211,-2461074,-2186649,-1323888,-1188538,-756512,-94869,-2782323,-3870718,-6407344,-1986355,3609000,-1396000,4471000,-16256000
16,EBITDA ratio,- -,-5.0000,-19.0000,-28.0000,-50.0000,-1.1356,-0.2164,-0.1328,- -,-0.3078,-0.4041,-0.5148,-2.1066,-3.0583,0.0650,-1.6506,-0.9206,-0.8968,-1.7037,-2.8698,-1.8609,-1.3826,-0.6360,-0.4308,-0.1336,-0.0106,-0.4494,-0.6002,-0.7788,-0.1802,0.1828,-0.0510,0.0930,-0.1364
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,-1811532,- -,-1657005,-1243523,-1144902,-2870000,-4400616,-620111,-1597128,-658424,-627533,-1494355,-2713497,-2463454,-2287365,-1394196,-1209683,-942238,-285357,-3135690,-5017129,-4851539,-1055847,3662000,-220000,-5575000,-34877000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,-0.1333,- -,-0.4641,-0.5247,-0.6432,-2.4128,-3.2742,-0.7306,-2.6377,-1.0506,-1.0208,-2.4773,-2.7909,-1.8627,-1.4462,-0.6698,-0.4385,-0.1664,-0.0319,-0.5065,-0.7780,-0.5897,-0.0958,0.1855,-0.0080,-0.1159,-0.2927
19,Total Other Income Expenses (Gains),- -,- -,200000,200000,300000,200000,- -,- -,- -,67005,-26477,-25098,- -,- -,-17915,293760,-84738,8210,360337,-138277,-33255,-480987,-1626,-746956,-717348,-798803,-165105,21753,-3189833,-1459259,-396000,-2978000,4978000,6188000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1590000,-1270000,-1170000,- -,- -,-638026,-1303368,-743162,-619323,-1134018,-2851774,- -,-2768352,- -,-1956639,-1659586,-1084160,-3300795,-4995376,-8041372,-2515106,3266000,-3198000,-597000,-28689000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.4454,-0.5359,-0.6573,- -,- -,-0.7517,-2.1525,-1.1858,-1.0075,-1.8799,-2.9331,- -,-1.7503,- -,-0.7093,-0.2931,-0.1211,-0.5332,-0.7746,-0.9774,-0.2282,0.1654,-0.1168,-0.0124,-0.2408
