,https://roic.ai/company/MMI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,217935000,274705000,385716000,435895000,572188000,689055000,717450000,719700000,814816000,806428000,716906000,1296440000
2,COGS,124272000,162478000,230248000,264637000,350102000,423389000,444768000,446557000,502883000,498878000,447879000,840209000
3,Gross Profit,93663000,112227000,155468000,171258000,222086000,265666000,272682000,273143000,311933000,307550000,269027000,456231000
4,Gross Profit Ratio,0.4298,0.4085,0.4031,0.3929,0.3881,0.3856,0.3801,0.3795,0.3828,0.3814,0.3753,0.3519
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,76438000,85801000,103479000,146929000,134274000,147710000,161794000,171648000,193349000,203110000,204514000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",76438000,85801000,103479000,146929000,134274000,147710000,161794000,171648000,193349000,203110000,204514000,255154000
9,Other Expenses,3333000,2971000,2981000,3043000,3206000,3305000,4387000,5363000,6297000,8017000,10899000,11721000
10,Operating Expenses,79771000,88772000,106460000,149972000,137480000,151015000,166181000,177011000,199646000,211127000,215413000,266875000
11,COGS and Expenses,204043000,251250000,336708000,414609000,487582000,574404000,610949000,623568000,702529000,710005000,663292000,1107084000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,1651000,1726000,1533000,1496000,1400000,1388000,900000,580000
14,Depreciation and Amortization,3333000,2971000,2981000,3043000,3206000,3305000,4387000,5363000,6297000,29224000,33724000,11721000
15,EBITDA,18184000,26776000,52422000,24984000,87840000,118399000,113022000,106085000,124917000,138124000,93988000,205604000
16,EBITDA ratio,0.0834,0.0975,0.1359,0.0573,0.1535,0.1718,0.1575,0.1474,0.1533,0.1713,0.1311,0.1586
17,Operating Income,13892000,23455000,49008000,21286000,84606000,114651000,106501000,96132000,112287000,96423000,53614000,189356000
18,Operating Income ratio,0.0637,0.0854,0.1271,0.0488,0.1479,0.1664,0.1484,0.1336,0.1378,0.1196,0.0748,0.1461
19,Total Other Income Expenses (Gains),959000,350000,433000,655000,-1623000,-1283000,601000,3094000,4933000,11089000,5750000,3947000
20,Income Before Tax,14851000,23805000,49441000,21941000,82983000,113368000,107102000,99226000,117220000,107512000,59364000,193303000
21,Income Before Tax Ratio,0.0681,0.0867,0.1282,0.0503,0.1450,0.1645,0.1493,0.1379,0.1439,0.1333,0.0828,0.1491
22,Income Tax expense (Gain),6460000,10355000,21507000,13735000,33452000,47018000,42445000,47702000,29963000,30582000,16526000,50833000
23,Net Income,8391000,13450000,27934000,8206000,49531000,66350000,64657000,51524000,87257000,76930000,42838000,142470000
24,Net Income ratio,0.0385,0.0490,0.0724,0.0188,0.0866,0.0963,0.0901,0.0716,0.1071,0.0954,0.0598,0.1099
25,EPS,0.22,0.35,0.70,0.24,1.27,1.71,1.66,1.32,2.23,1.95,1.08,3.57
26,EPS Diluted,0.22,0.35,0.70,0.24,1.27,1.69,1.66,1.32,2.22,1.95,1.08,3.54
27,Weighted Average Shares Outstanding,37946639,37946639,37946639,38787000,38851000,38848000,38899000,38988000,39149000,39404000,39642000,39940000
28,Weighted Average Shares Outstanding Diluted,37946639,37946639,37946639,38815000,38978000,39162000,39035000,39100000,39383000,39548000,39735000,40241000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1578732/000119312514110596/0001193125-14-110596-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312515083184/0001193125-15-083184-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312516504193/0001193125-16-504193-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312517084360/0001193125-17-084360-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312518084734/0001193125-18-084734-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312519059132/0001193125-19-059132-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312520058202/0001193125-20-058202-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312521062693/0001193125-21-062693-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312522060189/0001193125-22-060189-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3158000,3107000,100952000,149159000,96185000,187371000,220786000,214683000,232670000,243152000,382140000
32,Short-Term Investments,- -,- -,- -,- -,- -,79860000,27454000,73560000,137436000,150752000,158258000,183868000
33,Cash and Short-Term Investments,- -,3158000,3107000,100952000,149159000,176045000,214825000,294346000,352119000,383422000,401410000,566008000
34,Net Receivables,- -,2472000,6571000,4344000,6916000,10160000,8536000,14932000,8935000,12949000,10576000,17230000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2259000,2903000,13867000,22398000,9909000,10651000,11152000,10285000,13796000,17092000,24893000
37,Total Current Assets,- -,7889000,12581000,119163000,178473000,196114000,234012000,320430000,371339000,410167000,429078000,608131000
38,PP&E,- -,5298000,6688000,8560000,7693000,11579000,16355000,17153000,19550000,113178000,107460000,104720000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,11459000,- -,33375000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,3926000,- -,18678000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,15385000,22312000,52053000,48105000
42,Investments,- -,2408000,2905000,4067000,19084000,54395000,77475000,52099000,83209000,60809000,47773000,112610000
43,Tax Assets,- -,- -,- -,27185000,21265000,35285000,35571000,22640000,22959000,22122000,21374000,33736000
44,Other Non-Current Assets,- -,48701000,67559000,8334000,7089000,23852000,30603000,47342000,53938000,80446000,121384000,137896000
45,Total Non-Current Assets,- -,56407000,77152000,48146000,55131000,125111000,160004000,139234000,195041000,298867000,350044000,437067000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,64296000,89733000,167309000,233604000,321225000,394016000,459664000,566380000,709034000,779122000,1045198000
48,Accounts Payable,- -,7559000,14350000,6911000,9488000,9135000,10133000,9202000,11035000,10790000,18288000,24271000
49,Short-Term Debt,- -,- -,- -,851000,894000,939000,986000,1035000,1087000,6564000,6564000,18973000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3726000,17853000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,23268000,40103000,48998000,56822000,64937000,67057000,73022000,80734000,84451000,95465000,182386000
53,Total Current Liabilities,- -,30827000,54453000,56760000,67204000,75011000,78176000,83259000,92856000,101805000,120317000,225630000
54,Long-Term Debt,- -,- -,- -,11504000,10610000,9671000,8686000,7651000,6564000,- -,- -,58334000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,13312000,13650000,36548000,38981000,47553000,48300000,53866000,57386000,112322000,111969000,64930000
58,Total Non-Current Liabilities,- -,13312000,13650000,48052000,49591000,57224000,56986000,61517000,63950000,112322000,111969000,123264000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,80917000,78598000,77307000
61,Total Liabilities,- -,44139000,68103000,104812000,116795000,132235000,135162000,144776000,156806000,214127000,232286000,348894000
62,Preferred Stock,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,230000,234000,4000,4000,4000,4000,4000,4000,4000,4000,4000
