,https://roic.ai/company/FBIOP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,863000,16480000,187584000,26882000,36629000,44531000,63134000
2,COGS,- -,- -,- -,- -,- -,- -,-790000,3658000,6125000,10532000,14594000,32084000
3,Gross Profit,- -,- -,- -,- -,- -,863000,17270000,183926000,20757000,26097000,29937000,31050000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,1.0000,1.0479,0.9805,0.7722,0.7125,0.6723,0.4918
5,Research and Development Exp.,8341000,8583000,17468000,25682000,10239000,18402000,-35134000,52486000,83333000,75236000,61275000,113240000
6,General and Administrative Exp.,900000,- -,8665000,10098000,10413000,21584000,35162000,73015000,53371000,55590000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",900000,- -,8665000,10098000,10413000,21584000,35162000,73015000,53371000,55590000,- -,86843000
9,Other Expenses,- -,26461000,1043000,- -,- -,11408000,70813000,2089000,4050000,6090000,78594000,57249000
10,Operating Expenses,9241000,35044000,27176000,35780000,20652000,51394000,70841000,127590000,140754000,136916000,139869000,257332000
11,COGS and Expenses,9241000,14338000,26133000,35780000,20652000,51394000,81400000,292450000,153004000,147448000,154463000,289416000
12,Interest Income ,61000,165000,236000,545000,662000,245000,298000,819000,1104000,2559000,1518000,649000
13,Interest Expense (Gain),313000,74000,664000,1903000,1338000,1484000,3690000,5860000,10340000,11849000,9704000,15308000
14,Depreciation and Amortization,5000,22000,3000,17000,23000,26000,1127000,3350000,2059000,4654000,5325000,4317000
15,EBITDA,-9430000,-35022000,-27173000,-35763000,-20629000,-46918000,-50351000,-56153000,-71748000,-23457000,-87820000,-44605000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-54.3662,-3.0553,-0.2993,-2.6690,-0.6404,-1.9721,-0.7065
17,Operating Income,-9241000,-35044000,-27176000,-35780000,-20652000,-50531000,-65710000,-101208000,-119997000,-110819000,-94270000,-188541000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-58.5527,-3.9873,-0.5395,-4.4638,-3.0254,-2.1170,-2.9864
19,Total Other Income Expenses (Gains),-741000,-1316000,-434000,-1378000,266000,2103000,10542000,2885000,-10803000,9159000,-8579000,24188000
20,Income Before Tax,-9982000,-36360000,-27610000,-37158000,-20386000,-48428000,-55168000,-98323000,-130800000,-101660000,-102849000,-164353000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-56.1159,-3.3476,-0.5242,-4.8657,-2.7754,-2.3096,-2.6032
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-73000,1513000,- -,- -,136000,473000
