,https://roic.ai/company/WSTRF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,48250,44620,54620
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,460000,390000,154720,177720,147160,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134720,-129470,-102540,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6.7360,-2.6833,-2.2981,- -
5,Research and Development Exp.,- -,- -,130000,30000,90000,890000,270000,290000,170000,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,30000,50000,1040000,2300000,1460000,590000,330000,220000,230000,103997,1016108,1610470,1573775,1878605,1623385,1475094
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",30000,50000,1040000,2300000,1460000,590000,330000,220000,230000,103997,1016108,1610470,1573775,1878605,1623385,1475094
9,Other Expenses,10000,- -,20000,3820000,2960000,40000,60000,30000,- -,95371,457212,389832,154724,188745,466117,393182
10,Operating Expenses,40000,50000,1190000,6150000,4510000,1520000,660000,540000,400000,199368,1473320,2000302,1728499,2067350,2089502,1868276
11,COGS and Expenses,40000,50000,1190000,6150000,4510000,1520000,660000,540000,400000,1020000,1470000,1870000,1728500,2056320,2089500,1868276
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1933,1286,- -,- -
13,Interest Expense (Gain),- -,-150000,230000,910000,220000,210000,-740000,-20000,-80000,24888,114639,- -,62165,26380,65345,13338
14,Depreciation and Amortization,- -,- -,20000,50000,50000,110000,50000,30000,- -,- -,- -,- -,- -,- -,6610,10628
15,EBITDA,-40000,-350000,-1170000,-6100000,-4460000,-1410000,-610000,-510000,-560000,-1080000,-1700000,-2055361,-1706565,-2017820,-2038275,-2368924
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-85.3282,-41.8201,-45.6807,-43.3710
17,Operating Income,-40000,-50000,-1190000,-6150000,-4510000,-1520000,-660000,-540000,-400000,-199368,-1473320,-1872302,-1708499,-2008075,-2044882,-1813656
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-85.4249,-41.6181,-45.8288,-33.2050
19,Total Other Income Expenses (Gains),- -,-150000,240000,910000,230000,6430000,-750000,-10000,-80000,-850632,-116680,-297698,-60231,-36125,-65348,-579234
20,Income Before Tax,-40000,-200000,-950000,-5240000,-4280000,4910000,-1410000,-550000,-480000,-1050000,-1590000,-2170000,-1768730,-2044200,-2110230,-2392890
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-88.4365,-42.3668,-47.2934,-43.8098
22,Income Tax expense (Gain),- -,- -,140000,- -,-150000,-750000,- -,- -,- -,- -,- -,- -,-1354440,- -,- -,- -
23,Net Income,-40000,-200000,-1090000,-5240000,-4120000,5160000,-1410000,-550000,-480000,-1050000,-1590000,-2170000,-414290,-2044200,-2110230,-2392890
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.7145,-42.3668,-47.2934,-43.8098
25,EPS,-0.00,-0.01,-0.03,-0.10,-0.09,0.09,-0.02,-0.00,-0.00,-0.10,-0.12,-0.13,-0.02,-0.09,-0.07,-0.08
26,EPS Diluted,-0.00,-0.01,-0.03,-0.10,-0.09,0.09,-0.02,-0.00,-0.00,-0.10,-0.12,-0.13,-0.02,-0.09,-0.07,-0.08
27,Weighted Average Shares Outstanding,35790000,35790000,35790000,52830000,46730000,56180000,74860000,132810000,209200000,10627155,13206726,17045568,19569504,23016594,28859646,30083747
28,Weighted Average Shares Outstanding Diluted,35790000,35790000,35790000,52830000,46730000,56180000,74860000,132810000,209200000,10627155,13206726,17045568,19569504,23016594,28859646,30083747
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1621906/000121390017003160/0001213900-17-003160-index.html,https://www.sec.gov/Archives/edgar/data/1621906/000121390018003919/0001213900-18-003919-index.html,https://www.sec.gov/Archives/edgar/data/1621906/000121390019005519/0001213900-19-005519-index.html,https://www.sec.gov/Archives/edgar/data/1621906/000121390020009198/0001213900-20-009198-index.htm,https://www.sec.gov/Archives/edgar/data/1621906/000121390021021730/0001213900-21-021730-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,60000,1170000,8300000,4120000,20000,- -,- -,10000,170000,214480,791810,427020,909870,2084780,565250
32,Short-Term Investments,- -,- -,17150000,- -,- -,1180000,360000,240000,130000,- -,2880,2980,3120,4780,2760,2405
33,Cash and Short-Term Investments,- -,60000,18320000,8300000,4120000,1200000,370000,250000,140000,170000,217360,794790,430140,914650,2087540,567655
34,Net Receivables,- -,- -,1120000,900000,70000,60000,30000,20000,30000,20000,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,10000,- -,- -,140000,30000,20000,- -,110000,135430,318760,255200,220960,290220,223191
37,Total Current Assets,- -,60000,19450000,9200000,4190000,1400000,430000,290000,170000,300000,352790,1113550,685340,1135610,2377760,790846
38,PP&E,690000,6630000,11760000,10650000,11550000,120000,30000,- -,- -,1540000,12696030,11645220,11645220,11681720,11746150,11735522
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9488050,9488050,9488050,9488050,9488050,9488051
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9488050,9488050,9488050,9488050,9488050,9488051
42,Investments,- -,- -,- -,1850000,2110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,1750000,2070000,2010000,2040000,- -,- -,- -,- -,- -,4063330,4063330,2708890,2708890,2708890,- -
44,Other Non-Current Assets,- -,-1740000,-1980000,-1650000,-1880000,-10000,- -,- -,- -,660000,-3027040,-3242980,-1888460,-1819860,-1886280,831754
