,https://roic.ai/company/LBRT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,455404000,374773000,1489855000,2155136000,1990346000,965787000,2470782000
2,COGS,430199000,396091000,1228481000,1753863000,1786559000,1038065000,2512683000
3,Gross Profit,25205000,-21318000,261374000,401273000,203787000,-72278000,-41901000
4,Gross Profit Ratio,0.0553,-0.0569,0.1754,0.1862,0.1024,-0.0748,-0.0170
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,28765000,35789000,80089000,99052000,97589000,84098000,123406000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",28765000,35789000,80089000,99052000,97589000,84098000,123406000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,28765000,35789000,80089000,99052000,97589000,84098000,123406000
11,COGS and Expenses,458964000,431880000,1308570000,1852915000,1884148000,1122163000,2636089000
12,Interest Income ,- -,- -,- -,- -,983000,560000,2000
13,Interest Expense (Gain),5501000,6126000,12636000,17145000,15664000,15065000,15605000
14,Depreciation and Amortization,36436000,41362000,81473000,125110000,165379000,180084000,262757000
15,EBITDA,32876000,-13072000,262610000,308989000,234098000,48709000,108334000
16,EBITDA ratio,0.0722,-0.0349,0.1763,0.1434,0.1176,0.0504,0.0438
17,Operating Income,-3560000,-54434000,181137000,306563000,103597000,-177026000,-181224000
18,Operating Income ratio,-0.0078,-0.1452,0.1216,0.1422,0.0520,-0.1833,-0.0733
19,Total Other Income Expenses (Gains),-5501000,-6126000,-12636000,-17145000,-14681000,-14505000,3436000
20,Income Before Tax,-9061000,-60560000,168501000,289418000,88916000,-191531000,-177788000
21,Income Before Tax Ratio,-0.0199,-0.1616,0.1131,0.1343,0.0447,-0.1983,-0.0720
22,Income Tax expense (Gain),- -,- -,- -,40385000,14052000,-30857000,9216000
23,Net Income,-9061000,-60560000,168501000,126349000,39003000,-115583000,-179244000
24,Net Income ratio,-0.0199,-0.1616,0.1131,0.0586,0.0196,-0.1197,-0.0725
25,EPS,-0.13,-0.33,3.00,1.84,0.54,-1.36,-1.05
26,EPS Diluted,-0.13,-0.33,3.00,1.81,0.53,-1.36,-1.05
27,Weighted Average Shares Outstanding,67794887,67794887,68975123,68838000,72334000,85242000,178311000
28,Weighted Average Shares Outstanding Diluted,118195409,67794887,68975123,117838000,105256000,85242000,178311000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1694028/000162828018003509/0001628280-18-003509-index.htm,https://www.sec.gov/Archives/edgar/data/1694028/000169402819000015/0001694028-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1694028/000169402820000019/0001694028-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1694028/000169402821000007/0001694028-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1694028/000169402822000006/0001694028-22-000006-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,11484000,16321000,103312000,112690000,68978000,19998000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,11484000,16321000,103312000,112690000,68978000,19998000
34,Net Receivables,87813000,128560000,258788000,247961000,252910000,313949000,407454000
35,Inventory,16457000,28144000,55524000,60024000,88547000,118568000,134593000
36,Other Current Assets,2914000,5903000,21396000,49924000,34827000,65638000,68332000
37,Total Current Assets,107184000,174091000,352029000,461221000,488974000,567133000,630377000
38,PP&E,189787000,277355000,494776000,627053000,760116000,1235561000,1327387000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,5360000,607000
44,Other Non-Current Assets,- -,399000,5298000,28227000,34339000,81888000,82289000
45,Total Non-Current Assets,189787000,277754000,500074000,655280000,794455000,1322809000,1410283000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,296971000,451845000,852103000,1116501000,1283429000,1889942000,2040660000
48,Accounts Payable,28602000,42862000,66846000,80490000,117613000,193338000,288801000
49,Short-Term Debt,22792000,12846000,11000,385000,39928000,44425000,40779000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,9231000,- -,- -,- -,4552000
52,Other Current Liabilities,24086000,76087000,144417000,138861000,108954000,118383000,235115000
53,Total Current Liabilities,75480000,131795000,220505000,219736000,266495000,356146000,569247000
54,Long-Term Debt,87321000,91078000,196346000,106139000,105731000,167159000,202856000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,32994000,19659000,- -,563000
57,Other Non-Current Liabilities,119000,- -,42486000,16818000,110052000,56594000,37555000
58,Total Non-Current Liabilities,87440000,91078000,238832000,155951000,235442000,223753000,240974000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,5644000,119000,- -,- -,101090000,105809000,121183000
61,Total Liabilities,162920000,222873000,459337000,375687000,501937000,579899000,810221000
