,https://roic.ai/company/LWAY,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1100000,1500000,2400000,2400000,3000000,3500000,4500000,5300000,6000000,6800000,7900000,9176739,10683983,12212236,14877788,16319210,20131654,27720713,38729156,44461455,58115878,58499893,69970409,81351265,97524142,118959613,118587000,123879000,118893000,103350000,93662000,102026000
2,COGS,600000,800000,1100000,1300000,1300000,1600000,2000000,2700000,3100000,3300000,4300000,4698161,6448992,6744086,7840782,9034971,11664065,17081992,26309628,31703829,37217957,38320718,47419593,53925058,69901249,90096774,86986000,88847000,88197000,77492000,71513000,75093000
3,Gross Profit,500000,700000,1300000,1100000,1700000,1900000,2500000,2600000,2900000,3500000,3600000,4478578,4234991,5468150,7037006,7284239,8467589,10638721,12419528,12757626,20897921,20179175,22550816,27426207,27622893,28862839,31601000,35032000,30696000,25858000,22149000,26933000
4,Gross Profit Ratio,0.4545,0.4667,0.5417,0.4583,0.5667,0.5429,0.5556,0.4906,0.4833,0.5147,0.4557,0.4880,0.3964,0.4478,0.4730,0.4464,0.4206,0.3838,0.3207,0.2869,0.3596,0.3449,0.3223,0.3371,0.2832,0.2426,0.2665,0.2828,0.2582,0.2502,0.2365,0.2640
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,1600000,1400000,1500000,1800000,2200000,2706955,2797747,2890504,3558362,4333788,5066227,6408595,7659213,4149010,5294550,5576908,6485051,6319972,7582397,9377645,13730000,13783000,13955000,13616000,12828000,11661000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4098176,5987917,7603098,10205441,11506707,11296381,14534038,12752000,14467000,16595000,13477000,11062000,10197000
8,"Selling, General and Administrative Exp.",400000,500000,800000,800000,1300000,1400000,1600000,1400000,1500000,1800000,2200000,2706955,2797747,2890504,3558362,4333788,5066227,6408595,7659213,8247186,11282467,13180006,16690492,17826679,18878778,23911683,26482000,28250000,30550000,27093000,23890000,21858000
9,Other Expenses,- -,100000,100000,200000,200000,200000,200000,200000,300000,400000,400000,609520,- -,- -,- -,- -,- -,- -,14213366,319446,676786,724537,783833,754817,712803,715677,716000,697000,672000,631000,192000,152000
10,Operating Expenses,400000,600000,900000,1000000,1500000,1600000,1800000,1600000,1800000,2200000,2600000,3316475,2797747,2890504,3558362,4333788,5066227,6408595,21872579,8566632,11959253,13904543,17474325,18581496,19591581,24627360,27198000,28947000,31222000,27724000,24082000,22010000
11,COGS and Expenses,1000000,1400000,2000000,2300000,2800000,3200000,3800000,4300000,4900000,5500000,6900000,8014636,9246739,9634590,11399144,13368759,16730292,23490587,48182207,40270461,49177210,52225261,64893918,72506554,89492830,114724134,114184000,117794000,119419000,105216000,95595000,97103000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,368987,- -,187358,96850,185575,323365,388339,350286,343329,199047,260552,70611,85383,116380,122018,112000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298619,442703,350997,247342,177622,203365,276895,236000,220000,242000,271000,249000,118000
