,https://roic.ai/company/AJX,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,28491000,35246000,38949000,41590000,46963000,36012000,77948000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,63611000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.7664,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,3353000,1373000,2183000,2339000,2250000,2255000,2940000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3353000,1373000,2183000,2339000,2250000,2255000,2940000
9,Other Expenses,- -,8647000,15627000,20817000,23661000,24750000,-773000,- -
10,Operating Expenses,- -,12000000,17000000,23000000,26000000,27000000,1482000,2940000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,1482000,- -
12,Interest Income ,- -,47700000,70688000,91424000,108181000,112416000,100071000,93383000
13,Interest Expense (Gain),- -,11499000,25573000,39101000,53335000,59325000,48692000,-36742000
14,Depreciation and Amortization,- -,3000,20000,80000,155000,499000,29000,7000
15,EBITDA,- -,36258000,53464000,68239000,81894000,94653000,77092000,241000
16,EBITDA ratio,- -,1.2726,1.5169,1.7520,1.9691,2.0155,2.1407,0.0031
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-28646000,- -
20,Income Before Tax,- -,25794000,28909000,30285000,31401000,37213000,33483000,234000
21,Income Before Tax Ratio,- -,0.9053,0.8202,0.7776,0.7550,0.7924,0.9298,0.0030
22,Income Tax expense (Gain),- -,2000,35000,131000,64000,124000,-125000,234000
23,Net Income,- -,24754000,27836000,28927000,28340000,34705000,28496000,- -
24,Net Income ratio,- -,0.8688,0.7898,0.7427,0.6814,0.7390,0.7913,- -
25,EPS,0.22,1.68,1.65,1.58,1.50,1.74,1.00,1.48
26,EPS Diluted,0.22,1.68,1.65,1.51,1.43,1.59,1.00,1.41
27,Weighted Average Shares Outstanding,15605385,14711610,16742882,18074143,18642526,19710482,22641636,22852948
28,Weighted Average Shares Outstanding Diluted,15605385,15372488,17451907,23318521,25830546,28173217,22641636,30262467
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1614806/000157104915002340/0001571049-15-002340-index.htm,https://www.sec.gov/Archives/edgar/data/1614806/000157104916013433/0001571049-16-013433-index.html,https://www.sec.gov/Archives/edgar/data/1614806/000157104917001966/0001571049-17-001966-index.html,https://www.sec.gov/Archives/edgar/data/1614806/000162828018002906/0001628280-18-002906-index.html,https://www.sec.gov/Archives/edgar/data/1614806/000162828019002552/0001628280-19-002552-index.html,https://www.sec.gov/Archives/edgar/data/1614806/000162828020002804/0001628280-20-002804-index.html,https://www.sec.gov/Archives/edgar/data/1614806/000162828021003949/0001628280-21-003949-index.htm,https://www.sec.gov/Archives/edgar/data/1614806/000162828022004987/0001628280-22-004987-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,53099000,30834000,35723000,53721000,55146000,64343000,107147000,84426000
32,Short-Term Investments,- -,- -,- -,6285000,- -,- -,- -,1080434000
33,Cash and Short-Term Investments,53099000,30834000,35723000,60006000,55146000,64343000,107147000,1164860000
34,Net Receivables,1340000,5444000,12481000,17005000,14587000,17013000,15755000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,5634000,2864000,-1090000,7678000,9657000,-15755000,- -
37,Total Current Assets,- -,41912000,51068000,75921000,77411000,91013000,107147000,1164860000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,2237000,2625000,10576000,13305000,177550000,319288000,393868000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,565268000,895758000,1306512000,1347910000,1166540000,- -,- -
45,Total Non-Current Assets,- -,567893000,906334000,1319817000,1525460000,1485828000,- -,- -
46,Other Assets,272758000,- -,- -,- -,- -,- -,1546585000,594820000
47,Total Assets,272758000,609805000,957402000,1395738000,1602871000,1576841000,1653732000,1759680000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,106986000,232009000,281689000,540868000,421226000,- -,- -
53,Total Current Liabilities,- -,106986000,232009000,281689000,540868000,421226000,- -,- -
54,Long-Term Debt,84679000,270580000,442670000,796611000,727724000,771531000,695460000,102845000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4437000,10431000,27082000,33445000,24202000,- -,- -
58,Total Non-Current Liabilities,84679000,275017000,453101000,823693000,761169000,795733000,695460000,102845000
59,Other Liabilities,186157000,- -,- -,- -,- -,- -,1834701000,1362052000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,101478000,377566000,674679000,1078300000,1268592000,1192757000,1139241000,1259207000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,115144000,- -
63,Common Stock,112000,152000,181000,186000,189000,222000,231000,233000
64,Retained Earnings,2744000,15921000,27231000,35556000,41063000,49446000,53346000,66427000
65,Other Comprehensive Income/Loss,- -,- -,- -,-233000,-575000,1277000,375000,1020000
66,Other Total Stockholders Equity,158951000,211729000,244880000,254847000,260157000,308937000,316265000,432793000
67,Total Stockholders Equity,161807000,227802000,272292000,290356000,300834000,359882000,485361000,500473000
68,Total Liabilities And Stockholders Equity,263285000,605368000,946971000,1368656000,1569426000,1552639000,1624602000,1759680000
69,Minority Interest,9473000,4437000,10431000,27082000,33445000,24202000,29130000,- -
70,Total Liabilities & Equity,272758000,609805000,957402000,1395738000,1602871000,1576841000,1653732000,1759680000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1614806/000157104915002340/0001571049-15-002340-index.htm,https://www.sec.gov/Archives/edgar/data/1614806/000157104916013433/0001571049-16-013433-index.html,https://www.sec.gov/Archives/edgar/data/1614806/000157104917001966/0001571049-17-001966-index.html,https://www.sec.gov/Archives/edgar/data/1614806/000162828018002906/0001628280-18-002906-index.html,https://www.sec.gov/Archives/edgar/data/1614806/000162828019002552/0001628280-19-002552-index.html,https://www.sec.gov/Archives/edgar/data/1614806/000162828020002804/0001628280-20-002804-index.html,https://www.sec.gov/Archives/edgar/data/1614806/000162828021003949/0001628280-21-003949-index.htm,https://www.sec.gov/Archives/edgar/data/1614806/000162828022004987/0001628280-22-004987-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,24754000,27836000,28927000,28340000,34705000,28496000,- -
74,Depreciation and Amortization,- -,3000,20000,80000,155000,499000,29000,7000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,1410000,1468000,3247000,3989000,3604000,879000,1312000
77,Change in Working Capital,- -,-12938000,-24827000,-257689000,133244000,437360000,962047000,95666000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,1311000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-180941000,-205768000,-463457000,-330213000,107147000,1069194000,1164860000
82,Other Non-Cash Items,- -,-28963000,-8361000,216740000,-165531000,-491595000,-1005340000,-112309000
83,Cash Provided by Operating Activities,- -,-15734000,-3864000,-8695000,197000,-15427000,-13889000,-15324000
84,CAPEX,- -,-294000,-785000,- -,-15841000,-27353000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-7434000,-5115000,-178113000,-190327000,-144682000,-341788000
87,Sales/Maturities of Investments,- -,- -,- -,- -,14569000,82021000,92461000,- -
88,Other Investing Activites,- -,-321047000,-293196000,-367495000,-26853000,208473000,76386000,291589000
89,Cash Used for Investing Activites,- -,-321047000,-300630000,-372610000,-190397000,100167000,24165000,-50199000
90,Debt Repayment,- -,-18898000,-109263000,-178115000,-254177000,-241134000,-193968000,-393005000
91,Common Stock Issued,- -,51408000,31712000,4038000,199000,34581000,131000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-436000,- -
93,Dividends Paid,- -,-11577000,-16526000,-20602000,-22943000,-26322000,-17499000,- -
94,Other Financing Activites,- -,293583000,404645000,593098000,441529000,157328000,244468000,- -
95,Cash Used/Provided by Financing Activities,- -,314516000,310568000,398419000,164608000,-75547000,32696000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-22265000,6074000,17114000,-25592000,9193000,42972000,- -
98,Cash at the End of Period,- -,30834000,36908000,54022000,55170000,64363000,107335000,- -
99,Cash at the Beginning of Period,- -,53099000,30834000,36908000,80762000,55170000,64363000,- -
100,Free Cash Flow,- -,-15734000,-3864000,-8695000,197000,-15427000,-13889000,-15324000
