,https://roic.ai/company/APR,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1073810000,1110883000,1088875000,1108717000,1145275000
2,COGS,332545000,360086000,340714000,328270000,341288000
3,Gross Profit,741265000,750797000,748161000,780447000,803987000
4,Gross Profit Ratio,0.6903,0.6759,0.6871,0.7039,0.7020
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,672442000,698681000,720746000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,709299000,- -
8,"Selling, General and Administrative Exp.",672442000,698681000,720746000,709299000,706633000
9,Other Expenses,42672000,31719000,- -,- -,- -
10,Operating Expenses,715114000,730400000,720746000,709299000,706633000
11,COGS and Expenses,1047659000,1090486000,1061460000,1037569000,1047921000
12,Interest Income ,486000,897000,1446000,498000,254000
13,Interest Expense (Gain),1246000,1338000,5112000,6308000,11781000
14,Depreciation and Amortization,119297000,124989000,111575000,115230000,115048000
15,EBITDA,145934000,146283000,140436000,186876000,215859000
16,EBITDA ratio,0.1359,0.1317,0.1290,0.1686,0.1885
17,Operating Income,26151000,20397000,27415000,71148000,97354000
18,Operating Income ratio,0.0244,0.0184,0.0252,0.0642,0.0850
19,Total Other Income Expenses (Gains),-760000,-441000,-3666000,-5810000,-7533000
20,Income Before Tax,25391000,19956000,23749000,65338000,89821000
21,Income Before Tax Ratio,0.0236,0.0180,0.0218,0.0589,0.0784
22,Income Tax expense (Gain),-71560000,6829000,8127000,19199000,24153000
23,Net Income,96951000,13127000,15622000,46139000,64877000
24,Net Income ratio,0.0903,0.0118,0.0143,0.0416,0.0566
25,EPS,2.75,0.37,0.44,1.31,1.84
26,EPS Diluted,2.58,0.35,0.42,1.31,1.84
27,Weighted Average Shares Outstanding,35210915,35210915,35210915,35210915,35210915
28,Weighted Average Shares Outstanding Diluted,37565139,37525139,37565139,35210915,35210915
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1735803/000155837021003745/0001558370-21-003745-index.htm,https://www.sec.gov/Archives/edgar/data/1735803/000155837022002454/0001558370-22-002454-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,63890000,74691000,195197000,219561000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,63890000,74691000,195197000,219561000
34,Net Receivables,- -,97527000,84071000,74774000,81720000
35,Inventory,- -,7165000,6849000,6680000,8754000
36,Other Current Assets,- -,19675000,17344000,24003000,23242000
37,Total Current Assets,- -,188257000,182955000,300654000,333277000
38,PP&E,- -,264170000,324424000,307260000,314623000
39,Goodwill,- -,- -,- -,- -,28985000
40,Intangible Assets,- -,62645000,62071000,61497000,71651000
41,Intangible Assets,- -,62645000,62071000,61497000,100636000
42,Investments,- -,- -,- -,- -,2809000
43,Tax Assets,- -,44089000,34699000,18258000,4338000
44,Other Non-Current Assets,- -,17061000,13004000,17315000,19746000
45,Total Non-Current Assets,- -,387965000,434198000,404330000,442152000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,576222000,617153000,704984000,775429000
48,Accounts Payable,- -,148593000,122819000,116886000,133485000
49,Short-Term Debt,- -,- -,28296000,44810000,59877000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,25470000,24860000,25821000,28296000
52,Other Current Liabilities,- -,74542000,76485000,89141000,85171000
53,Total Current Liabilities,- -,248605000,252460000,276658000,306829000
54,Long-Term Debt,- -,- -,144034000,376389000,389305000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,7312000
57,Other Non-Current Liabilities,- -,42365000,86143000,78282000,32250000
58,Total Non-Current Liabilities,- -,42365000,230177000,454671000,428867000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,64833000,59335000,71723000
61,Total Liabilities,- -,290970000,482637000,731329000,735696000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,355000
64,Retained Earnings,- -,-1042193000,-1026571000,-980432000,-915555000
65,Other Comprehensive Income/Loss,- -,-424927000,-438169000,- -,- -
66,Other Total Stockholders Equity,- -,1752372000,1599256000,954087000,- -
67,Total Stockholders Equity,- -,285252000,134516000,-26345000,39733000
68,Total Liabilities And Stockholders Equity,- -,576222000,617153000,704984000,775429000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,576222000,617153000,704984000,775429000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1735803/000155837021003745/0001558370-21-003745-index.htm,https://www.sec.gov/Archives/edgar/data/1735803/000155837022002454/0001558370-22-002454-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,96951000,13127000,15622000,46139000,64877000
74,Depreciation and Amortization,119297000,124989000,111575000,115230000,115048000
75,Deferred Income Tax,-72712000,6615000,9390000,16441000,21232000
76,Stock Based Compensation,1721000,1621000,8642000,3000000,8249000
77,Change in Working Capital,-25094000,- -,-9157000,93501000,-28891000
78,Accounts Receivable,-31808000,-22012000,13456000,9297000,-6538000
79,Inventory,-1289000,739000,315000,169000,356000
80,Accounts Payable,10192000,1819000,-15086000,-3215000,17343000
81,Other Working Capital,-60348000,-60348000,-69505000,23996000,2233000
82,Other Non-Cash Items,35182000,13226000,25778000,-77598000,31482000
83,Cash Provided by Operating Activities,155345000,159578000,161850000,196713000,211997000
84,CAPEX,-126408000,-122123000,-114485000,-109097000,-119148000
85,Acquisitions Net,-43000,-708000,- -,- -,-43373000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,20532000,25362000,21772000,17370000,18313000
89,Cash Used for Investing Activites,-105919000,-97469000,-92713000,-91727000,-144208000
90,Debt Repayment,- -,-7000000,-5000000,-8958000,-20833000
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-75000000,-175000000,-210000000,-589000
94,Other Financing Activites,-20108000,-27802000,120884000,234478000,-21488000
95,Cash Used/Provided by Financing Activities,-20108000,-109802000,-59116000,15520000,-42910000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,29318000,-47693000,10021000,120506000,24879000
98,Cash at the End of Period,112363000,64670000,74691000,195197000,220076000
99,Cash at the Beginning of Period,83045000,112363000,64670000,74691000,195197000
100,Free Cash Flow,28937000,37455000,47365000,87616000,92849000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1735803/000155837021003745/0001558370-21-003745-index.htm,https://www.sec.gov/Archives/edgar/data/1735803/000155837022002454/0001558370-22-002454-index.htm
102,false,,,,,
