,https://roic.ai/company/AKU,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,35035858,46401248,105473428,154782067,247436303,251282849,421079000
2,COGS,- -,29682880,38558579,43568365,120433105,169871585,197803388,359735000
3,Gross Profit,- -,5352978,7842669,61905063,34348962,77564718,53479461,61344000
4,Gross Profit Ratio,- -,0.1528,0.1690,0.5869,0.2219,0.3135,0.2128,0.1457
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,22015719,713560,30837244,6515940,3554765,2083914,- -
7,Selling and Marketing Exp.,- -,- -,- -,5100635,5716480,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,22015719,713560,35937879,12232420,3554765,2083914,- -
9,Other Expenses,- -,-15611789,6999718,17686908,4135554,28271299,20459767,48270000
10,Operating Expenses,- -,6403930,7713278,53624787,16367974,31826064,22543681,48270000
11,COGS and Expenses,- -,36086810,46271857,97193152,136801079,201697649,220347069,408005000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,2875289,3152393,5375865,5979035,28937680,32781210,62575000
14,Depreciation and Amortization,- -,3263447,3213062,6480341,9852034,28239882,20459767,44895000
15,EBITDA,- -,3413645,4380554,3475773,19304336,66421626,27092523,42265000
16,EBITDA ratio,- -,0.0974,0.0944,0.0330,0.1247,0.2684,0.1078,0.1004
17,Operating Income,- -,-1050952,-4331,- -,- -,- -,34843446,13074000
18,Operating Income ratio,- -,-0.0300,-0.0001,- -,- -,- -,0.1387,0.0310
19,Total Other Income Expenses (Gains),- -,-1674139,-1980570,-14505264,-11933584,-34294961,-58263361,-78279000
20,Income Before Tax,- -,-2725091,-1984901,-6224988,6047404,11443693,-23419915,-65205000
21,Income Before Tax Ratio,- -,-0.0778,-0.0428,-0.0590,0.0391,0.0462,-0.0932,-0.1549
