,https://roic.ai/company/TMST,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1956500000,1728700000,1380900000,1674200000,1106200000,869500000,1329200000,1610600000,1208800000,830000000,1282900000
2,COGS,1601900000,1389800000,1157700000,1473100000,1091500000,841600000,1261400000,1484000000,1186200000,815000000,1062900000
3,Gross Profit,354600000,338900000,223200000,201100000,14700000,27900000,67800000,126600000,22600000,15000000,220000000
4,Gross Profit Ratio,0.1812,0.1960,0.1616,0.1201,0.0133,0.0321,0.0510,0.0786,0.0187,0.0181,0.1715
5,Research and Development Exp.,- -,- -,- -,8500000,8600000,8000000,8000000,8100000,4100000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,120400000,99000000,82200000,82500000,90100000,87700000,76000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,120400000,99000000,82200000,82500000,90100000,87700000,76000000,77200000
9,Other Expenses,98000000,103500000,91800000,-16800000,3400000,11300000,- -,- -,- -,- -,-2500000
10,Operating Expenses,98000000,103500000,91800000,112100000,111000000,101500000,90500000,98200000,91800000,76000000,74700000
11,COGS and Expenses,1699900000,1493300000,1249500000,1603200000,1205600000,932100000,1352600000,1583100000,1295900000,891000000,1137600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),600000,300000,200000,900000,3400000,8500000,14800000,11600000,15700000,12200000,5900000
14,Depreciation and Amortization,42600000,46200000,50000000,58000000,73400000,74900000,74900000,73000000,73500000,70000000,63100000
15,EBITDA,295500000,280800000,177800000,158800000,-10800000,-58600000,47400000,76400000,-36900000,22200000,245700000
16,EBITDA ratio,0.1510,0.1624,0.1288,0.0949,-0.0098,-0.0674,0.0357,0.0474,-0.0305,0.0267,0.1915
17,Operating Income,253700000,235400000,130800000,160500000,-108700000,-128900000,- -,5800000,- -,- -,- -
18,Operating Income ratio,0.1297,0.1362,0.0947,0.0959,-0.0983,-0.1482,- -,0.0036,- -,- -,- -
19,Total Other Income Expenses (Gains),-1400000,-1100000,-3200000,-91800000,37000000,-13100000,-18900000,-14000000,-39000000,- -,33700000
20,Income Before Tax,252300000,234300000,127600000,68700000,-71700000,-142000000,-42300000,-8200000,-126100000,-60000000,176700000
21,Income Before Tax Ratio,0.1290,0.1355,0.0924,0.0410,-0.0648,-0.1633,-0.0318,-0.0051,-0.1043,-0.0723,0.1377
22,Income Tax expense (Gain),85100000,79100000,38100000,53800000,-42600000,-36500000,1500000,1800000,-16100000,1000000,5700000
23,Net Income,167200000,155200000,89500000,46100000,-45000000,-105500000,-43800000,-10000000,-110000000,-61000000,171000000
24,Net Income ratio,0.0855,0.0898,0.0648,0.0275,-0.0407,-0.1213,-0.0330,-0.0062,-0.0910,-0.0735,0.1333
25,EPS,3.68,3.42,1.97,2.29,-1.65,-2.39,-1.00,-0.71,-2.46,-1.38,3.80
26,EPS Diluted,3.68,3.42,1.97,2.27,-1.65,-2.39,-1.00,-0.71,-2.46,-1.38,3.80
27,Weighted Average Shares Outstanding,45400000,45400000,45400000,45541705,44533725,44217577,44400000,44600000,44800000,45000000,45000000
28,Weighted Average Shares Outstanding Diluted,45400000,45400000,45400000,46044143,44533725,44217577,44400000,44600000,44800000,45000000,45000000
