,https://roic.ai/company/CVV,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5017522,3793204,3037259,5295859,9504181,10839993,9241808,9787939,9873592,11225316,13355778,13577772,18146741,10575019,16257587,30993885,22157737,17883927,27990463,38965387,20955347,41128639,24334331,19646652,16920219,16446813
2,COGS,3012117,2440460,2171796,3220559,5539825,6940080,6205283,7483997,6548946,7355679,8671839,8906785,12773343,5755501,10377564,19544888,14169163,11173893,16465084,23819864,13850824,23528427,19156201,16850077,14037813,13907974
3,Gross Profit,2005405,1352744,865463,2075300,3964356,3899913,3036525,2303942,3324646,3869637,4683939,4670987,5373398,4819518,5880023,11448997,7988574,6710034,11525379,15145523,7104523,17600212,5178130,2796575,2882406,2538839
4,Gross Profit Ratio,0.3997,0.3566,0.2849,0.3919,0.4171,0.3598,0.3286,0.2354,0.3367,0.3447,0.3507,0.3440,0.2961,0.4557,0.3617,0.3694,0.3605,0.3752,0.4118,0.3887,0.3390,0.4279,0.2128,0.1423,0.1704,0.1544
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1013157,877788,605264,433844,437157,606618,597456,372648,481186
6,General and Administrative Exp.,676789,709214,800676,- -,- -,- -,- -,- -,- -,- -,- -,- -,4145930,3817194,3983376,5484176,5512840,6081783,8204514,7745092,6926487,8539244,8205942,6285496,6153925,6054832
7,Selling and Marketing Exp.,130674,114061,158467,- -,- -,- -,- -,- -,- -,- -,- -,- -,766755,698820,951256,1207915,1236699,1027296,1282101,1208174,1097661,1404938,1620089,898338,580468,810074
8,"Selling, General and Administrative Exp.",807463,823275,959143,1874164,2292426,2825523,3370090,2904447,2942995,3247069,3680824,4181727,4912685,4516014,4934632,6692091,6749539,7109079,9486615,8953266,8024148,9944182,9826031,7183834,6734393,6864906
9,Other Expenses,- -,- -,- -,232748,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,807463,823275,959143,2106912,2292426,2825523,3370090,2904447,2942995,3247069,3680824,4181727,4912685,4516014,4934632,6692091,6749539,8122236,10364403,9558530,8457992,10381339,10432649,7781290,7107041,7346092
11,COGS and Expenses,3819580,3263735,3130939,5327471,7832251,9765603,9575373,10388444,9491941,10602748,12352663,13088512,17686028,10271515,15312196,26236979,20918702,19296129,26829487,33378394,22308816,33909766,29588850,24631367,21144854,21254066
12,Interest Income ,37105,- -,86374,- -,43667,52644,25221,1243,752,763,866,51166,107198,33464,8215,18136,31620,29931,33159,24540,28233,80518,159953,142579,62667,5994
13,Interest Expense (Gain),26924,- -,2389,- -,70492,64674,139343,208944,212547,219255,223509,216655,229000,248715,226559,182969,204874,163738,109418,92101,79861,106280,463017,482844,444337,261377
14,Depreciation and Amortization,313492,165418,148732,232748,269450,265671,294721,351579,356884,350143,358050,436171,522925,580238,588987,597040,515215,646422,797928,826529,813657,867277,1141161,1042829,1389145,742287
15,EBITDA,1549817,742437,307739,190946,1714111,1437339,532404,62359,765288,1024879,1478472,1539571,1028269,960341,1557113,5567649,1120181,-1146570,-2802124,5443821,240333,8168912,-3953405,-3388077,-5768825,5778526
16,EBITDA ratio,0.3089,0.1957,0.1013,0.0361,0.1804,0.1326,0.0576,0.0064,0.0775,0.0913,0.1107,0.1134,0.0567,0.0908,0.0958,0.1796,0.0506,-0.0641,-0.1001,0.1397,0.0115,0.1986,-0.1625,-0.1725,-0.3409,0.3513
17,Operating Income,1197942,529469,-93680,-31612,1402480,1074390,-333565,-600505,381651,622568,1003115,489260,460713,303504,945391,4756906,545217,-1806077,-3764024,4591993,-724564,7218873,-5254519,-4984715,-7823957,-4807253
18,Operating Income ratio,0.2388,0.1396,-0.0308,-0.0060,0.1476,0.0991,-0.0361,-0.0614,0.0387,0.0555,0.0751,0.0360,0.0254,0.0287,0.0582,0.1535,0.0246,-0.1010,-0.1345,0.1178,-0.0346,0.1755,-0.2159,-0.2537,-0.4624,-0.2923
19,Total Other Income Expenses (Gains),11459,47550,250298,-10190,-28311,32604,431905,102341,-185794,-167087,-106202,397485,-184369,-172116,-203824,30734,-145125,-150653,54554,-66802,71378,-23518,-303064,70965,221650,9582115
20,Income Before Tax,1209401,577019,156618,-41802,1374169,1106994,98340,-498164,195857,455481,896913,886745,276344,131388,741567,4787640,400092,-1956730,-3709470,4525191,-653186,7195355,-5557583,-4913750,-7602307,4774862
21,Income Before Tax Ratio,0.2410,0.1521,0.0516,-0.0079,0.1446,0.1021,0.0106,-0.0509,0.0198,0.0406,0.0672,0.0653,0.0152,0.0124,0.0456,0.1545,0.0181,-0.1094,-0.1325,0.1161,-0.0312,0.1749,-0.2284,-0.2501,-0.4493,0.2903
22,Income Tax expense (Gain),74264,-56887,72413,-202343,445490,232852,-69862,-161214,125133,64570,292587,109659,-355437,-47636,209795,1008517,-35494,-1396407,-1235940,1320195,-504061,1933944,-356562,1413908,-1527355,28377
23,Net Income,1135137,633906,84205,160541,928679,874142,168202,-336950,70724,390911,604326,777086,631781,179024,531772,3779123,435586,-560323,-2473530,3204996,-149124,5261411,-5201021,-6327658,-6074952,4746485
24,Net Income ratio,0.2262,0.1671,0.0277,0.0303,0.0977,0.0806,0.0182,-0.0344,0.0072,0.0348,0.0452,0.0572,0.0348,0.0169,0.0327,0.1219,0.0197,-0.0313,-0.0884,0.0823,-0.0071,0.1279,-0.2137,-0.3221,-0.3590,0.2886
25,EPS,0.39,0.22,0.03,0.06,0.31,0.29,0.06,-0.11,0.02,0.13,0.19,0.21,0.13,0.04,0.11,0.69,0.07,-0.09,-0.40,0.52,-0.02,0.83,-0.80,-0.96,-0.91,0.71
26,EPS Diluted,0.39,0.22,0.03,0.05,0.29,0.27,0.05,-0.11,0.02,0.12,0.19,0.20,0.13,0.04,0.11,0.67,0.07,-0.09,-0.40,0.51,-0.02,0.82,-0.80,-0.96,-0.91,0.71
27,Weighted Average Shares Outstanding,2918750,2918750,2918750,2918750,2963972,3014744,3036530,3039100,3039100,3097698,3169177,3667833,4737459,4760749,4798660,5450565,6007326,6071375,6129831,6175254,6285815,6375848,6501250,6562141,6678698,6678698
28,Weighted Average Shares Outstanding Diluted,2918750,2918750,2994610,2991083,3183387,3263395,3124733,3039100,3053494,3220097,3263533,3825271,4769769,4807907,4856626,5629907,6132237,6071375,6129831,6283307,6285815,6387464,6501250,6562141,6678698,6678698
