,https://roic.ai/company/ATVI,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,21100000,26600000,40669000,61393000,86483000,259926000,436485000,572205000,620183000,786434000,864116000,947656000,1405857000,1468000000,1513012000,3026000000,4279000000,4447000000,4755000000,4856000000,4583000000,4408000000,4664000000,6608000000,7017000000,7500000000,6489000000,8086000000,8803000000
2,COGS,- -,9800000,14900000,21293000,21749000,29822000,163123000,297866000,410660000,414609000,534731000,565173000,567147000,844946000,940362000,978065000,1839000000,2307000000,2126000000,1755000000,1662000000,1531000000,1525000000,1585000000,2394000000,2501000000,2517000000,2094000000,2260000000,2317000000
3,Gross Profit,- -,11300000,11700000,19376000,39644000,56661000,96803000,138619000,161545000,205574000,251703000,298943000,380509000,560911000,527638000,534947000,1187000000,1972000000,2321000000,3000000000,3194000000,3052000000,2883000000,3079000000,4214000000,4516000000,4983000000,4395000000,5826000000,6486000000
4,Gross Profit Ratio,- -,0.5355,0.4398,0.4764,0.6457,0.6552,0.3724,0.3176,0.2823,0.3315,0.3201,0.3460,0.4015,0.3990,0.3594,0.3536,0.3923,0.4609,0.5219,0.6309,0.6577,0.6659,0.6540,0.6602,0.6377,0.6436,0.6644,0.6773,0.7205,0.7368
5,Research and Development Exp.,- -,- -,4400000,7274000,17505000,18195000,28393000,21422000,26275000,41396000,40960000,56971000,97859000,86543000,131782000,133073000,592000000,627000000,642000000,646000000,604000000,584000000,571000000,646000000,958000000,1069000000,1101000000,998000000,1150000000,1337000000
6,General and Administrative Exp.,- -,9700000,7700000,13776000,18234000,27392000,55245000,87767000,123977000,122869000,130169000,147125000,172833000,289797000,377899000,- -,- -,395000000,364000000,456000000,561000000,490000000,417000000,380000000,634000000,760000000,832000000,732000000,784000000,788000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544000000,520000000,545000000,578000000,606000000,712000000,734000000,1210000000,1378000000,1062000000,926000000,1064000000,1025000000
8,"Selling, General and Administrative Exp.",- -,9700000,7700000,13776000,18234000,27392000,55245000,87767000,123977000,122869000,130169000,147125000,172833000,289797000,377899000,328727000,735000000,939000000,884000000,1001000000,1139000000,1096000000,1129000000,1114000000,1844000000,2138000000,1894000000,1658000000,1848000000,1813000000
9,Other Expenses,- -,1700000,1700000,1283000,1373000,1267000,1562000,1585000,41618000,1502000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,11400000,13800000,22333000,37112000,46854000,85200000,110774000,191870000,165767000,171129000,204096000,270692000,376340000,509681000,461800000,1327000000,1566000000,1526000000,1647000000,1743000000,1680000000,1700000000,1760000000,2802000000,3207000000,2995000000,2656000000,2998000000,3150000000
11,COGS and Expenses,- -,21200000,28700000,43626000,58861000,76676000,248323000,408640000,602530000,580376000,705860000,769269000,837839000,1221286000,1450043000,1439865000,3166000000,3873000000,3652000000,3402000000,3405000000,3211000000,3225000000,3345000000,5196000000,5708000000,5512000000,4750000000,5258000000,5467000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,8000000,14000000,6000000,5000000,4000000,- -,- -,- -,- -,79000000,21000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,5000000,4000000,1000000,58000000,208000000,- -,- -,- -,- -,90000000,99000000,- -
14,Depreciation and Amortization,- -,1700000,1700000,1942000,2646000,3335000,5212000,33543000,124580000,75193000,68673000,112295000,98696000,145501000,188703000,147133000,561000000,628000000,517000000,435000000,328000000,315000000,346000000,494000000,1150000000,1199000000,998000000,553000000,446000000,440000000
15,EBITDA,- -,400000,-200000,577000,6885000,14066000,14647000,57758000,85844000,107737000,151793000,215702000,214688000,343164000,237290000,256958000,374000000,624000000,1014000000,1770000000,1787000000,1692000000,1535000000,1615000000,2256000000,2350000000,2875000000,2276000000,3161000000,3604000000
16,EBITDA ratio,- -,0.0190,-0.0075,0.0142,0.1121,0.1626,0.0564,0.1323,0.1500,0.1737,0.1930,0.2496,0.2265,0.2441,0.1616,0.1698,0.1236,0.1458,0.2280,0.3722,0.3680,0.3692,0.3482,0.3463,0.3414,0.3349,0.3833,0.3507,0.3909,0.4094
17,Operating Income,- -,-100000,-2100000,-2957000,2532000,9807000,10129000,27245000,-30325000,39807000,80574000,94847000,109817000,184571000,17957000,73147000,-233000000,-26000000,469000000,1328000000,1451000000,1372000000,1183000000,1319000000,1412000000,1309000000,1988000000,1607000000,2734000000,3259000000
18,Operating Income ratio,- -,-0.0047,-0.0789,-0.0727,0.0412,0.1134,0.0390,0.0624,-0.0530,0.0642,0.1025,0.1098,0.1159,0.1313,0.0122,0.0483,-0.0770,-0.0061,0.1055,0.2793,0.2988,0.2994,0.2684,0.2828,0.2137,0.1865,0.2651,0.2476,0.3381,0.3702
19,Total Other Income Expenses (Gains),- -,-100000,200000,1592000,1707000,924000,-694000,-3030000,- -,-7263000,2546000,8560000,6175000,13092000,30630000,36678000,46000000,18000000,23000000,3000000,7000000,-53000000,-202000000,-198000000,-306000000,-158000000,-111000000,26000000,-118000000,-95000000
20,Income Before Tax,- -,-200000,-1900000,-1365000,4239000,10731000,9435000,24215000,-30325000,32544000,83120000,103407000,115992000,197663000,48587000,109825000,-187000000,-8000000,492000000,1331000000,1458000000,1319000000,981000000,1121000000,1106000000,1151000000,1877000000,1633000000,2616000000,3164000000
21,Income Before Tax Ratio,- -,-0.0095,-0.0714,-0.0336,0.0690,0.1241,0.0363,0.0555,-0.0530,0.0525,0.1057,0.1197,0.1224,0.1406,0.0331,0.0726,-0.0618,-0.0019,0.1106,0.2799,0.3002,0.2878,0.2225,0.2404,0.1674,0.1640,0.2503,0.2517,0.3235,0.3594
22,Income Tax expense (Gain),- -,100000,100000,155000,-1291000,3624000,3608000,8961000,-4648000,12037000,30882000,37227000,38277000,59328000,6688000,24038000,-80000000,-121000000,74000000,246000000,309000000,309000000,146000000,229000000,140000000,878000000,64000000,130000000,419000000,465000000
23,Net Income,- -,-1400000,-2000000,-1520000,5530000,7107000,5827000,15254000,-34088000,20507000,52238000,66180000,77715000,138335000,41899000,85787000,-107000000,113000000,418000000,1085000000,1149000000,1010000000,835000000,892000000,966000000,273000000,1813000000,1503000000,2197000000,2699000000
24,Net Income ratio,- -,-0.0664,-0.0752,-0.0374,0.0901,0.0822,0.0224,0.0349,-0.0596,0.0331,0.0664,0.0766,0.0820,0.0984,0.0285,0.0567,-0.0354,0.0264,0.0940,0.2282,0.2366,0.2204,0.1894,0.1913,0.1462,0.0389,0.2417,0.2316,0.2717,0.3066
25,EPS,- -,-0.01,-0.01,-0.01,0.03,0.04,0.03,0.06,-0.12,0.07,0.13,0.09,0.16,0.28,0.07,0.15,-0.11,0.09,0.34,0.93,1.01,0.96,1.14,1.21,1.30,0.36,2.38,1.96,2.85,3.50
26,EPS Diluted,- -,-0.01,-0.01,-0.01,0.03,0.04,0.03,0.06,-0.12,0.06,0.11,0.08,0.15,0.25,0.07,0.14,-0.11,0.09,0.33,0.92,1.01,0.95,1.13,1.19,1.28,0.36,2.35,1.95,2.82,3.47
27,Weighted Average Shares Outstanding,- -,228737388,488469846,167319633,179391030,175419228,221256936,265930702,296277185,298365081,405187739,769873504,473750533,500032832,546354000,562228000,946000000,1283000000,1222000000,1148000000,1112000000,1024000000,716000000,728000000,740000000,754000000,762000000,767000000,771000000,771000000
28,Weighted Average Shares Outstanding Diluted,- -,228737388,488469846,975644472,1007421879,1047076236,231708414,278782060,296277185,328783560,475616218,829198538,515149352,557706057,598874000,610678000,946000000,1311000000,1236000000,1156000000,1118000000,1035000000,726000000,739000000,754000000,766000000,771000000,771000000,778000000,778000000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718877/000091205700030433/0000912057-00-030433-index.html,https://www.sec.gov/Archives/edgar/data/718877/000091205701521517/0000912057-01-521517-index.html,https://www.sec.gov/Archives/edgar/data/718877/000091205702025821/0000912057-02-025821-index.html,https://www.sec.gov/Archives/edgar/data/718877/000110465903012724/j2068_10k.htm,https://www.sec.gov/Archives/edgar/data/718877/000110465904016641/a04-6777_110k.htm,https://www.sec.gov/Archives/edgar/data/718877/000110465905027535/a05-8078_110k.htm,https://www.sec.gov/Archives/edgar/data/718877/000110465906040913/a06-9724_110k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/718877/000104746910001649/0001047469-10-001649-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746911001413/a2202068z10-k.htm,https://www.sec.gov/Archives/edgar/data/718877/000104746912001775/0001047469-12-001775-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746913001506/0001047469-13-001506-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746914001688/a2218641z10-k.htm,https://www.sec.gov/Archives/edgar/data/718877/000104746915001298/a2223239z10-k.htm,https://www.sec.gov/Archives/edgar/data/718877/000104746916010584/0001047469-16-010584-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746917001072/0001047469-17-001072-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746918001114/0001047469-18-001114-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746919000788/0001047469-19-000788-index.html,https://www.sec.gov/Archives/edgar/data/718877/000071887720000003/0000718877-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/718877/000162828021002828/0001628280-21-002828-index.htm,https://www.sec.gov/Archives/edgar/data/718877/000162828022003992/0001628280-22-003992-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1900000,38100000,37335000,25288000,17639000,73378000,32847000,49985000,125550000,279007000,285554000,466552000,313608000,354331000,384409000,2958000000,2768000000,2812000000,3165000000,3959000000,4410000000,4848000000,1823000000,3245000000,4713000000,4225000000,5794000000,8647000000,10423000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121400000,121097000,527256000,590629000,570440000,44000000,477000000,696000000,360000000,416000000,21000000,10000000,8000000,- -,- -,- -,- -,- -,- -
