,https://roic.ai/company/IBEX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,323016000,334034000,342200000,368380000,405135000,443662000
2,COGS,- -,- -,- -,252925000,254592000,276255000,- -
3,Gross Profit,- -,- -,- -,89275000,113788000,128880000,- -
4,Gross Profit Ratio,- -,- -,- -,0.2609,0.3089,0.3181,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,251593000,271307000,51949000,39255000,35797000,301320000
7,Selling and Marketing Exp.,- -,30123000,34809000,28059000,27877000,17328000,13749000
8,"Selling, General and Administrative Exp.",- -,281716000,306116000,80008000,67132000,53125000,315069000
9,Other Expenses,- -,27795000,28956000,30370000,39614000,53104000,105062000
10,Operating Expenses,- -,309511000,335072000,110378000,106746000,106229000,420131000
11,COGS and Expenses,- -,309511000,335072000,363303000,361338000,382484000,420131000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3671000,5278000,1955000,2858000,2453000,9034000
14,Depreciation and Amortization,- -,12655000,13832000,12419000,21805000,24472000,28197000
15,EBITDA,- -,19758000,10392000,-1615000,39243000,37010000,41996000
16,EBITDA ratio,- -,0.0612,0.0311,-0.0047,0.1065,0.0914,0.0947
17,Operating Income,- -,8562000,-2325000,-17777000,6805000,19513000,13799000
18,Operating Income ratio,- -,0.0265,-0.0070,-0.0519,0.0185,0.0482,0.0311
19,Total Other Income Expenses (Gains),- -,-5130000,-6393000,-3093000,-7709000,-9428000,-9034000
20,Income Before Tax,- -,3432000,-8718000,-20870000,-904000,10085000,4765000
21,Income Before Tax Ratio,- -,0.0106,-0.0261,-0.0610,-0.0025,0.0249,0.0107
22,Income Tax expense (Gain),- -,1861000,295000,-108000,3615000,2315000,1918000
23,Net Income,- -,1571000,-9013000,-15881000,10965000,7770000,2847000
24,Net Income ratio,- -,0.0049,-0.0270,-0.0464,0.0298,0.0192,0.0064
25,EPS,- -,0.09,-0.51,-1.05,0.62,0.44,0.16
26,EPS Diluted,- -,0.09,-0.51,-1.05,0.62,0.44,0.15
27,Weighted Average Shares Outstanding,- -,17690813,17690813,17690813,17690813,17520834,17649446
28,Weighted Average Shares Outstanding Diluted,- -,17690813,17690813,17690813,17690813,17520834,18384921
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,5803000,9451000,21321000,13519000,8873000,21870000,57842000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5803000,9451000,21321000,13519000,8873000,21870000,57842000
34,Net Receivables,48863000,65886000,63850000,59764000,66923000,57597000,82859000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3769000,5412000,3412000,8716000,5979000,6569000,673000
37,Total Current Assets,58435000,80749000,88583000,81999000,81775000,86036000,141374000
38,PP&E,- -,- -,- -,- -,- -,- -,106703000
39,Goodwill,13258000,11886000,11832000,11832000,11832000,11832000,11832000
40,Intangible Assets,11345000,9128000,5967000,4181000,2928000,2781000,3209000
41,Intangible Assets,24603000,21014000,17799000,16013000,14760000,14613000,15041000
42,Investments,- -,288000,294000,392000,227000,331000,258000
43,Tax Assets,2428000,3316000,4390000,5219000,2517000,2223000,4252000
44,Other Non-Current Assets,22500000,33072000,41164000,53458000,89023000,92033000,6659000
45,Total Non-Current Assets,49531000,57690000,63647000,75082000,106527000,109200000,132913000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,107966000,138439000,152230000,157081000,188302000,195236000,274287000
48,Accounts Payable,8391000,11182000,13690000,13149000,9927000,10354000,54863000
49,Short-Term Debt,23767000,46546000,43297000,53076000,52467000,40144000,38837000
50,Tax Payable,- -,- -,- -,1740000,1467000,3087000,3663000
51,Deferred Revenue,5372000,8166000,4922000,5657000,4388000,3470000,4077000
52,Other Current Liabilities,29630000,33500000,37976000,44352000,44599000,51685000,7938000
53,Total Current Liabilities,67160000,99394000,99885000,116234000,111381000,105653000,105715000
54,Long-Term Debt,11410000,12205000,14651000,9014000,7184000,3782000,73679000
55,Deferred Revenue,1196000,1376000,2503000,708000,753000,434000,3010000
56,Deferred Tax Liabilities,3143000,4622000,5339000,- -,147000,117000,86000
57,Other Non-Current Liabilities,1304000,1095000,1114000,3172000,60209000,69102000,11138000
58,Total Non-Current Liabilities,17053000,19298000,23607000,12894000,68293000,73435000,87913000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,2765000,69234000,74712000,83999000
61,Total Liabilities,84213000,118692000,123492000,129128000,179674000,179088000,193628000
62,Preferred Stock,- -,- -,20000000,20000000,- -,- -,- -
63,Common Stock,1000,1000,1000,12000,12000,12000,2000
64,Retained Earnings,-68527000,-70443000,-110034000,-126061000,-117176000,-109527000,-110680000
65,Other Comprehensive Income/Loss,21361000,22336000,22553000,37795000,29585000,29456000,33180000
66,Other Total Stockholders Equity,64210000,64210000,96218000,96207000,96207000,96207000,158157000
67,Total Stockholders Equity,17045000,16104000,28738000,27953000,8628000,16148000,80659000
68,Total Liabilities And Stockholders Equity,101258000,134796000,152230000,157081000,188302000,195236000,274287000
69,Minority Interest,6708000,3643000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,107966000,138439000,152230000,157081000,188302000,195236000,274287000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,1571000,-9013000,-15881000,10965000,7770000,2847000
74,Depreciation and Amortization,- -,12655000,13832000,12419000,21805000,24472000,28197000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,945000,323000,8936000,5262000,390000,3670000
77,Change in Working Capital,- -,-20961000,-3465000,-10259000,-44217000,14714000,-15387000
78,Accounts Receivable,- -,-20038000,4010000,758000,-18019000,9042000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,7485000,2336000,4406000,8997000,7107000,-1655000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,8832000,4969000,-962000,8387000,4373000,6570000
83,Cash Provided by Operating Activities,- -,3042000,6646000,-5747000,2202000,51719000,25897000
84,CAPEX,- -,-10881000,-9931000,-5765000,-6234000,-5265000,-20823000
85,Acquisitions Net,- -,- -,- -,182000,-3038000,430000,- -
86,Purchases of Investments,- -,-880000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,82000,96000,- -,- -
88,Other Investing Activites,- -,-1188000,-715000,-509000,-530000,-982000,-813000
89,Cash Used for Investing Activites,- -,-11583000,-9754000,-5439000,-9084000,-4835000,-20173000
90,Debt Repayment,- -,-23713000,-15394000,-226647000,-195167000,-162313000,-145372000
91,Common Stock Issued,- -,59000,25000,- -,- -,- -,63107000
92,Common Stock Repurchased,- -,-118000,- -,- -,-5972000,- -,- -
93,Dividends Paid,- -,-6563000,-1000000,-146000,-1600000,-121000,-4000000
94,Other Financing Activites,- -,42523000,31345000,229980000,205291000,128567000,116694000
95,Cash Used/Provided by Financing Activities,- -,12188000,14976000,3187000,2552000,-33867000,30429000
96,Effect of Forex Changes on Cash,- -,1000,2000,197000,-316000,-20000,-181000
97,Net Change In Cash,- -,3648000,11870000,-7802000,-4646000,12997000,35972000
98,Cash at the End of Period,- -,9451000,21321000,13519000,8873000,21870000,57842000
99,Cash at the Beginning of Period,- -,5803000,9451000,21321000,13519000,8873000,21870000
100,Free Cash Flow,- -,-7839000,-3285000,-11512000,-4032000,46454000,5074000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -
102,false,,,,,,,
