,https://roic.ai/company/IMCC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1100000,600000,100000,100000,110892,34583,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9074000,15890000,54300000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5145000,5422000,44004000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3929000,10468000,10296000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4330,0.6588,0.1896
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139431,- -,3639,1358,1120,- -,- -,- -,- -,- -,233000,136000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1288029,1272709,528132,502833,254238,205543,- -,- -,- -,124905,9099000,14795000,39690000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107055,34854,126939,3543,34665,8442,- -,- -,- -,- -,1240000,3782000,8995000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1395084,1307563,655071,506376,288903,213985,- -,- -,- -,124905,10339000,18577000,48685000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,409319,424861,350486,351135,367117,14650,12607,17016,14556,12478,4975,- -,44470,15250,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,409319,424861,350486,351135,367117,1549165,1320170,675726,522290,302501,218960,- -,44470,15250,124905,10572000,18713000,48685000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,409319,424861,350486,351135,367117,1549165,1320170,675726,522290,302501,218960,- -,44470,15250,124905,15717000,24135000,92689000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3049,- -,- -,- -,- -,- -,- -,- -,- -,3653000,277000,22024000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1729,- -,- -,- -,500,500,- -,707000,20504000,1648000
