,https://roic.ai/company/GTMAY,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4687741500,5767192500,5655604000,7365443200,8859368700,3115373786,3456104512,9095876744,10479126880,10497639213,2787617106,3254548385,2678757660,3303367608,4992808980,4035027096,3766045977,3747256657,3334745000,2838542000,2870723000,3128775000,2647484000,2464939000,1523066000,1475683000,1203281000,1361200000
2,COGS,3574394500,4341767500,4449537000,5950562200,6886114200,2113680649,2568760322,6104236141,7451563357,5507247774,1866163392,2259339060,1642739920,2648022942,2083965220,1485204092,1247649630,1235771193,1434084000,1232385000,1303111000,1486697000,1414469000,2642895000,1527434000,1496823000,1274844000,1309600000
3,Gross Profit,1113347000,1425425000,1206067000,1414881000,1973254500,1001693138,887344190,2991640602,3027563523,4990391439,921453714,995209325,1036017740,655344666,2908843760,2549823004,2518396347,2511485464,1900661000,1606157000,1567612000,1642078000,1233015000,-177956000,-4368000,-21140000,-71563000,51600000
4,Gross Profit Ratio,0.2375,0.2472,0.2133,0.1921,0.2227,0.3215,0.2567,0.3289,0.2889,0.4754,0.3306,0.3058,0.3868,0.1984,0.5826,0.6319,0.6687,0.6702,0.5700,0.5658,0.5461,0.5248,0.4657,-0.0722,-0.0029,-0.0143,-0.0595,0.0379
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2326208380,1607657248,1376773814,1513674223,1053183000,667244000,638194000,648762000,639913000,1194683000,211700000,173000000,96300000,73800000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2326208380,1607657248,1376773814,1513674223,1053183000,667244000,638194000,648762000,639913000,1194683000,211700000,173000000,96300000,73800000
9,Other Expenses,837360500,913813000,891954250,1060959200,1420347600,773195815,588317815,1263401101,8567511367,10031086423,2749634586,3211101190,2588835310,3092686095,428072964,555978412,707759850,717569264,696644000,585607000,855605000,671057000,555244000,-1238567000,-208445000,-155933000,-85155000,4400000
10,Operating Expenses,837360500,913813000,891954250,1060959200,1420347600,773195815,588317815,1263401101,8567511367,10031086423,2749634586,3211101190,2588835310,3092686095,2754281344,2163635660,2084533664,2231243487,1749827000,1252851000,1493799000,1319819000,1195157000,-43884000,3255000,17067000,11145000,78200000
11,COGS and Expenses,4411755000,5255580500,5341491250,7011521400,8306461800,2886876463,3157078137,7367637243,16019074724,15538334197,4615797978,5470440250,4231575230,5740709037,4838246564,3648839752,3332183294,3467014680,3183911000,2485236000,2796910000,2806516000,2609626000,2599011000,1530689000,1513890000,1285989000,1387800000
