,https://roic.ai/company/UFAB,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,126480235,- -,143309630,175287982,174909740,152489000,120214000,125669000
2,COGS,- -,95020102,- -,109488100,135234448,135575000,120981000,99543000,108950000
3,Gross Profit,- -,31460133,- -,33821530,40053534,39334740,31508000,20671000,16719000
4,Gross Profit Ratio,- -,0.2487,- -,0.2360,0.2285,0.2249,0.2066,0.1720,0.1330
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,23372200,29766864,29780960,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,23372200,29766864,29780960,26751000,20887000,19881000
9,Other Expenses,- -,21325888,- -,374230,- -,1155910,- -,4597000,2685000
10,Operating Expenses,- -,21325888,- -,23746430,29766864,30936870,26751000,25484000,22566000
11,COGS and Expenses,- -,116345990,- -,133234530,165001312,166511870,147732000,125027000,131516000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3667400,- -,2755091,2745904,3778328,4287000,3608000,3006000
14,Depreciation and Amortization,- -,3524669,- -,3903429,6319975,6630142,6863000,7085000,5599000
15,EBITDA,- -,13730733,- -,14001784,16685450,14969039,2119000,1199000,790000
16,EBITDA ratio,- -,0.1086,- -,0.0977,0.0952,0.0856,0.0139,0.0100,0.0063
17,Operating Income,- -,10134245,- -,10075102,10286670,8397871,-4755000,-6043000,-10962000
18,Operating Income ratio,- -,0.0801,- -,0.0703,0.0587,0.0480,-0.0312,-0.0503,-0.0872
19,Total Other Income Expenses (Gains),- -,-3595581,- -,-2731842,-2667099,-3837301,-4276000,-3451000,3147000
20,Income Before Tax,- -,6538664,- -,7343260,7619571,4560570,-9031000,-9494000,-7815000
21,Income Before Tax Ratio,- -,0.0517,- -,0.0512,0.0435,0.0261,-0.0592,-0.0790,-0.0622
22,Income Tax expense (Gain),- -,2073824,- -,2314324,1132880,861969,37000,-3784000,-852000
23,Net Income,- -,4464840,- -,5028940,6486691,3698600,-9068000,-5710000,-6963000
24,Net Income ratio,- -,0.0353,- -,0.0351,0.0370,0.0211,-0.0595,-0.0475,-0.0554
25,EPS,- -,0.75,- -,0.62,0.67,0.38,-0.93,-0.58,-0.67
26,EPS Diluted,- -,0.74,- -,0.60,0.66,0.37,-0.93,-0.58,-0.67
27,Weighted Average Shares Outstanding,- -,8345000,- -,8111190,9681628,9770011,9750538,9844828,10320000
