,https://roic.ai/company/BGI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,120969975,222995412,283559192,289482420,319805753,339483715,323967029,342060379,260005106,263337071,301624694,297867645,310794168,382415389,371013581,382632107,147708893,151049000,169420000,143068000
2,COGS,58708269,123752935,- -,157305759,168818332,175349507,173200311,196093522,153527756,150503179,168699791,169491908,184043559,233062210,229024880,238026693,91462822,92472000,104943000,86718000
3,Gross Profit,62261706,99242477,- -,132176661,150987421,164134208,150766718,145966857,106477349,112833891,132924903,128375736,126750608,149353179,141988701,144605414,56246071,58577000,64477000,56350000
4,Gross Profit Ratio,0.5147,0.4450,- -,0.4566,0.4721,0.4835,0.4654,0.4267,0.4095,0.4285,0.4407,0.4310,0.4078,0.3906,0.3827,0.3779,0.3808,0.3878,0.3806,0.3939
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,60097427,98134303,- -,120282890,133871146,140618072,139142833,151779065,113606014,109337931,122506815,117382189,122628646,139035823,125071346,132371151,70216545,70965000,70712000,59171000
10,Operating Expenses,60097427,98134303,- -,120282890,133871146,140618072,139142833,151779065,113606014,109337931,122506815,117382189,122628646,139035823,125071346,132371151,70216545,70965000,70712000,59171000
11,COGS and Expenses,118805696,221887238,- -,277588649,302689478,315967579,312343144,347872587,267133770,259841110,291206606,286874097,306672206,372098032,354096226,370397844,161679366,163437000,175655000,145889000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,12585331,11342864,11001049,10176642,9433796,10514375,14307123,13006361,11576808,4024034,4689000,5683000,3017000
14,Depreciation and Amortization,4615641,5380000,6250000,7109407,7410000,9118054,8060000,7930000,6036887,5625415,4980568,4854254,6105014,7595390,6847161,6754583,3291804,3859000,4845000,5458000
15,EBITDA,748008,24590305,3346959,8521127,14115682,21008210,8716693,-14998107,-2471026,9121375,15398656,15847801,10226976,10958863,26977165,17865971,22424043,-10138000,-2251000,2637000
16,EBITDA ratio,0.0062,0.1103,0.0118,0.0294,0.0441,0.0619,0.0269,-0.0438,-0.0095,0.0346,0.0511,0.0532,0.0329,0.0287,0.0727,0.0467,0.1518,-0.0671,-0.0133,0.0184
