,https://roic.ai/company/IMAB,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,11556000,53781000,30000000,1542668000,88026000
2,COGS,- -,- -,- -,- -,46432000
3,Gross Profit,- -,- -,- -,- -,41594000
4,Gross Profit Ratio,- -,- -,- -,- -,0.4725
5,Research and Development Exp.,267075000,426028000,840415000,984689000,1212958000
6,General and Administrative Exp.,25436000,66391000,654553000,402409000,899943000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",25436000,66391000,654553000,402409000,899943000
9,Other Expenses,- -,-750000,-568000,-11633000,- -
10,Operating Expenses,292511000,491669000,1494400000,1375465000,2112901000
11,COGS and Expenses,292511000,491669000,1494400000,1375465000,2159333000
12,Interest Income ,858000,4597000,30570000,24228000,21333000
13,Interest Expense (Gain),5643000,11695000,2991000,957000,21333000
14,Depreciation and Amortization,1634000,6740000,15634000,23136000,- -
15,EBITDA,-290963000,-382676000,-1433325000,507239000,-2313362000
16,EBITDA ratio,-25.1785,-7.1154,-47.7775,0.3288,-26.2804
17,Operating Income,-280955000,-438638000,-1464968000,155570000,-2071307000
18,Operating Income ratio,-24.3125,-8.1560,-48.8323,0.1008,-23.5306
19,Total Other Income Expenses (Gains),-17285000,37527000,13018000,327576000,-263388000
20,Income Before Tax,-298240000,-401111000,-1451950000,483146000,-2334695000
21,Income Before Tax Ratio,-25.8082,-7.4582,-48.3983,0.3132,-26.5228
22,Income Tax expense (Gain),- -,1722000,- -,12231000,-3154000
23,Net Income,-298240000,-402833000,-1451950000,470915000,-2331541000
24,Net Income ratio,-25.8082,-7.4902,-48.3983,0.3053,-26.4870
25,EPS,-6.70,-14.17,-25.68,8.07,-29.19
26,EPS Diluted,-6.70,-14.17,-25.68,6.90,-29.19
27,Weighted Average Shares Outstanding,44524522,30834374,57828975,58329923,79867332
28,Weighted Average Shares Outstanding Diluted,44524522,30834374,57828975,68361588,79867332
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,307930000,1588278000,1137473000,4758778000,3523632000
32,Short-Term Investments,266245000,255958000,32000000,31530000,753164000
33,Cash and Short-Term Investments,574175000,1844236000,1169473000,4790308000,4276796000
34,Net Receivables,4101000,23906000,55870000,465900000,477685000
35,Inventory,- -,- -,- -,- -,27237000
36,Other Current Assets,113315000,168719000,135976000,87456000,- -
37,Total Current Assets,691591000,2036861000,1361319000,5343664000,4781718000
38,PP&E,22336000,27659000,46504000,40269000,158497000
39,Goodwill,162574000,162574000,162574000,162574000,162574000
40,Intangible Assets,148844000,148844000,148844000,120444000,119666000
41,Intangible Assets,311418000,311418000,311418000,283018000,282240000
42,Investments,- -,- -,- -,664832000,380342000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,18331000,2010000,26634000
45,Total Non-Current Assets,333754000,339077000,376253000,990129000,847713000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1025345000,2375938000,1737572000,6333793000,5629431000
48,Accounts Payable,- -,- -,- -,- -,- -
49,Short-Term Debt,99000000,80000000,56807000,8058000,30669000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,15803000,14151000,- -,7509000,- -
52,Other Current Liabilities,80341000,252007000,531672000,560558000,593335000
53,Total Current Liabilities,195144000,346158000,588479000,576125000,624004000
54,Long-Term Debt,114007000,67026000,75691000,5542000,81786000
55,Deferred Revenue,- -,- -,- -,- -,224000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1015989000,2917858000,3108097000,124981000,111845000
58,Total Non-Current Liabilities,1129996000,2984884000,3183788000,130523000,417631000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,14299000,13600000,112455000
61,Total Liabilities,1325140000,3331042000,3772267000,706648000,1041635000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,6000,6000,6000,114000,126000
64,Retained Earnings,-357860000,-1014489000,-2494207000,-2023292000,-4354833000
65,Other Comprehensive Income/Loss,5691000,59380000,70127000,-50793000,-186510000
66,Other Total Stockholders Equity,52368000,-1000,389379000,7701116000,9129013000
67,Total Stockholders Equity,-299795000,-955104000,-2034695000,5627145000,4587796000
68,Total Liabilities And Stockholders Equity,1025345000,2375938000,1737572000,6333793000,5629431000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1025345000,2375938000,1737572000,6333793000,5629431000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-298240000,-402833000,-1451950000,470915000,- -
74,Depreciation and Amortization,1634000,6740000,15634000,23136000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,7039000,3520000,366895000,493464000,- -
77,Change in Working Capital,25041000,147928000,184789000,-240642000,- -
78,Accounts Receivable,- -,- -,- -,-130498000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,15803000,848000,-12731000,3589000,- -
82,Other Non-Cash Items,12369000,-36060000,16650000,-313315000,- -
83,Cash Provided by Operating Activities,-252157000,-280705000,-867982000,433558000,- -
84,CAPEX,-20327000,-14409000,-12241000,-8008000,- -
85,Acquisitions Net,93335000,- -,- -,-257651000,- -
86,Purchases of Investments,-369000000,-30000000,-134000000,-2491991000,- -
87,Sales/Maturities of Investments,138327000,53909000,358703000,2503749000,- -
88,Other Investing Activites,- -,- -,- -,52000000,- -
89,Cash Used for Investing Activites,-157665000,9500000,212462000,-201901000,- -
90,Debt Repayment,- -,-99000000,-80000000,-50000000,- -
91,Common Stock Issued,- -,- -,- -,3543660000,- -
92,Common Stock Repurchased,- -,- -,- -,-34859000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,758585000,1578669000,232709000,-18320000,- -
95,Cash Used/Provided by Financing Activities,758585000,1479669000,152709000,3440481000,- -
96,Effect of Forex Changes on Cash,-132000,59754000,15163000,-106643000,- -
97,Net Change In Cash,348631000,1268218000,-487648000,3565495000,- -
98,Cash at the End of Period,412713000,1680931000,1193283000,4758778000,- -
99,Cash at the Beginning of Period,64082000,412713000,1680931000,1193283000,- -
100,Free Cash Flow,-272484000,-295114000,-880223000,425550000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
