,https://roic.ai/company/RWLK,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,972000,1588000,3951000,3746000,5869000,7753000,6545000,4873000,4393000,5966000
2,COGS,983000,2017000,4106000,3532000,5133000,4652000,3720000,2147000,2204000,3063000
3,Gross Profit,-11000,-429000,-155000,214000,736000,3101000,2825000,2726000,2189000,2903000
4,Gross Profit Ratio,-0.0113,-0.2702,-0.0392,0.0571,0.1254,0.4000,0.4316,0.5594,0.4983,0.4866
5,Research and Development Exp.,1757000,2463000,8563000,5937000,9028000,6042000,7349000,5348000,3459000,2939000
6,General and Administrative Exp.,1657000,1762000,3352000,6395000,8188000,7691000,6793000,5259000,4980000,5626000
7,Selling and Marketing Exp.,2334000,4091000,7389000,13056000,13961000,11360000,7897000,6167000,5754000,6993000
8,"Selling, General and Administrative Exp.",3991000,5853000,10741000,19451000,22149000,19051000,14690000,11426000,10734000,12619000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5748000,8316000,19304000,25388000,31177000,25093000,22039000,16774000,14193000,15558000
11,COGS and Expenses,6731000,10333000,23410000,28920000,36310000,29745000,25759000,18921000,16397000,18621000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,2166000,- -,- -,1976000,- -,2398000,1499000,907000,- -
14,Depreciation and Amortization,61000,92000,111000,438000,696000,642000,463000,321000,285000,- -
15,EBITDA,-6576000,-9897000,-21512000,-24924000,-29828000,-23956000,-18819000,-13724000,-11733000,-12642000
16,EBITDA ratio,-6.7654,-6.2324,-5.4447,-6.6535,-5.0823,-3.0899,-2.8753,-2.8163,-2.6708,-2.1190
17,Operating Income,-5759000,-8745000,-19925000,-25174000,-30441000,-21992000,-19214000,-14048000,-12004000,-12655000
18,Operating Income ratio,-5.9249,-5.5069,-5.0430,-6.7202,-5.1867,-2.8366,-2.9357,-2.8828,-2.7325,-2.1212
19,Total Other Income Expenses (Gains),-878000,-3410000,-1698000,-188000,-2059000,-2606000,-2466000,-1496000,-921000,13000
20,Income Before Tax,-6637000,-12155000,-21623000,-25362000,-32500000,-24598000,-21680000,-15544000,-12925000,-12642000
21,Income Before Tax Ratio,-6.8282,-7.6543,-5.4728,-6.7704,-5.5376,-3.1727,-3.3125,-3.1898,-2.9422,-2.1190
22,Income Tax expense (Gain),21000,22000,45000,53000,3000,119000,-5000,7000,51000,94000
23,Net Income,-6658000,-12177000,-21668000,-25415000,-32503000,-24717000,-21675000,-15551000,-12976000,-12736000
24,Net Income ratio,-6.8498,-7.6681,-5.4842,-6.7846,-5.5381,-3.1881,-3.3117,-3.1913,-2.9538,-2.1348
25,EPS,-1031.50,-48.29,-158.50,-52.50,-61.75,-30.50,-14.75,-2.70,-0.82,-0.27
26,EPS Diluted,-1031.50,-48.29,-158.50,-52.50,-61.75,-30.50,-14.75,-2.70,-0.82,-0.27
