,https://roic.ai/company/VRNA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,266452,1499256,1285750,1528063,1776454,1464104,2706771,2731544,4101058,10763216,5579050,-32087000,24482286,43892589,44505000,79406000
6,General and Administrative Exp.,18928,1048177,894398,827390,1047815,1085010,1124084,1471166,1913319,1802274,1355036,1618717,-8170000,7985230,4939162,29772000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",18928,1048177,894398,827390,1047815,1085010,1124084,1471166,1913319,1802274,1355036,1618717,-8170000,7985230,4939162,29772000,33907000
9,Other Expenses,-6883,- -,196331,61505,11319,43215,268600,0,- -,- -,1172326,1288912,- -,16496,4582525,-8267000,-15630000
10,Operating Expenses,12045,1314629,2589985,2174645,2587197,2904680,2856788,4177937,4644863,5903332,13290578,8486679,-40257000,32484012,53414276,66010000,97683000
11,COGS and Expenses,12045,1314629,2589985,2174645,2587197,2904680,2856788,4177937,4644863,5903332,13290578,8486679,-40257000,32484012,53414276,66010000,97683000
12,Interest Income ,56783,123430,192365,203553,11319,12347,6210,32606,4340,46660,66358,106776,- -,1092529,988619,121000,14000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104517,98653,- -,65558,35000,340000
14,Depreciation and Amortization,- -,3918,25781,27824,35574,32411,37262,49083,61991,82434,78692,76030,7000,124353,398000,623000,629000
15,EBITDA,-12045,-1310711,-2562221,-2146822,-2551623,-2872268,-2819526,-4128854,-4582872,-5820899,-13211886,-8503159,7000,-33263120,-52773116,-65266000,-54618000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-1.3655
17,Operating Income,-12045,-1314629,-2605850,-2170252,-2596899,-2926287,-2869209,-4177937,-4644863,-5903332,-13290578,-8661529,-40212441,-32472592,-53866628,-74277000,-73313000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.8328
19,Total Other Income Expenses (Gains),56783,123430,192365,203553,11319,12347,6210,32606,4340,46660,66358,1292526,- -,1850066,2461058,9277000,17726000
20,Income Before Tax,44738,-1191199,-2413485,-1966699,-2585580,-2913940,-2862998,-4145331,-4640522,-5856673,-13224220,-7369003,- -,-30622526,-51405570,-65000000,-55587000
21,Income Before Tax Ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-1.3897
22,Income Tax expense (Gain),- -,- -,- -,41003,- -,7717,-192523,-77680,-477219,-1562796,-2236252,-1177278,- -,-5370013,-9525620,146000,-18000
23,Net Income,44738,-1191199,-2413485,-2007703,-2585580,-2921657,-2670476,-4067651,-4163303,-4293877,-10987967,-6191725,- -,-25252512,-41879950,-65146000,-55569000
24,Net Income ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-1.3892
25,EPS,0.01,-0.12,-0.13,-0.08,-0.10,-0.10,-0.09,-0.11,-0.10,-0.04,-0.09,-0.03,-2.53,-1.92,-3.18,-2.00,-0.96
26,EPS Diluted,0.01,-0.12,-0.13,-0.08,-0.10,-0.10,-0.09,-0.11,-0.10,-0.04,-0.09,-0.03,-2.53,-1.92,-3.18,-2.00,-0.96
27,Weighted Average Shares Outstanding,5594274,9657834,18050642,26137573,26942600,29845136,30430653,38327601,42695578,108342957,126240435,209371336,10968504,13138813,13165830,32866582,59148557
28,Weighted Average Shares Outstanding Diluted,6826452,9657834,18050642,26137573,26942600,29845136,30430653,38327601,42695578,108342957,126240435,209371336,10968504,13138813,13165830,32866582,59148557
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1657312/000165731218000006/0001657312-18-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1657312/000165731220000019/0001657312-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1657312/000165731221000004/0001657312-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1657312/000165731222000010/0001657312-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1689724,2082639,2482895,3595121,4576104,3091431,3921873,1552771,995648,15517618,5221391,49087104,31443000,25104050,30070278,187986000,148380000
32,Short-Term Investments,- -,2546972,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48819000,56998021,10257251,- -,- -
33,Cash and Short-Term Investments,1689724,4629611,2482895,3595121,4576104,3091431,3921873,1552771,995648,15517618,5221391,49087104,80262000,82102071,40327529,187986000,148380000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7105878,- -,8260000,15583000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,15486,103838,477938,99580,616076,106495,141287,336211,411653,2004008,3034249,4967362,6816000,1728251,13329312,6258000,6100000
37,Total Current Assets,1705210,4733450,2960833,3694700,5192180,3197926,4063160,1888982,1407302,17521626,8255641,54054466,87078000,90936199,53656842,202504000,170063000
38,PP&E,- -,33307,31730,20502,29106,23151,9316,63806,45590,34004,20477,17073,16000,26647,1329522,1157000,979000
39,Goodwill,- -,2878078,2913237,2151215,2375370,2267255,2280773,2374092,2422558,2286627,2176494,544109,441000,559588,578224,545000,545000
40,Intangible Assets,- -,121471,132871,105437,114807,155883,178549,202453,341579,592299,509615,2315465,1969000,2707847,3614884,- -,- -
41,Intangible Assets,- -,2999549,3046108,2256652,2490177,2423139,2459322,2576545,2764138,2878925,2686109,2859573,2410000,3267435,4193109,545000,545000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000
43,Tax Assets,1689724,2082639,2482895,3595121,4576104,3091431,3921873,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-2082639,-2482895,-3595121,-4576104,-3091431,-3921873,- -,0,0,- -,-0,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,3032856,3077838,2277154,2519283,2446290,2468637,2640352,2809727,2912930,2706587,2876647,2426000,3294082,5522631,1702000,16524000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1705210,7766306,6038671,5971854,7711463,5644215,6531797,4529334,4217029,20434555,10962228,56931113,89504000,94230281,59179472,204206000,186587000
48,Accounts Payable,20648,66613,194348,71756,189189,219163,138182,219177,543768,570642,1899207,887099,- -,3602426,1907746,178000,10044000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,603136,798000,648000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155537,228388,- -,- -,- -,147000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000,- -,- -,- -,- -
52,Other Current Liabilities,- -,62695,117005,51254,274890,98778,104024,102933,263119,245435,786372,12527034,8444000,9372145,10097289,13227000,22730000
53,Total Current Liabilities,20648,129308,311353,123010,464078,317940,242206,322110,806886,816077,2685579,13414133,8596000,12974571,12608171,14203000,33422000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,643782,5149000,5160000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134504,78670,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989766,1027000,1263831,1446216,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989766,1027000,1398335,2168668,5149000,5160000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81935000,- -,4337337,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1246919,1312000,934000
61,Total Liabilities,20648,129308,311353,123010,464078,317940,242206,322110,806886,816077,2685579,14403899,89504000,14372906,14776840,19352000,38582000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,86035,282126,291522,314848,375144,370416,444044,496442,614412,1571914,1496204,3168480,- -,6682063,6904600,31794000,31855000
64,Retained Earnings,44738,-1140260,-3567675,-4643636,-7548146,-10066058,-12748416,-17164674,-21650604,-24488680,-34216516,-35444834,- -,-87703025,-131938690,-207050000,-263716000
65,Other Comprehensive Income/Loss,- -,-1959,-13882,-26359,-50127,-63279,-77630,-101445,-114058,-124284,-132898,-3903,- -,- -,- -,-4601000,-4601000
66,Other Total Stockholders Equity,1553789,8497091,9017353,10203992,14470514,15085196,18671594,20976901,24560393,42659529,41129858,74807471,- -,- -,169436723,364711000,- -
67,Total Stockholders Equity,1684562,7636998,5727318,5848844,7247385,5326275,6289591,4207224,3410143,19618478,8276649,42527214,- -,79857375,44402633,184854000,148005000
68,Total Liabilities And Stockholders Equity,1705210,7766306,6038671,5971854,7711463,5644215,6531797,4529334,4217029,20434555,10962228,56931113,89504000,94230281,59179472,204206000,186587000
69,Minority Interest,- -,0,- -,- -,0,-0,- -,- -,0,- -,0,-0,- -,-0,-0,- -,- -
70,Total Liabilities & Equity,1705210,7766306,6038671,5971854,7711463,5644215,6531797,4529334,4217029,20434555,10962228,56931113,89504000,94230281,59179472,204206000,186587000
