,https://roic.ai/company/ZIM,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,2978291000,3247864000,3299761000,3991696000,10728698000
2,COGS,2697315000,3099765000,3036719000,3126671000,4662207000
3,Gross Profit,280976000,148099000,263042000,865025000,6066491000
4,Gross Profit Ratio,0.0943,0.0456,0.0797,0.2167,0.5654
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,121736000,116352000,120415000,129045000,229691000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",121736000,116352000,120415000,129045000,229691000
9,Other Expenses,22967000,25344000,28651000,30415000,33190000
10,Operating Expenses,144703000,141696000,149066000,159460000,262881000
11,COGS and Expenses,2842018000,3241461000,3185785000,3286131000,4925088000
12,Interest Income ,2061000,2492000,2447000,1915000,7355000
13,Interest Expense (Gain),102175000,100584000,147383000,150371000,168898000
14,Depreciation and Amortization,108386000,111567000,237125000,314185000,779223000
15,EBITDA,231029000,100630000,378125000,999116000,6598773000
16,EBITDA ratio,0.0776,0.0310,0.1146,0.2503,0.6151
17,Operating Income,142645000,-23216000,153022000,722049000,5816301000
18,Operating Income ratio,0.0479,-0.0071,0.0464,0.1809,0.5421
19,Total Other Income Expenses (Gains),-117049000,-82505000,-154300000,-181260000,-156809000
20,Income Before Tax,25596000,-105721000,-1278000,540789000,5659492000
21,Income Before Tax Ratio,0.0086,-0.0326,-0.0004,0.1355,0.5275
22,Income Tax expense (Gain),14233000,14132000,11766000,16599000,1010347000
23,Net Income,6235000,-125653000,-18149000,517961000,4640305000
24,Net Income ratio,0.0021,-0.0387,-0.0055,0.1298,0.4325
25,EPS,0.06,-1.26,-0.18,4.41,- -
26,EPS Diluted,0.06,-1.26,-0.18,4.41,- -
27,Weighted Average Shares Outstanding,100000000,100000000,100000000,117500000,- -
28,Weighted Average Shares Outstanding Diluted,100000000,104310786,100000000,117500000,- -
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,186291000,182786000,570414000,1543300000
32,Short-Term Investments,- -,68651000,5016000,58976000,2144458000
33,Cash and Short-Term Investments,- -,254942000,187802000,629390000,3687758000
34,Net Receivables,- -,352819000,291528000,520001000,1222330000
35,Inventory,- -,70492000,60342000,52237000,118965000
36,Other Current Assets,- -,68383000,91145000,- -,55812000
37,Total Current Assets,- -,746636000,630817000,1201628000,5084865000
38,PP&E,- -,990107000,1212507000,1536024000,4392554000
39,Goodwill,- -,8230000,8299000,- -,6271000
40,Intangible Assets,- -,56408000,-322589000,200801000,67562000
41,Intangible Assets,- -,64638000,- -,- -,73833000
42,Investments,- -,8752000,11210000,13329000,181424000
43,Tax Assets,- -,1055000,- -,- -,2142000
44,Other Non-Current Assets,- -,14949000,71560000,73260000,107020000
45,Total Non-Current Assets,- -,1079501000,1295277000,1622613000,4756973000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,1826137000,1926094000,2824241000,9841838000
48,Accounts Payable,- -,377846000,350775000,398876000,433850000
49,Short-Term Debt,- -,314348000,355643000,500745000,1023706000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,158143000,171990000,251889000,628493000
52,Other Current Liabilities,- -,82632000,47931000,- -,670546000
53,Total Current Liabilities,- -,932969000,926339000,1151510000,2756595000
54,Long-Term Debt,- -,553198000,541932000,519471000,2299503000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,346000,- -,- -,120619000
57,Other Non-Current Liabilities,- -,563636000,- -,- -,65592000
58,Total Non-Current Liabilities,- -,1117180000,541932000,519471000,2485714000
59,Other Liabilities,- -,- -,1793954000,1917747000,- -
60,Capital Lease Obligations,- -,614048000,857326000,1174016000,3071680000
61,Total Liabilities,- -,2050149000,2178361000,2549786000,5242309000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,88000,88000,88000,- -
64,Retained Earnings,- -,-2018086000,-936876000,-1523528000,2580596000
65,Other Comprehensive Income/Loss,- -,1787704000,1784469000,1790706000,2011409000
66,Other Total Stockholders Equity,- -,- -,-1105350000,- -,- -
67,Total Stockholders Equity,- -,-230294000,-257669000,267266000,4592005000
68,Total Liabilities And Stockholders Equity,- -,1819855000,1920692000,2817052000,9834314000
69,Minority Interest,- -,6282000,5402000,7189000,7524000
70,Total Liabilities & Equity,- -,1826137000,1926094000,2824241000,9841838000
71,SEC Link,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,6235000,-125653000,-18149000,517961000,4649145000
74,Depreciation and Amortization,108386000,111567000,237125000,314185000,779223000
75,Deferred Income Tax,14233000,14132000,- -,- -,1010347000
76,Stock Based Compensation,- -,- -,- -,- -,- -
77,Change in Working Capital,-6704000,111634000,17352000,-129846000,-270830000
78,Accounts Receivable,-15346000,-3807000,43422000,-204469000,- -
79,Inventory,-22358000,-6650000,- -,- -,-66728000
80,Accounts Payable,35578000,131679000,-28111000,- -,- -
81,Other Working Capital,-4578000,-9588000,- -,- -,6572000
82,Other Non-Cash Items,108776000,113329000,-236328000,-702300000,-196953000
83,Cash Provided by Operating Activities,230926000,225009000,- -,- -,5970932000
84,CAPEX,-29494000,-22582000,-16150000,-42641000,-1005030000
85,Acquisitions Net,- -,- -,- -,- -,-182399000
