,https://roic.ai/company/OMTK,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,1325757,1733303,1546723,1899740,1052518,1485818,1793556,1308100,1074213,1285686,964409,875997,1097467
2,COGS,933788,1154766,793293,971927,703630,852358,1032412,775999,905151,784893,796947,588944,1195359
3,Gross Profit,391969,578537,753430,927813,348888,633460,761144,532101,169062,500793,167462,287053,-97892
4,Gross Profit Ratio,0.2957,0.3338,0.4871,0.4884,0.3315,0.4263,0.4244,0.4068,0.1574,0.3895,0.1736,0.3277,-0.0892
5,Research and Development Exp.,329881,133302,143304,285745,292228,600091,295190,187109,118940,106896,106916,82052,63829
6,General and Administrative Exp.,928089,1498461,- -,2041447,1711440,1870533,1443951,1217396,1052344,811459,759606,671672,600169
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",928089,1498461,- -,2041447,1711440,1870533,1443951,1217396,1052344,811459,759606,671672,600169
9,Other Expenses,139375,94589,1050738,6732,23402,49976,30628,27593,24586,7590,567,543,1302
10,Operating Expenses,1397345,1726352,1194042,2333924,2027070,2520600,1769769,1432098,1195870,925945,867089,754267,665300
11,COGS and Expenses,2331133,2881118,1987335,3305851,2730700,3372958,2802181,2208097,2101021,1710838,1664036,1343211,1860659
12,Interest Income ,9595,2,2,35948,64807,45467,24,1,- -,- -,- -,- -,- -
13,Interest Expense (Gain),26812,6829,145,490,13,- -,1915,6170,8689,17882,19995,19858,24720
14,Depreciation and Amortization,96853,93711,70484,6369,22206,32731,30628,27593,24586,7590,567,543,- -
15,EBITDA,-829906,-1054102,-370126,-1363794,-1591169,-1795296,-973764,-866829,-1002222,-442134,-699060,-468511,42929
16,EBITDA ratio,-0.6260,-0.6081,-0.2393,-0.7179,-1.5118,-1.2083,-0.5429,-0.6627,-0.9330,-0.3439,-0.7249,-0.5348,0.0391
17,Operating Income,-1005376,-1147815,-440612,-1406111,-1678182,-1887140,-1008625,-899997,-1026808,-425152,-699627,-467214,-189492
