,https://roic.ai/company/ZUO,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , 
1,Revenue,92184000,113008000,167926000,235196000,276057000,305420000,346738000
2,COGS,43360000,48162000,79906000,116590000,134181000,130770000,140106000
3,Gross Profit,48824000,64846000,88020000,118606000,141876000,174650000,206632000
4,Gross Profit Ratio,0.5296,0.5738,0.5242,0.5043,0.5139,0.5718,0.5959
5,Research and Development Exp.,20485000,26355000,38639000,54417000,74398000,76795000,83219000
6,General and Administrative Exp.,11979000,15140000,22572000,39230000,44879000,54803000,76223000
7,Selling and Marketing Exp.,64508000,62384000,73087000,100766000,108264000,116914000,143366000
8,"Selling, General and Administrative Exp.",76487000,77524000,95659000,139996000,153143000,171717000,219589000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,96972000,103879000,134298000,194413000,227541000,248512000,302808000
11,COGS and Expenses,140332000,152041000,214204000,311003000,361722000,379282000,442914000
12,Interest Income ,-528000,219000,252000,-417000,2712000,2561000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,1822000
14,Depreciation and Amortization,3857000,4551000,6550000,8793000,11866000,15308000,16760000
15,EBITDA,-44819000,-34263000,-39476000,-67431000,-71087000,-55993000,-79416000
16,EBITDA ratio,-0.4862,-0.3032,-0.2351,-0.2867,-0.2575,-0.1833,-0.2290
17,Operating Income,-48148000,-39033000,-46278000,-75807000,-85665000,-73862000,-96176000
18,Operating Income ratio,-0.5223,-0.3454,-0.2756,-0.3223,-0.3103,-0.2418,-0.2774
19,Total Other Income Expenses (Gains),-528000,219000,252000,-417000,2712000,2561000,-1822000
20,Income Before Tax,-48676000,-38814000,-46026000,-76224000,-82953000,-71301000,-97998000
21,Income Before Tax Ratio,-0.5280,-0.3435,-0.2741,-0.3241,-0.3005,-0.2335,-0.2826
22,Income Tax expense (Gain),-469000,284000,1129000,1366000,441000,1873000,1427000
23,Net Income,-48207000,-39098000,-47155000,-77590000,-83394000,-73174000,-99425000
24,Net Income ratio,-0.5229,-0.3460,-0.2808,-0.3299,-0.3021,-0.2396,-0.2867
25,EPS,-1.09,-0.88,-1.06,-0.85,-0.75,-0.62,-0.80
26,EPS Diluted,-1.09,-0.88,-1.06,-0.85,-0.75,-0.62,-0.80
27,Weighted Average Shares Outstanding,44273500,44273500,44273500,91267000,111122000,117598000,124206000
28,Weighted Average Shares Outstanding Diluted,44273500,44273500,44273500,91267000,111122000,117598000,124206000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1423774/000142377419000026/0001423774-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1423774/000142377420000036/0001423774-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1423774/000142377421000020/0001423774-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1423774/000142377422000067/0001423774-22-000067-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,72645000,48208000,67940000,54275000,94110000,113507000
32,Short-Term Investments,- -,- -,- -,107908000,117662000,92484000,101882000
33,Cash and Short-Term Investments,- -,72645000,48208000,175848000,171937000,186594000,215389000
34,Net Receivables,- -,25752000,50297000,58837000,73522000,81062000,82263000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,4777000,8769000,10235000,21325000,26084000,30683000
37,Total Current Assets,- -,103174000,107274000,244920000,266784000,293740000,328335000
38,PP&E,- -,9172000,10204000,19625000,87775000,80454000,60319000
39,Goodwill,- -,1521000,20614000,20861000,17632000,17632000,17632000
40,Intangible Assets,- -,953000,11292000,9042000,5620000,3928000,3452000
41,Intangible Assets,- -,2474000,31906000,29903000,23252000,21560000,21084000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,5648000,5982000,4976000,24416000,25753000,31514000
45,Total Non-Current Assets,- -,17294000,48092000,54504000,135443000,127767000,112917000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,120468000,155366000,299424000,402227000,421507000,441252000
48,Accounts Payable,- -,2290000,2572000,1512000,2098000,2249000,6785000
