,https://roic.ai/company/ACAN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,30000,140000,60000,40000,- -,11564,503512,2028551
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38149
3,Gross Profit,- -,- -,- -,- -,30000,140000,- -,- -,- -,- -,503512,1990402
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,1.0000,- -,- -,- -,- -,1.0000,0.9812
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,1357404,1475827,1154880,1827487,1992888,2492712,2413562,1903692
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,15172,21312,10712,36539,126993,38179,42417
8,"Selling, General and Administrative Exp.",- -,- -,- -,12601,1357404,1490999,1176192,1838199,2029427,2619705,2451741,1946109
9,Other Expenses,- -,- -,- -,- -,394,456470,13229,- -,- -,783905,-1761675,- -
10,Operating Expenses,- -,- -,- -,12601,1357798,1947469,1189421,1838199,2029427,3403610,690066,1946109
11,COGS and Expenses,- -,- -,- -,12601,1357798,1947469,1189421,1838199,2029427,3403610,690066,1984258
12,Interest Income ,- -,- -,- -,- -,31616,213665,183255,11086,45028,29109,333681,18305
13,Interest Expense (Gain),- -,- -,- -,- -,5192,135540,272659,345284,2445456,560591,760704,925491
14,Depreciation and Amortization,- -,- -,- -,- -,394,2217,14956,14957,13803,1152,446854,518141
15,EBITDA,- -,- -,- -,-27702,-1295788,-1591587,-1923149,-2411653,-2015624,-4341925,498215,580739
16,EBITDA ratio,- -,- -,- -,-Infinity,-43.1929,-11.3685,-32.0525,-60.2913,-Infinity,-375.4691,0.9895,0.2863
17,Operating Income,- -,- -,- -,-12601,-1327798,-1807469,-1129421,-2437696,-2029427,-3392046,-186554,44293
18,Operating Income ratio,- -,- -,- -,-Infinity,-44.2599,-12.9105,-18.8237,-60.9424,-Infinity,-293.3281,-0.3705,0.0218
19,Total Other Income Expenses (Gains),- -,- -,- -,15101,26424,78125,-1081343,-334198,-2403289,-1511622,-522789,-907186
20,Income Before Tax,- -,- -,- -,2500,-1301374,-1729344,-2210764,-2771894,-4432716,-4903668,-709343,-862893
21,Income Before Tax Ratio,- -,- -,- -,Infinity,-43.3791,-12.3525,-36.8461,-69.2973,-Infinity,-424.0460,-1.4088,-0.4254
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,- -,2500,-1301374,-1729344,-2210764,-2771894,-4432716,-4903668,-709343,-862893
24,Net Income ratio,- -,- -,- -,Infinity,-43.3791,-12.3525,-36.8461,-69.2973,-Infinity,-424.0460,-1.4088,-0.4254
25,EPS,- -,- -,- -,0.00,-0.08,-0.10,-0.13,-0.15,-0.22,-0.21,-0.03,-0.04
26,EPS Diluted,- -,- -,- -,0.00,-0.08,-0.10,-0.13,-0.15,-0.22,-0.21,-0.03,-0.04
27,Weighted Average Shares Outstanding,11100000,11100000,62828765,80500000,15953243,16622507,17031000,19007371,20066824,22984703,23504820,23867543
28,Weighted Average Shares Outstanding Diluted,11100000,11100000,62828765,80500000,15953243,16622507,17031000,19007371,20066824,22984703,23504820,23867543
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1508348/000150441213000487/0001504412-13-000487-index.html,https://www.sec.gov/Archives/edgar/data/1508348/000112785515000070/0001127855-15-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000112785516000506/0001127855-16-000506-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774917000589/0001437749-17-000589-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774917020073/0001437749-17-020073-index.html,https://www.sec.gov/Archives/edgar/data/1508348/000143774919000885/0001437749-19-000885-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774920000611/0001437749-20-000611-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774920025713/0001437749-20-025713-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774921027906/0001437749-21-027906-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,170000,201350,20,1630,198140,465840,183009,696380
32,Short-Term Investments,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,270000,201350,20,1630,198140,465840,183009,696380
34,Net Receivables,- -,- -,- -,- -,- -,5980,2520,- -,- -,43830,- -,300418
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,2260000,2286570,259110,62960,3884240,897820,174432,22959
37,Total Current Assets,- -,- -,- -,- -,2530000,2493900,261650,64590,4082380,1407490,357441,1019757
38,PP&E,- -,- -,- -,- -,2258272,6399,5276,684181,1687176,7572788,14426501,14001760
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,40350,26510,12680,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,40350,26510,12680,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-1248272,1454211,4016934,5302109,3687864,2785732,-6914080,43185
45,Total Non-Current Assets,- -,- -,- -,- -,1010000,1500960,4048720,5998970,5375040,10358520,7512421,14044945
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,3540000,3994860,4310370,6063560,9457420,11766010,7869862,15064702
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,265276,276155,190020
49,Short-Term Debt,- -,- -,- -,- -,- -,900000,1157997,1070000,521250,385000,154978,160432
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,60000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,70000,97010,459053,730580,323580,131014,158466,163822
53,Total Current Liabilities,- -,- -,- -,- -,70000,997010,1677050,1800580,844830,781290,589599,514274
54,Long-Term Debt,- -,- -,- -,- -,830000,1682850,2024300,1978680,1782320,4874040,- -,9040018
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,830000,1682850,2024300,1978680,1782320,4874040,- -,9040018
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8403387,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4247952,4238310
61,Total Liabilities,- -,- -,- -,- -,900000,2679860,3701350,3779260,2627150,5655330,8992986,9554292
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,1660,1700,1940,2210,2350,2370,2420
64,Retained Earnings,- -,-670000,-670000,-660000,-1960000,-3694170,-5904930,-8676830,-13109540,-18013210,- -,-19585445
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1500,-2580,-3700,-4830,-1150,- -,- -
66,Other Total Stockholders Equity,- -,- -,667500,- -,4603553,5009003,6514826,10962890,19942436,24122686,5870933,25093435
67,Total Stockholders Equity,- -,- -,-2500,- -,2643553,1314993,609016,2284300,6830276,6110676,5873303,5510410
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,3543553,3994853,4310366,6063560,9457426,11766006,14866289,15064702
69,Minority Interest,- -,- -,- -,- -,-3553,7,4,- -,-6,4,-6996427,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,3540000,3994860,4310370,6063560,9457420,11766010,7869862,15064702
