,https://roic.ai/company/AVXL,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,959698,1479482,2139794,2728836,2597279,2653860,263847,732395,2271736,7254303,10672086,13344421,22260349,25231623,32983674
6,General and Administrative Exp.,- -,- -,25476,618224,3790037,2593728,2911655,3439140,1551672,1868547,2236580,4836978,8334740,5008275,5989170,6846599,5856609,9017511
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,133805,108138,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,91541,25476,618224,3790037,2593728,2911655,3572945,1659810,1868547,2236580,4836978,8334740,5008275,5989170,6846599,5856609,9017511
9,Other Expenses,- -,- -,115,- -,220,410,910,10358,1858,576,- -,- -,-712288,-140942,-149055,-298943,-149888,-54100
10,Operating Expenses,- -,- -,25591,1577922,5269739,4733932,5641401,6180582,4315528,2132970,2968975,7108714,14876755,15539419,19184536,28808005,30938344,41947085
11,COGS and Expenses,14466,91541,25591,1577922,5269739,4733932,5641401,6180582,4315528,2132970,2968975,7108714,14876755,15539419,19184536,28808005,30938344,41947085
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11322,88098,255092,207280,179973,26261
13,Interest Expense (Gain),- -,- -,- -,- -,- -,57861,291826,90246,144304,51341,7089,71825,- -,- -,- -,- -,179973,26261
14,Depreciation and Amortization,- -,- -,- -,- -,220,410,910,1657,1858,576,768,995,1252,- -,- -,- -,- -,- -
15,EBITDA,-14466,-91666,-25650,-1579159,-5269519,-4733522,-5640491,-6178925,-4313670,-2132394,-2968207,-7107719,-14875503,-15567040,-19134747,-28881374,-31063884,-41679741
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,-91541,-25591,-1577922,-5269739,- -,-5648268,-6180582,-4321491,- -,- -,- -,- -,- -,- -,- -,-30938344,-41947085
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,125,59,1237,-9772,-707626,-2849810,-1036319,-3841873,-1567076,-8399378,-4999416,169672,2138621,1803873,2595207,4680538,4306016
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3700046,-11368353,-12108130,-14707083,-13400798,-17380663,-26212798,-26257806,-37641069
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29615,59607,72746,82181,22664,267565
23,Net Income,-14395,-91625,-25532,-1579993,-5351269,-5499419,-8783037,-7307147,-8301705,-3700046,-11368353,-12108130,-14736698,-13460405,-17453409,-26294979,-26280470,-37908634
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.01,-0.02,-0.01,-0.32,-1.08,-1.08,-1.64,-1.16,-1.16,-0.48,-1.16,-0.65,-0.42,-0.33,-0.39,-0.54,-0.45,-0.54
26,EPS Diluted,-0.01,-0.02,-0.01,-0.32,-1.08,-1.08,-1.64,-1.16,-1.16,-0.48,-1.20,-0.65,-0.42,-0.33,-0.39,-0.54,-0.45,-0.54
27,Weighted Average Shares Outstanding,1912350,4346301,4800000,4801141,4926927,5050948,5360139,6292266,7042196,7977110,9931932,18584820,35153426,40841033,44655725,48906470,58194894,69802960
28,Weighted Average Shares Outstanding Diluted,1912350,4346301,4800000,4801141,4926927,5050948,5360139,6292266,7042196,7977110,9931932,18584820,35153426,40841033,44655725,48906470,58194894,69802960
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1314052/000108503706002536/0001085037-06-002536-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299308000148/0001062993-08-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299309000091/0001062993-09-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299309004536/0001062993-09-004536-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299310004359/0001062993-10-004359-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299311005004/0001062993-11-005004-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299312005603/0001062993-12-005603-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299313006497/0001062993-13-006497-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299314007294/0001062993-14-007294-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577415003756/0001615774-15-003756-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577416008914/0001615774-16-008914-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577417007272/0001615774-17-007272-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577418014328/0001615774-18-014328-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000173112219000784/0001731122-19-000784-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000173112220001338/0001731122-20-001338-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000173112221002062/0001731122-21-002062-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,28110,977,12275,25,6357,350994,264669,134702,11362,345074,7262138,15290976,9186814,27440257,22930638,22185630,29249018,152107745
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,28110,977,12275,25,6357,350994,264669,134702,11362,345074,7262138,15290976,9186814,27440257,22930638,22185630,29249018,152107745
34,Net Receivables,- -,- -,- -,- -,- -,- -,37820,809,- -,- -,- -,76840,79347,9748,40171,2642745,4849340,9136831
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,220,- -,- -,55958,23269,65094,1215,48375,89117,100845,180124,335928,1352931,500998,443839,371914
37,Total Current Assets,28110,977,12495,25,6357,406952,325758,200605,12577,393449,7351255,15468661,9446285,27785933,24323740,25329373,34542197,161616490
38,PP&E,- -,- -,- -,- -,862,1691,4091,2434,576,- -,2247,1252,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52396,52396,52396,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,862,1691,4091,2434,576,- -,2247,1252,52396,52396,52396,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28110,977,12495,25,7219,408643,329849,203039,13153,393449,7353502,15469913,9498681,27838329,24376136,25329373,34542197,161616490
48,Accounts Payable,- -,17058,8006,462529,749389,1591940,- -,410024,- -,- -,- -,- -,- -,- -,- -,3523332,3989054,4739781
49,Short-Term Debt,- -,- -,20000,- -,1550000,2506526,2492308,867919,299000,210863,192065,85238,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71614,70532,- -,- -,- -,- -,443831
52,Other Current Liabilities,2505,9939,- -,- -,- -,- -,797763,67500,2589324,1741797,1249084,2503726,3119993,3584334,3884626,1516342,3316574,5614774
53,Total Current Liabilities,2505,26997,28006,462529,2299389,4098466,3290071,1345443,2888324,1952660,1441149,2660578,3190525,3584334,3884626,5039674,7305628,10798386
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5719727,332,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,168000,- -,- -,- -,904000,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,168000,- -,- -,- -,904000,5719727,332,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2505,26997,28006,462529,2299389,4266466,3290071,1345443,2888324,2856660,7160876,2660910,3190525,3584334,3884626,5039674,7305628,10798386
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,3200,19200,19515,19957,20747,23517,26572,30241,37238,47201,32044,36169,43332,45935,52652,62047,75920
64,Retained Earnings,-14395,-106020,-131552,-1711545,-7062814,-12562233,-21896074,-29203221,-37504926,-41204972,-52573325,-63281455,-78018153,-91478558,-108931967,-133396760,-159677230,-197585864
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,125849,-630,-1540,-3197,-5055,-5631,-768,-1763,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,38000,76800,96841,1229526,4624838,8684293,18913875,28037442,34604569,38710154,52719518,76060177,84290140,115689221,129377542,153633807,186851752,- -
67,Total Stockholders Equity,25605,-26020,-15511,-462504,-2292170,-3857823,-2960222,-1142404,-2875171,-2463211,192626,12809003,6308156,24253995,20491510,20289699,27236569,150818104
68,Total Liabilities And Stockholders Equity,28110,977,12495,25,7219,408643,329849,203039,13153,393449,7353502,15469913,9498681,27838329,24376136,25329373,34542197,161616490
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,28110,977,12495,25,7219,408643,329849,203039,13153,393449,7353502,15469913,9498681,27838329,24376136,25329373,34542197,161616490
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1314052/000108503706002536/0001085037-06-002536-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299308000148/0001062993-08-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299309000091/0001062993-09-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299309004536/0001062993-09-004536-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299310004359/0001062993-10-004359-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299311005004/0001062993-11-005004-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299312005603/0001062993-12-005603-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299313006497/0001062993-13-006497-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299314007294/0001062993-14-007294-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577415003756/0001615774-15-003756-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577416008914/0001615774-16-008914-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577417007272/0001615774-17-007272-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577418014328/0001615774-18-014328-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000173112219000784/0001731122-19-000784-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000173112220001338/0001731122-20-001338-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000173112221002062/0001731122-21-002062-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-14395,-91625,-25532,-1579993,-5351269,-5499419,-8783037,-7307147,-8301705,-3700046,-11368353,-12108130,-14736698,-13460405,-17453409,-26294979,-26280470,-37908634
74,Depreciation and Amortization,- -,- -,- -,- -,220,410,910,1657,1858,576,768,995,1252,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,812336,770055,1273162,302208,1002500,637925,1633979,5062267,4135570,5517004,6430873,4876906,8231403
77,Change in Working Capital,2505,-51625,10509,-446993,-1830528,-1398482,727201,1819475,-1730909,1316536,7469317,6897977,-6552323,17945839,-3762485,-149415,116518,-706443
