,https://roic.ai/company/MAIN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,8087255,16020976,12474978,17295426,16002247,36507907,66240010,120159000,114467000,130721000,125485000,171668000,235354000,214350000,173232000,58353000,421448000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,9761807,12474978,17295426,16002247,36507907,66240010,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.6093,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,197192,197979,- -,3202371,2989716,1437027,2482689,2330000,4877000,7134000,8621000,9284000,11674000,11868000,12546000,12702000,12494000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",197192,197979,- -,3202371,2989716,1437027,2482689,2330000,4877000,7134000,8621000,9284000,11674000,11868000,12546000,12702000,12494000
9,Other Expenses,- -,1942032,2707440,- -,- -,6751842,10962013,2565000,12770000,16552000,21114000,24712000,28587000,28117000,29875000,29809000,45329000
10,Operating Expenses,- -,2140011,2707440,3202371,2989716,8188869,13444702,4895000,17647000,23686000,29735000,33996000,40261000,39985000,42421000,42511000,57823000
11,COGS and Expenses,- -,2140011,2707440,3202371,2989716,8188869,13444702,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,7559744,9761807,12474978,17295426,16002247,36507907,66240010,90520000,95885000,111186000,132319000,138863000,161934000,177103000,92414000,173676000,193667000
13,Interest Expense (Gain),2063726,2717236,3245839,3777919,3790702,9058386,13518204,15631000,20238000,23589000,32115000,33630000,36479000,43493000,50258000,49587000,58836000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5622000,- -
15,EBITDA,9953789,18540233,9053254,11529457,13457090,48742884,82773058,130841000,117058000,130624000,127865000,171302000,231572000,217858000,181069000,71051000,422461000
