,https://roic.ai/company/MYMD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,4610404,1020916,5519167,6077778,1844105,3053281,1785068,1522363,3577851,4427174,2115050,2960912,3929527,1665570,1577033,- -,- -
2,COGS,2939993,2463942,2013723,1370708,1100646,1287686,894562,975952,1913844,1175232,950792,1083087,1419963,1538285,1098286,- -,- -
3,Gross Profit,1670411,-1443026,3505444,4707070,743459,1765595,890506,546411,1664007,3251942,1164258,1877825,2509564,127285,478747,- -,- -
4,Gross Profit Ratio,0.3623,-1.4135,0.6351,0.7745,0.4032,0.5783,0.4989,0.3589,0.4651,0.7345,0.5505,0.6342,0.6386,0.0764,0.3036,- -,- -
5,Research and Development Exp.,789618,787283,126485,431627,662082,674682,698426,717155,1006800,916308,1406895,1188868,1260378,1063253,276788,7963678,6745104000
6,General and Administrative Exp.,- -,- -,283086,151653,4312126,1886188,3277961,1489672,1524626,3979080,4029516,3008811,4082313,5666018,3728514,4299062,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,707790,638732,684720,1302103,2543286,2137282,2048571,1782315,238036,22963,- -
8,"Selling, General and Administrative Exp.",- -,- -,283086,151653,4312126,1886188,3985751,2128404,2209346,5281183,6572802,5146093,6130884,7448333,3966550,4322025,- -
9,Other Expenses,3086218,6598651,4836549,2105641,434815,337318,59159,320135,258572,258572,236706,171108,171108,171108,40008,- -,22064603000
10,Operating Expenses,3875836,7385935,5246120,2688921,5409023,2898188,4743336,3165694,3474718,6456063,8216403,6506069,7562370,8682694,4283346,12285703,28809707000
11,COGS and Expenses,6815829,9849876,7259843,4059629,6509669,4185874,5637898,4141646,5388562,7631295,9167195,7589156,8982333,10220979,5381632,12285703,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),650273,1254549,624395,1281758,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,608460000
14,Depreciation and Amortization,- -,- -,- -,545894,920490,484029,525332,537882,354397,349398,299995,286162,249894,234486,74064,29452,- -
15,EBITDA,-3856913,-8828960,-1740676,592556,-3707527,-719267,-3356836,-2074542,-1172376,-2777769,-9281262,-3017376,-5555432,-10614548,-3814185,-12270688,-28809707000
16,EBITDA ratio,-0.8366,-8.6481,-0.3154,0.0975,-2.0105,-0.2356,-1.8805,-1.3627,-0.3277,-0.6274,-4.3882,-1.0191,-1.4138,-6.3729,-2.4186,-Infinity,-Infinity
17,Operating Income,-2205425,-8828960,-1740676,2018149,-4665564,-1132593,-3852830,-2619283,-1810711,-3204121,-7052145,-4628244,-5052806,-8555409,-3804599,-12285703,-28809707000
18,Operating Income ratio,-0.4784,-8.6481,-0.3154,0.3321,-2.5300,-0.3709,-2.1584,-1.7205,-0.5061,-0.7237,-3.3343,-1.5631,-1.2859,-5.1366,-2.4125,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-2301761,-1254549,-624395,-3253244,37547,-70703,-29338,6859,283938,76954,-2529112,1324706,-752520,-2293625,-83650,133489,-1079338000
20,Income Before Tax,-4507186,-10083509,-2365071,-1235095,-4628017,-1203296,-3882168,-2612424,-1526773,-3127167,-9581257,-3303538,-5805326,-10849034,-3888249,-12152214,-29889045000
21,Income Before Tax Ratio,-0.9776,-9.8769,-0.4285,-0.2032,-2.5096,-0.3941,-2.1748,-1.7160,-0.4267,-0.7064,-4.5300,-1.1157,-1.4774,-6.5137,-2.4655,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,-488862,-640456,-699936,- -,-283413,-297890,-163373,- -,- -,-269344,- -,- -,- -,- -,- -,- -
23,Net Income,-4507186,-9594647,-1724614,-535159,-4628017,-919883,-3584278,-2449051,-1526773,-3127167,-9311913,-3303538,-5805326,-10849034,-3888249,-17580609,-29889045000
24,Net Income ratio,-0.9776,-9.3981,-0.3125,-0.0881,-2.5096,-0.3013,-2.0079,-1.6087,-0.4267,-0.7064,-4.4027,-1.1157,-1.4774,-6.5137,-2.4655,-Infinity,-Infinity
25,EPS,-2695.77,-5092.00,-898.59,-257.54,-1198.12,-299.53,-599.06,-299.53,-184.32,-126.72,-347.52,-117.12,-117.12,-23.76,-6.35,-2.49,-4237.97
26,EPS Diluted,-2695.77,-5092.00,-898.59,-257.54,-1198.12,-299.53,-599.06,-299.53,-184.32,-126.72,-347.52,-117.12,-117.12,-23.76,-6.35,-2.49,-4237.97
27,Weighted Average Shares Outstanding,1671,1895,2078,2078,3789,3818,5449,5953,8316,24717,26775,28282,49453,457246,612672,7052686,7052686
28,Weighted Average Shares Outstanding Diluted,1671,1895,2078,2078,3789,3818,5449,5953,8316,24717,26775,28282,49453,457246,612672,7052686,7052686
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321834/000114420414018497/0001144204-14-018497-index.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315215000954/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315216008364/0001493152-16-008364-index.html,https://www.sec.gov/Archives/edgar/data/1321834/000149315217003722/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315218004626/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315219004590/0001493152-19-004590-index.html,https://www.sec.gov/Archives/edgar/data/1321834/000149315220004650/0001493152-20-004650-index.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315221005129/0001493152-21-005129-index.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315222008546/0001493152-22-008546-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3172233,41229,1307013,4310439,2648973,423250,1192805,633022,103634,455841,402059,72700,438432,181755,517444,18617955,555967
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,9264961,4025104,50001,5011607,5272998,9164273,16718452,11003071
33,Cash and Short-Term Investments,3172233,41229,1307013,4310439,2648973,423250,1192805,633022,103634,9720802,4427163,122701,5450039,5454753,9681717,35336407,11559038
34,Net Receivables,3203199,229706,2015731,2215006,910084,274933,639725,790723,2076754,2326182,736284,633163,1615986,176326,42881,1200009,- -
35,Inventory,1219693,1107301,696672,408296,677352,685623,685675,987853,1025104,905116,1131654,2036521,1845281,585267,198985,- -,- -
36,Other Current Assets,146225,616476,- -,- -,105172,81880,84567,67898,163890,107633,185967,394559,413577,453782,387231,306345,1106347
37,Total Current Assets,7741350,1994713,4019415,6933741,4341581,1465686,2602772,2479496,3369382,13059733,6481068,3186944,9324883,6670128,10310814,36842761,12665385
38,PP&E,381907,223816,194747,336844,320871,433608,341433,240014,267321,201483,251145,259392,235113,83456,33574,- -,149009
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10498539
40,Intangible Assets,- -,- -,- -,2739943,2134617,2057426,3934408,3692855,2434637,2176065,1472883,1301775,1130667,243411,170423,- -,- -
41,Intangible Assets,96337,740164,2778657,2739958,2134617,2057426,3934408,3692855,2434637,2176065,1472883,1301775,1130667,243411,170423,- -,10498539
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,3172233,41229,1307013,4310439,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
