,https://roic.ai/company/AVEO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,11034138,19660210,20718532,44682000,164849000,19286000,1293000,18123000,19024000,2515000,7579000,5409000,28795000,6019000,38874000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4737000
3,Gross Profit,11034138,19660210,20718532,44682000,164849000,- -,- -,- -,- -,- -,- -,- -,- -,4774000,34137000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,0.7932,0.8781
5,Research and Development Exp.,29248014,41820505,51791943,86345000,101735000,91358000,68468000,38254000,12875000,23703000,25179000,20652000,17958000,22679000,26298000
6,General and Administrative Exp.,6501915,9164718,10120360,14763000,29167000,36932000,28712000,18589000,14217000,8205000,9138000,10781000,11211000,22217000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6501915,9164718,10120360,14763000,29167000,36932000,28712000,18589000,14217000,8205000,9138000,10781000,11211000,22217000,60814000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,35749929,50985223,61912303,101108000,130902000,128290000,97180000,56843000,27092000,31908000,34317000,31433000,29169000,44896000,87112000
11,COGS and Expenses,35749929,50985223,61912303,101108000,130902000,128290000,97180000,56843000,27092000,31908000,34317000,31433000,29169000,44896000,91849000
12,Interest Income ,2171301,1168353,144258,126000,527000,497000,125000,32000,21000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2437330,2085917,2810965,3389000,3836000,3501000,3127000,2388000,2307000,1949000,2373000,2191000,1815000,1605000,-4045000
14,Depreciation and Amortization,1334239,1320754,1288886,1350000,1654000,2510000,3775000,6219000,9567000,30000,- -,- -,- -,21000,- -
15,EBITDA,-21210251,-29066453,-40093593,-54050000,36138000,-108383000,-100127000,-44132000,-3127000,-24807000,-62551000,-3138000,11203000,-33958000,-57387000
16,EBITDA ratio,-1.9222,-1.4784,-1.9352,-1.2097,0.2192,-5.6198,-77.4377,-2.4351,-0.1644,-9.8636,-8.2532,-0.5801,0.3891,-5.6418,-1.4762
17,Operating Income,-24715791,-31325013,-41193771,-56426000,33947000,-111637000,-103904000,-50449000,-12426000,-29393000,-28811000,-25357000,-374000,-38877000,-49554000
18,Operating Income ratio,-2.2399,-1.5933,-1.9883,-1.2628,0.2059,-5.7885,-80.3589,-2.7837,-0.6532,-11.6871,-3.8014,-4.6879,-0.0130,-6.4590,-1.2747
19,Total Other Income Expenses (Gains),-266029,-1148111,-2999673,-2363000,-3299000,-2757000,-3125000,-2290000,-2575000,2607000,-36113000,20028000,9762000,3293000,-3788000
20,Income Before Tax,-24981820,-32473124,-44193444,-58789000,30648000,-114394000,-107029000,-52739000,-15001000,-26786000,-64924000,-5329000,9388000,-35584000,-53342000
21,Income Before Tax Ratio,-2.2640,-1.6517,-2.1330,-1.3157,0.1859,-5.9315,-82.7757,-2.9101,-0.7885,-10.6505,-8.5663,-0.9852,0.3260,-5.9119,-1.3722
22,Income Tax expense (Gain),- -,- -,-100056,- -,- -,- -,- -,- -,- -,101000,101000,- -,- -,- -,- -
23,Net Income,-24981820,-32473124,-44093388,-58789000,30648000,-114394000,-107029000,-52739000,-15001000,-26887000,-65025000,-5329000,9388000,-35584000,-53342000
24,Net Income ratio,-2.2640,-1.6517,-2.1282,-1.3157,0.1859,-5.9315,-82.7757,-2.9101,-0.7885,-10.6907,-8.5796,-0.9852,0.3260,-5.9119,-1.3722
25,EPS,-155.46,-202.07,-22.30,-23.00,7.70,-26.40,-21.00,-10.10,-2.70,-3.90,-6.10,-0.40,0.61,-1.66,-2.49
26,EPS Diluted,-155.46,-202.07,-22.30,-23.00,7.40,-26.40,-21.00,-10.10,-2.70,-3.90,-6.10,-1.90,0.61,-1.66,-2.49
27,Weighted Average Shares Outstanding,160700,160700,1976808,2558200,3971500,4337400,5092800,5228900,5570100,6926800,10593000,12059200,15331000,21402000,21402000
28,Weighted Average Shares Outstanding Diluted,160700,160700,1976808,2558200,4147300,4337400,5092800,5228900,5570100,6926800,10593000,13073100,15376000,21402000,21402000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1325879/000119312511062950/0001193125-11-062950-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312512141748/0001193125-12-141748-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312513101343/0001193125-13-101343-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312514097636/0001193125-14-097636-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312515079651/0001193125-15-079651-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459016014772/0001564590-16-014772-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459017005015/0001564590-17-005015-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459018005386/0001564590-18-005386-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459019007804/0001564590-19-007804-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459020011145/0001564590-20-011145-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459021013607/0001564590-21-013607-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000162828022006093/0001628280-22-006093-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,21083100,20813812,45289482,45791000,43506000,76134000,50826000,52306000,26634000,15096000,14949000,24427000,29785000,61761000,70542000
32,Short-Term Investments,40658974,11550405,6011350,94407000,177622000,84468000,67680000,- -,7501000,8252000,18576000,- -,17960000,- -,- -
33,Cash and Short-Term Investments,61742074,32364217,51300832,140198000,221128000,160602000,118506000,52306000,34135000,23348000,33525000,24427000,47745000,61761000,70542000
34,Net Receivables,621056,2080809,486797,391000,7210000,20649000,6817000,2341000,4641000,1027000,402000,3026000,1631000,1197000,9811000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1656000
36,Other Current Assets,981821,1161501,1306242,4864000,6057000,9430000,3596000,4481000,1600000,1940000,16256000,482000,1224000,2550000,22727000
