,https://roic.ai/company/TNK,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,125372000,153093000,146300000,144200000,113300000,139500000,121000000,197400000,170100000,250002000,534681000,550543000,431178000,776493000,943917000,886434000,542367000
2,COGS,50521000,68185000,69200000,33000000,36300000,47000000,48800000,97800000,106200000,131786000,230789000,295849000,283418000,609975000,654084000,635011000,600379000
3,Gross Profit,74851000,84908000,77100000,111200000,77000000,92500000,72200000,99600000,63900000,118216000,303892000,254694000,147760000,166518000,289833000,251423000,-58012000
4,Gross Profit Ratio,0.5970,0.5546,0.5270,0.7712,0.6796,0.6631,0.5967,0.5046,0.3757,0.4729,0.5684,0.4626,0.3427,0.2144,0.3071,0.2836,-0.1070
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,8975000,12142000,12500000,7700000,6700000,9800000,8600000,14900000,12600000,12821000,30403000,33199000,32879000,39775000,36404000,39006000,43715000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8975000,12142000,12500000,7700000,6700000,9800000,8600000,14900000,12600000,12821000,30403000,33199000,32879000,39775000,36404000,39006000,43715000
9,Other Expenses,13137000,15614000,15638000,22913000,28654000,47308000,43194000,30000,-6000,-1016000,-9710000,-14988000,- -,9412000,- -,- -,- -
10,Operating Expenses,22112000,27756000,28138000,30613000,35354000,57108000,51794000,14930000,12594000,11805000,20693000,18211000,32879000,49187000,36404000,39006000,43715000
11,COGS and Expenses,72633000,95941000,97300000,63600000,71700000,104100000,113900000,537600000,166700000,187944000,340976000,453791000,429762000,769289000,820034000,674017000,644094000
12,Interest Income ,- -,- -,- -,475000,70000,5394000,57000,11549000,7835000,9405000,107000,117000,907000,879000,871000,1199000,122000
13,Interest Expense (Gain),6919000,15737000,6464000,29272000,7012000,7513000,4185000,20009000,10023000,8741000,17389000,29784000,31294000,58653000,65362000,51525000,35031000
14,Depreciation and Amortization,13137000,15614000,15667000,22943000,28660000,45455000,43185000,72365000,47833000,50152000,73760000,104149000,100481000,118514000,124002000,117212000,106084000
15,EBITDA,65881000,72755000,64631000,104015000,74572000,69268000,38270000,-277826000,49756000,119431000,274775000,201756000,79082000,134031000,250829000,263337000,-103188000
16,EBITDA ratio,0.5255,0.4752,0.4418,0.7213,0.6582,0.4965,0.3163,-1.4074,0.2925,0.4777,0.5139,0.3665,0.1834,0.1726,0.2657,0.2971,-0.1903
17,Operating Income,52739000,57152000,48959000,80584000,41622000,35374000,7094000,-340195000,3411000,58271000,187200000,86456000,1416000,7204000,123883000,141573000,-194095000
18,Operating Income ratio,0.4207,0.3733,0.3346,0.5588,0.3674,0.2536,0.0586,-1.7234,0.0201,0.2331,0.3501,0.1570,0.0033,0.0093,0.1312,0.1597,-0.3579
19,Total Other Income Expenses (Gains),-6914000,-15748000,-6459000,-28784000,-2722000,-19074000,-16194000,-30005000,-11511000,2267000,-3574000,-18633000,-54109000,-50340000,-62418000,-46973000,-50208000
20,Income Before Tax,45825000,41404000,42500000,51800000,38900000,16300000,-9100000,-370200000,-8100000,60538000,183626000,67823000,-52693000,-43136000,61465000,94600000,-244303000
21,Income Before Tax Ratio,0.3655,0.2704,0.2905,0.3592,0.3433,0.1168,-0.0752,-1.8754,-0.0476,0.2422,0.3434,0.1232,-0.1222,-0.0556,0.0651,0.1067,-0.4504
22,Income Tax expense (Gain),1934000,1251000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5330000,9412000,20103000,7283000,-1931000
23,Net Income,43891000,40153000,42500000,51800000,38900000,16300000,-9100000,-370200000,-8100000,60538000,183626000,67823000,-58023000,-52548000,41362000,87317000,-242372000
24,Net Income ratio,0.3501,0.2623,0.2905,0.3592,0.3433,0.1168,-0.0752,-1.8754,-0.0476,0.2422,0.3434,0.1232,-0.1346,-0.0677,0.0438,0.0985,-0.4469
25,EPS,23.41,21.41,22.08,16.24,10.24,2.96,-1.20,-36.32,-0.80,5.36,10.88,3.20,-2.48,-1.60,1.23,2.59,-7.16
26,EPS Diluted,23.41,21.41,22.08,16.24,10.24,2.96,-1.20,-36.32,-0.80,5.28,10.80,3.20,-2.48,-1.60,1.23,2.57,-7.16
27,Weighted Average Shares Outstanding,1875000,1875000,1922945,3125000,3580479,5291254,7596315,9942450,10448878,10735335,16267028,19540418,23404422,33561615,33617635,33718665,33859306
28,Weighted Average Shares Outstanding Diluted,1875000,1875000,1922945,3125000,3580479,5291254,7596315,9942450,10448878,10780892,16339713,19570676,23404422,33561615,33732167,33921621,33859306
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419945/000095012309011932/c86310e20vf.htm,https://www.sec.gov/Archives/edgar/data/1419945/000095012310030166/0000950123-10-030166-index.html,https://www.sec.gov/Archives/edgar/data/1419945/000095012311034985/c15241e20vf.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312512162738/d253798d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312513186733/d488481d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312514173022/d685445d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312515152402/d849724d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312516558999/d131491d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828017004307/tnk201620-fdoc.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828018004935/tnk201720-fdoc.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828019004116/tnk201820-fdoc.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828020004971/tnk201920-fdoc.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,34800000,26700000,10400000,12500000,15900000,26300000,25600000,162797000,96417000,94157000,71439000,54917000,88824000,97232000,50572000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,117800000,136100000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,34800000,26700000,10400000,12500000,15900000,144100000,161700000,162797000,96417000,94157000,71439000,54917000,88824000,97232000,50572000
34,Net Receivables,15822000,10643000,4100000,18400000,10700000,20100000,17200000,40000000,43000000,90008000,158207000,107099000,83941000,113577000,96345000,68078000,89808000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49790000,34606000,49028000
36,Other Current Assets,2887000,3561000,2100000,3600000,2400000,2600000,3600000,18900000,10400000,9374000,25190000,56727000,21305000,57097000,186266000,45492000,55987000
37,Total Current Assets,18709000,14204000,41000000,48700000,23500000,35200000,36700000,203000000,215100000,262179000,279814000,257983000,176685000,225591000,421225000,245408000,245395000
38,PP&E,296899000,282451000,267700000,434000000,506300000,757400000,716600000,886000000,859300000,897237000,1767925000,1605372000,1965514000,1883561000,1769726000,1557829000,1351255000
39,Goodwill,- -,- -,- -,4700000,6800000,13300000,- -,- -,- -,- -,- -,8059000,8059000,8059000,2426000,2426000,2426000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29619000,17658000,14605000,11625000,2545000,1989000,1494000
41,Intangible Assets,- -,- -,- -,4700000,6800000,13300000,- -,- -,- -,- -,29619000,25717000,22664000,19684000,4971000,4415000,3920000
42,Investments,- -,- -,- -,- -,- -,116014000,126674000,- -,8366000,73397000,86808000,81273000,25460000,25766000,28112000,28561000,12954000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1806000,1970000,1600000,3400000,3400000,14586000,1926000,16700000,14734000,8359000,5310000,-5977000,7025000,6484000,5442000,4032000,5225000
45,Total Non-Current Assets,298705000,284421000,269300000,442100000,516500000,901300000,845200000,902700000,882400000,978993000,1889662000,1706385000,2020663000,1935495000,1808251000,1594837000,1373354000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,317414000,298625000,310300000,490800000,540000000,936500000,881900000,1105700000,1097500000,1241172000,2169476000,1964368000,2197348000,2161086000,2229476000,1840245000,1618749000
48,Accounts Payable,1428000,2322000,800000,3900000,2000000,8000000,6900000,3300000,2300000,1937000,16717000,14406000,7860000,11146000,70978000,86114000,67415000
