,https://roic.ai/company/LX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,2524942000,4338686000,5582189000,7596896000,10603507000,11645255000,11380525000
2,COGS,2597400000,3736654000,4262097000,4584956000,5609411000,8012187000,5631251000
3,Gross Profit,-72458000,602032000,1320092000,3011940000,4994096000,3633068000,5749274000
4,Gross Profit Ratio,-0.0287,0.1388,0.2365,0.3965,0.4710,0.3120,0.5052
5,Research and Development Exp.,40441000,127317000,235292000,320165000,415995000,474265000,549286000
6,General and Administrative Exp.,40962000,87364000,203635000,279859000,412117000,451284000,470661000
7,Selling and Marketing Exp.,243463000,376313000,405505000,589983000,1538698000,1274402000,1658904000
8,"Selling, General and Administrative Exp.",284425000,463677000,609140000,869842000,1950815000,1725686000,2129565000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,324866000,590994000,844432000,1190007000,2366810000,2199951000,2678851000
11,COGS and Expenses,2922266000,4327648000,5106529000,5774963000,7976221000,10212138000,8310102000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1930000,48343000,75517000,23059000,39215000,77542000,63125000
14,Depreciation and Amortization,1388000,4586000,18859000,30398000,87840000,107293000,- -
15,EBITDA,-395810000,-6752000,568955000,2162985000,2833566000,870444000,2832466000
16,EBITDA ratio,-0.1568,-0.0016,0.1019,0.2847,0.2672,0.0747,0.2489
17,Operating Income,-397324000,11038000,475660000,1821933000,2627286000,1433117000,3070423000
18,Operating Income ratio,-0.1574,0.0025,0.0852,0.2398,0.2478,0.1231,0.2698
19,Total Other Income Expenses (Gains),-1804000,-70719000,-1081000,287595000,79225000,-747508000,-300889000
20,Income Before Tax,-399128000,-59681000,474579000,2109528000,2706511000,685609000,2769534000
21,Income Before Tax Ratio,-0.1581,-0.0138,0.0850,0.2777,0.2552,0.0589,0.2434
22,Income Tax expense (Gain),-88934000,58258000,234227000,132222000,411959000,90629000,435418000
23,Net Income,-310194000,-117939000,240352000,1977306000,2294552000,594980000,2333923000
24,Net Income ratio,-0.1229,-0.0272,0.0431,0.2603,0.2164,0.0511,0.2051
25,EPS,-2.38,-0.48,0.46,11.70,12.90,3.26,12.66
26,EPS Diluted,-2.38,-0.48,0.36,10.90,12.28,3.12,11.46
27,Weighted Average Shares Outstanding,151859070,143859880,56810387,168941982,177812985,182366582,184230434
28,Weighted Average Shares Outstanding Diluted,165391994,143859880,70426200,181381280,187915566,205614905,207496358
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1708259/000110465919025320/a19-1147_120f.htm,https://www.sec.gov/Archives/edgar/data/1708259/000110465920053901/lx-20191231x20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,135371000,479605000,1126475000,1148292000,2085234000,1563755000,2664132000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,135371000,479605000,1126475000,1148292000,2085234000,1563755000,2664132000
34,Net Receivables,3082580000,6659032000,10670277000,7137582000,8317387000,10431689000,8572444000
35,Inventory,44295000,107704000,101653000,57196000,106781000,47170000,47816000
36,Other Current Assets,120892000,297607000,839931000,1961888000,5996916000,4375568000,5370972000
37,Total Current Assets,3383138000,7543948000,12738336000,10304958000,16506318000,16418182000,16655364000
38,PP&E,11950000,41747000,63125000,82420000,92553000,125694000,195330000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,1000467000,966067000
41,Intangible Assets,- -,- -,- -,- -,- -,1000467000,966067000
42,Investments,11578000,24887000,23485000,186073000,511605000,521802000,469064000
43,Tax Assets,89459000,42405000,38841000,94598000,157138000,747332000,1176878000
44,Other Non-Current Assets,320957000,1067148000,1865797000,1802526000,1968680000,1531688000,1563491000
45,Total Non-Current Assets,433944000,1176187000,1991248000,2165617000,2729976000,3926983000,4370830000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
