,https://roic.ai/company/WOLF,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6300000,7500000,11100000,17000000,29000000,42500000,60100000,108562000,177227000,155434000,229822000,306870000,389064000,422952000,394121000,493296000,567255000,867287000,987615000,1164658000,1385982000,1647641000,1632505000,1616627000,1473000000,1493680000,1080000000,903900000,525600000
2,COGS,3300000,4800000,7100000,12400000,15600000,23600000,26400000,41739000,89700000,92076000,130652000,158454000,184878000,222059000,260133000,327469000,355349000,456180000,551842000,755196000,862722000,1028846000,1157549000,1129553000,1038428000,1086038000,689000000,655600000,361000000
3,Gross Profit,3000000,2700000,4000000,4600000,13400000,18900000,33700000,66823000,87527000,63358000,99170000,148416000,204186000,200893000,133988000,165827000,211906000,411107000,435773000,409462000,523260000,618795000,474956000,487074000,434572000,407642000,391000000,248300000,164600000
4,Gross Profit Ratio,0.4762,0.3600,0.3604,0.2706,0.4621,0.4447,0.5607,0.6155,0.4939,0.4076,0.4315,0.4836,0.5248,0.4750,0.3400,0.3362,0.3736,0.4740,0.4412,0.3516,0.3775,0.3756,0.2909,0.3013,0.2950,0.2729,0.3620,0.2747,0.3132
5,Research and Development Exp.,- -,- -,500000,400000,1800000,1800000,4400000,7054000,12980000,28026000,31203000,36886000,42764000,54871000,58836000,58846000,71363000,81407000,115035000,143357000,155889000,181382000,182797000,168848000,158549000,164321000,157900000,184200000,177800000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1600000,2500000,2300000,2900000,4300000,4100000,6100000,11091000,18111000,25618000,26326000,31654000,34326000,44760000,53105000,76607000,86929000,115601000,139304000,197092000,236581000,268460000,290730000,283052000,277175000,283489000,200700000,211400000,- -
9,Other Expenses,1000000,1000000,1500000,1800000,3500000,4400000,5500000,11928000,4599000,103988000,1969000,1016000,7228000,2421000,5391000,18333000,16248000,12180000,12728000,26274000,30823000,31988000,26220000,28732000,27499000,30772000,43600000,14500000,196100000
