,https://roic.ai/company/VIST,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,198075000,331336000,415976000,273938000,652187000
2,COGS,174401000,212581000,328130000,271505000,385582000
3,Gross Profit,23674000,118755000,87846000,2433000,266605000
4,Gross Profit Ratio,0.1195,0.3584,0.2112,0.0089,0.4088
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4681000,25633000,39503000,31963000,45858000
7,Selling and Marketing Exp.,4158000,21580000,10825000,25238000,42748000
8,"Selling, General and Administrative Exp.",8839000,47213000,50328000,57201000,88606000
9,Other Expenses,-1756000,2945000,19657000,-2701000,-18510000
10,Operating Expenses,7083000,50158000,69985000,54500000,70096000
11,COGS and Expenses,181484000,262739000,398115000,326005000,455678000
12,Interest Income ,166000,2532000,3770000,822000,65000
13,Interest Expense (Gain),18000,15746000,35724000,49564000,50660000
14,Depreciation and Amortization,63277000,74772000,153001000,147674000,- -
15,EBITDA,83561000,108087000,172234000,84376000,203424000
16,EBITDA ratio,0.4219,0.3262,0.4140,0.3080,0.3119
17,Operating Income,20554000,54199000,14617000,-70008000,210553000
18,Operating Income ratio,0.1038,0.1636,0.0351,-0.2556,0.3228
19,Total Other Income Expenses (Gains),-288000,-36630000,-31108000,-42854000,-57789000
20,Income Before Tax,20266000,17569000,-16491000,-112862000,152764000
21,Income Before Tax Ratio,0.1023,0.0530,-0.0396,-0.4120,0.2342
22,Income Tax expense (Gain),6361000,47419000,16232000,-10113000,102114000
23,Net Income,13905000,-29850000,-32723000,-102749000,50650000
24,Net Income ratio,0.0702,-0.0901,-0.0787,-0.3751,0.0777
25,EPS,0.15,-0.53,-0.41,-1.18,0.58
26,EPS Diluted,0.15,-0.53,-0.41,-1.18,0.58
27,Weighted Average Shares Outstanding,95443572,56609000,80068287,87473056,87473056
28,Weighted Average Shares Outstanding Diluted,95443572,56609000,80068287,87473056,87473056
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,2666352,66047000,234230000,201314000,- -
32,Short-Term Investments,- -,14861000,6030000,1633000,- -
33,Cash and Short-Term Investments,2666352,80908000,240260000,202947000,315013000
34,Net Receivables,- -,85478000,90562000,51019000,46096000
35,Inventory,- -,18187000,19106000,13870000,13961000
36,Other Current Assets,- -,572000,22643000,- -,- -
37,Total Current Assets,2666352,185145000,372571000,267836000,375070000
38,PP&E,- -,820722000,933690000,1024836000,1250436000
39,Goodwill,- -,28484000,28484000,28484000,28416000
40,Intangible Assets,- -,31600000,541203000,21081000,3878000
41,Intangible Assets,- -,60084000,- -,49565000,32294000
42,Investments,- -,- -,3600000,- -,2977000
43,Tax Assets,- -,- -,- -,565000,2771000
44,Other Non-Current Assets,652694334,20191000,75272000,29810000,20210000
45,Total Non-Current Assets,652694334,900997000,1012562000,1104776000,1308688000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,655360686,1086142000,1385133000,1372612000,1683758000
48,Accounts Payable,276089,73609000,59264000,118619000,138482000
49,Short-Term Debt,- -,10352000,69712000,196410000,170888000
50,Tax Payable,9132,28944000,9079000,965000,55997000
51,Deferred Revenue,- -,- -,44897000,- -,- -
52,Other Current Liabilities,10122,50157000,19163000,18709000,76368000
53,Total Current Liabilities,286211,134118000,193036000,333738000,385738000
54,Long-Term Debt,- -,294415000,389096000,349559000,467159000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,38146,133757000,- -,135567000,175420000
57,Other Non-Current Liabilities,645265658,44195000,- -,45230000,90182000
58,Total Non-Current Liabilities,645303804,472367000,389096000,530356000,732761000
59,Other Liabilities,- -,- -,977477000,- -,- -
60,Capital Lease Obligations,- -,- -,16767000,23681000,27074000
61,Total Liabilities,645590015,606485000,781417000,864094000,1118499000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,25424,513255000,659399000,659400000,- -
64,Retained Earnings,-5094753,-34945000,-67668000,-170417000,- -
65,Other Comprehensive Income/Loss,- -,-2674000,-3857000,-3511000,- -
66,Other Total Stockholders Equity,14840000,4021000,15842000,23046000,- -
67,Total Stockholders Equity,9770671,479657000,603716000,508518000,565259000
68,Total Liabilities And Stockholders Equity,655360686,1086142000,1385133000,1372612000,1683758000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,655360686,1086142000,1385133000,1372612000,1683758000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,13905000,-29850000,-32723000,-102749000,- -
74,Depreciation and Amortization,63277000,74772000,153001000,147674000,- -
75,Deferred Income Tax,6361000,47419000,16232000,-10113000,- -
76,Stock Based Compensation,- -,- -,10655000,10494000,- -
77,Change in Working Capital,-15643000,7064000,-19933000,-2871000,- -
78,Accounts Receivable,- -,-32966000,- -,- -,- -
79,Inventory,8218000,-10951000,-609000,-2861000,- -
80,Accounts Payable,-4041000,34162000,-22113000,2397000,- -
81,Other Working Capital,-4078000,3264000,-2929000,-1672000,- -
82,Other Non-Cash Items,-22033000,23371000,7026000,51344000,- -
83,Cash Provided by Operating Activities,45867000,122776000,134258000,93779000,- -
84,CAPEX,-31660000,-149323000,-244540000,-156921000,- -
85,Acquisitions Net,- -,-708136000,- -,- -,- -
86,Purchases of Investments,-20769000,- -,- -,- -,- -
87,Sales/Maturities of Investments,4007000,16680000,5761000,- -,- -
88,Other Investing Activites,1613000,-28954000,-455000,-2842000,- -
89,Cash Used for Investing Activites,-46570000,-838247000,-235009000,-156099000,- -
90,Debt Repayment,- -,-260000000,-97852000,-107828000,- -
91,Common Stock Issued,- -,95000000,146143000,- -,- -
92,Common Stock Repurchased,- -,-204590000,- -,- -,- -
93,Dividends Paid,-6733000,- -,- -,- -,- -
94,Other Financing Activites,- -,511164000,218010000,138720000,- -
95,Cash Used/Provided by Financing Activities,-6733000,141574000,266301000,30892000,- -
96,Effect of Forex Changes on Cash,2231000,-15288000,2633000,-1488000,- -
97,Net Change In Cash,-5205000,-589185000,168183000,-32916000,- -
98,Cash at the End of Period,2444000,66047000,234230000,201314000,- -
99,Cash at the Beginning of Period,7649000,655232000,66047000,234230000,- -
100,Free Cash Flow,14207000,-26547000,-110282000,-63142000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,false,,,,,
