,https://roic.ai/company/TCS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,568820000,633619000,706757000,748500000,781866000,794630000,819930000,857228000,895093000,915953000,990088000
2,COGS,235295000,266355000,291146000,308800000,323800000,331079000,343860000,360167000,371410000,382488000,419611000
3,Gross Profit,333525000,367264000,415611000,439700000,458066000,463551000,476070000,497061000,523683000,533465000,570477000
4,Gross Profit Ratio,0.5863,0.5796,0.5881,0.5874,0.5859,0.5834,0.5806,0.5798,0.5851,0.5824,0.5762
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,293665000,- -,376100000,374156000,404399000,396789000,413747000,435946000,451709000,434588000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,293665000,- -,376100000,374156000,404399000,396789000,413747000,435946000,451709000,434588000
9,Other Expenses,295575000,32847000,369479000,33800000,40426000,34291000,38239000,48949000,38501000,39013000,36869000
10,Operating Expenses,295575000,326512000,369479000,409900000,414582000,438690000,435028000,462696000,474447000,490722000,471457000
11,COGS and Expenses,530870000,592867000,660625000,718700000,738382000,769769000,778888000,822863000,845857000,873210000,891068000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),26006000,25417000,21388000,21185000,17105000,16810000,16687000,25013000,27275000,21541000,17268000
14,Depreciation and Amortization,24354000,27451000,29550000,30353000,31011000,34230000,37124000,37922000,36305000,38638000,34731000
15,EBITDA,9436000,20823000,46359000,60185000,77982000,59091000,78166000,69640000,85541000,81381000,132842000
16,EBITDA ratio,0.0166,0.0329,0.0656,0.0804,0.0997,0.0744,0.0953,0.0812,0.0956,0.0888,0.1342
17,Operating Income,-14918000,-6628000,24142000,31027000,46971000,24861000,41042000,34087000,51318000,42743000,99004000
18,Operating Income ratio,-0.0262,-0.0105,0.0342,0.0415,0.0601,0.0313,0.0501,0.0398,0.0573,0.0467,0.1000
19,Total Other Income Expenses (Gains),-26006000,-25417000,-28721000,-22427000,-17105000,-16810000,-16687000,-27382000,-29357000,-21541000,-18161000
20,Income Before Tax,-40924000,-32045000,-4579000,8600000,29866000,8051000,24355000,6705000,21961000,21202000,80843000
21,Income Before Tax Ratio,-0.0719,-0.0506,-0.0065,0.0115,0.0382,0.0101,0.0297,0.0078,0.0245,0.0231,0.0817
22,Income Tax expense (Gain),4129000,-1374000,-4449000,447000,7193000,2909000,9402000,-12723000,281000,6715000,22560000
23,Net Income,-45053000,-30671000,-130000,8200000,22673000,5142000,14953000,19428000,21680000,14487000,58283000
