,https://roic.ai/company/BNGO,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,6792789,9505043,12000735,10129508,8502984,17981000
2,COGS,3578692,6030512,8711326,6768147,5730137,14107000
3,Gross Profit,3214097,3474531,3289409,3361361,2772847,3874000
4,Gross Profit Ratio,0.4732,0.3655,0.2741,0.3318,0.3261,0.2154
5,Research and Development Exp.,11431941,12009170,9484163,9080891,10256109,22485000
6,General and Administrative Exp.,12950572,14079658,14220331,20155376,31068060,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12950572,14079658,14220331,20155376,31068060,58490000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,24382513,26088828,23704494,29236267,41324169,80975000
11,COGS and Expenses,27961205,32119340,32415820,36004414,47054306,95082000
12,Interest Income ,- -,- -,- -,- -,- -,236000
13,Interest Expense (Gain),470072,590927,1381024,2286196,2518893,-927000
14,Depreciation and Amortization,1115027,1504042,1320521,1127850,1479537,3351000
15,EBITDA,-17250592,-21251843,-15779336,-26379976,-37078728,-64294000
16,EBITDA ratio,-2.5395,-2.2358,-1.3149,-2.6043,-4.3607,-3.5757
17,Operating Income,-21168416,-23218808,-20415085,-25874906,-38551322,-77101000
18,Operating Income ratio,-3.1163,-2.4428,-1.7012,-2.5544,-4.5339,-4.2879
19,Total Other Income Expenses (Gains),2332725,-128004,1934204,-3919116,-2525836,-1051000
20,Income Before Tax,-18835691,-23346812,-18480881,-29794022,-41077158,-78152000
21,Income Before Tax Ratio,-2.7729,-2.4563,-1.5400,-2.9413,-4.8309,-4.3464
22,Income Tax expense (Gain),12924,18552,15511,21048,29193,5717000
23,Net Income,-18848615,-23365364,-18496392,-29815070,-41106351,-72435000
24,Net Income ratio,-2.7748,-2.4582,-1.5413,-2.9434,-4.8343,-4.0284
25,EPS,-3.61,-8.65,-1.84,-0.87,-0.22,-0.26
26,EPS Diluted,-3.61,-8.65,-1.84,-0.87,-0.22,-0.26
27,Weighted Average Shares Outstanding,5227448,2701065,10055072,34274469,189952944,276782000
28,Weighted Average Shares Outstanding Diluted,5227448,2701065,10055072,34274469,189952944,276782000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1411690/000162828019002959/0001628280-19-002959-index.htm,https://www.sec.gov/Archives/edgar/data/1411690/000141169020000006/0001411690-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1411690/000141169021000004/0001411690-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1411690/000141169022000007/0001411690-22-000007-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,5249620,1021897,16522729,17311373,38448710,24571000
32,Short-Term Investments,- -,- -,- -,- -,- -,226041000
33,Cash and Short-Term Investments,5249620,1021897,16522729,17311373,38448710,250612000
34,Net Receivables,1846567,3352214,4514333,6333963,2775042,4934000
35,Inventory,1797401,1693742,1068557,3443559,3315708,12387000
36,Other Current Assets,1842066,1071512,919500,1169346,2249696,4481000
37,Total Current Assets,10735654,7139365,23025119,28258241,46789156,272414000
38,PP&E,4052083,3005788,1777302,1949625,4910414,17009000
39,Goodwill,- -,- -,- -,- -,7172649,56160000
40,Intangible Assets,- -,- -,- -,- -,1474667,- -
41,Intangible Assets,- -,- -,- -,- -,8647316,56160000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,102640,31517000
45,Total Non-Current Assets,4052083,3005788,1777302,1949625,13660370,104686000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,14787737,10145153,24802421,30207866,60449526,377100000
48,Accounts Payable,792332,2302964,1351736,2699153,2929662,9696000
49,Short-Term Debt,587131,6729752,- -,20084945,- -,7054000
50,Tax Payable,- -,- -,- -,- -,562149,- -
51,Deferred Revenue,446769,211697,270998,357492,415504,- -
52,Other Current Liabilities,7537603,7407838,2900129,3225431,5598810,5090000
53,Total Current Liabilities,9363835,16652251,4522863,26367021,8943976,21840000
54,Long-Term Debt,6046045,- -,9029374,- -,16325501,5288000
55,Deferred Revenue,244884,142929,304467,182648,97875,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,26391945,43577184,808366,44479,- -,12854000
58,Total Non-Current Liabilities,32682874,43720113,10142207,227127,16423376,18142000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,42046709,60372364,14665070,26594148,25367352,39982000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,7,8,1004,3427,18995,29000
64,Retained Earnings,-30900672,-54266036,-72762428,-102577498,-143683849,-216119000
65,Other Comprehensive Income/Loss,-2417523,-3921565,-5162364,-6273466,- -,-539000
66,Other Total Stockholders Equity,6059216,7960382,88061139,112461255,178747028,553747000
67,Total Stockholders Equity,-27258972,-50227211,10137351,3613718,35082174,337118000
68,Total Liabilities And Stockholders Equity,14787737,10145153,24802421,30207866,60449526,377100000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14787737,10145153,24802421,30207866,60449526,377100000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1411690/000162828019002959/0001628280-19-002959-index.htm,https://www.sec.gov/Archives/edgar/data/1411690/000141169020000006/0001411690-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1411690/000141169021000004/0001411690-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1411690/000141169022000007/0001411690-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-18848615,-23365364,-18496392,-29815070,-41106351,-72435000
74,Depreciation and Amortization,1115027,1504042,1320521,1127850,1479537,3351000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-5777000
76,Stock Based Compensation,130643,382830,1309337,1346023,1554069,9719000
77,Change in Working Capital,-2961233,-10884705,28015142,-16611036,35953960,212728820
78,Accounts Receivable,-856098,-1767647,-900119,-2374497,2086927,-493000
79,Inventory,-726138,-336046,-418984,-3641017,-4201281,-15928000
80,Accounts Payable,-608653,1541472,-954377,1362397,-1809309,6781000
81,Other Working Capital,1371819,-9512886,18502256,1891220,37845180,250574000
82,Other Non-Cash Items,-2932180,11545399,-32092455,14422513,-36195593,-219513820
83,Cash Provided by Operating Activities,-23496358,-20817798,-19943847,-29529720,-38314378,-71927000
84,CAPEX,-1349853,-1017830,-331716,-61056,4656432,-822000
85,Acquisitions Net,- -,- -,- -,- -,-2449952,-49086000
86,Purchases of Investments,- -,- -,- -,- -,- -,-313392000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,86483000
88,Other Investing Activites,- -,- -,- -,- -,-4656432,-1245000
89,Cash Used for Investing Activites,-1349853,-1017830,-331716,-61056,-2449952,-278062000
90,Debt Repayment,-5000000,- -,-7447571,-14427117,-7258482,-607000
91,Common Stock Issued,- -,- -,19389978,19556464,39933977,342711000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,30431061,17607905,23833988,25250073,29226172,-5993000
95,Cash Used/Provided by Financing Activities,25431061,17607905,35776395,30379420,61901667,336111000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,584850,-4227723,15500832,788644,21137337,-13878000
98,Cash at the End of Period,5249620,1021897,16522729,17311373,38448710,24571000
99,Cash at the Beginning of Period,4664770,5249620,1021897,16522729,17311373,38449000
100,Free Cash Flow,-24846211,-21835628,-20275563,-29590776,-38314378,-72749000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1411690/000162828019002959/0001628280-19-002959-index.htm,https://www.sec.gov/Archives/edgar/data/1411690/000141169020000006/0001411690-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1411690/000141169021000004/0001411690-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1411690/000141169022000007/0001411690-22-000007-index.htm
102,false,,,,,,
