,https://roic.ai/company/GOTU,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,97580000,397306000,2114855000,7124744000,6561747000
2,COGS,25023000,142753000,535912000,1762548000,2397604000
3,Gross Profit,72557000,254553000,1578943000,5362196000,4164143000
4,Gross Profit Ratio,0.7436,0.6407,0.7466,0.7526,0.6346
5,Research and Development Exp.,52451000,74050000,212197000,734450000,1252877000
6,General and Administrative Exp.,37208000,39831000,110106000,566565000,720253000
7,Selling and Marketing Exp.,75325000,121518000,1040906000,5816214000,5129267000
8,"Selling, General and Administrative Exp.",112533000,161349000,1151012000,6382779000,5849520000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,164984000,235399000,1363209000,7117229000,7102397000
11,COGS and Expenses,190007000,378152000,1899121000,8879777000,9500001000
12,Interest Income ,189000,2193000,8861000,3372000,31460000
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,4931000,4216000,12056000,57212000,- -
15,EBITDA,-86644000,26482000,255643000,-1370337000,-3062516000
16,EBITDA ratio,-0.8879,0.0667,0.1209,-0.1923,-0.4667
17,Operating Income,-92427000,19154000,215734000,-1755033000,-3180343000
18,Operating Income ratio,-0.9472,0.0482,0.1020,-0.2463,-0.4847
19,Total Other Income Expenses (Gains),1073000,2243000,26505000,327421000,118129000
20,Income Before Tax,-91354000,21397000,242239000,-1427612000,-3062214000
21,Income Before Tax Ratio,-0.9362,0.0539,0.1145,-0.2004,-0.4667
22,Income Tax expense (Gain),-4620000,2616000,16957000,-34619000,40949000
23,Net Income,-86955000,19650000,226630000,-1392930000,-3103465000
24,Net Income ratio,-0.8911,0.0495,0.1072,-0.1955,-0.4730
25,EPS,-0.54,-0.08,0.95,-5.81,-12.11
26,EPS Diluted,-0.54,-0.08,0.90,-5.81,-12.11
27,Weighted Average Shares Outstanding,234975000,234975000,198601411,239588668,256186468
28,Weighted Average Shares Outstanding Diluted,234975000,234975000,209216847,239588668,256186468
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,19294000,33259000,73967000,355224000,728934000
32,Short-Term Investments,7974000,197991000,1473452000,7331268000,2774000000
33,Cash and Short-Term Investments,27268000,231250000,1547419000,7686492000,3502934000
34,Net Receivables,20402000,25062000,70563000,59230000,- -
35,Inventory,- -,- -,- -,48074000,15595000
36,Other Current Assets,4675000,24489000,190919000,663452000,418257000
37,Total Current Assets,52345000,280801000,1808901000,8457248000,3936786000
38,PP&E,7144000,16779000,346769000,1510929000,1033886000
39,Goodwill,- -,331000,331000,43631000,- -
40,Intangible Assets,- -,237000,100000,42202000,28178000
41,Intangible Assets,- -,568000,431000,85833000,28178000
42,Investments,7604000,5221000,1188286000,530729000,- -
43,Tax Assets,33925000,31266000,30716000,48324000,- -
44,Other Non-Current Assets,2195000,3568000,19429000,52729000,25816000
45,Total Non-Current Assets,50868000,57402000,1585631000,2228544000,1087880000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,103213000,338203000,3394532000,10685792000,5024666000
48,Accounts Payable,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,59982000,152622000,80010000
50,Tax Payable,1326000,7111000,26793000,98556000,- -
51,Deferred Revenue,45820000,263330000,1331962000,2724614000,- -
52,Other Current Liabilities,109193000,92582000,245306000,1320156000,1680258000
53,Total Current Liabilities,155013000,355912000,1637250000,4197392000,1760268000
54,Long-Term Debt,- -,- -,194228000,644143000,276035000
55,Deferred Revenue,487000,8711000,5674000,9125000,35805000
56,Deferred Tax Liabilities,- -,59000,25000,78697000,71616000
57,Other Non-Current Liabilities,427130000,466060000,- -,26580000,- -
58,Total Non-Current Liabilities,427617000,474830000,199927000,758545000,383456000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,254210000,796765000,356045000
61,Total Liabilities,582630000,830742000,1837177000,4955937000,2143724000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,60000,60000,106000,113000,114000
64,Retained Earnings,-480402000,-493765000,-279821000,-1706210000,-4809675000
65,Other Comprehensive Income/Loss,925000,1166000,24750000,-19525000,-102731000
66,Other Total Stockholders Equity,- -,- -,1812320000,- -,7793234000
67,Total Stockholders Equity,-479417000,-492539000,1557355000,5729855000,2880942000
68,Total Liabilities And Stockholders Equity,103213000,338203000,3394532000,10685792000,5024666000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,103213000,338203000,3394532000,10685792000,5024666000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-86955000,19650000,226630000,-1392930000,- -
74,Depreciation and Amortization,4931000,4216000,12056000,57212000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,5788000,5917000,60237000,238446000,- -
77,Change in Working Capital,25259000,212933000,999049000,1767866000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,11836000,225544000,1066111000,1364576000,- -
82,Other Non-Cash Items,1334000,-847000,-12918000,-67321000,- -
83,Cash Provided by Operating Activities,-49643000,241869000,1285054000,603273000,- -
84,CAPEX,-370000,-12134000,-61267000,-284072000,- -
85,Acquisitions Net,- -,3222000,- -,-108538000,- -
86,Purchases of Investments,-26125000,-422760000,-9836942000,-17394632000,- -
87,Sales/Maturities of Investments,18050000,232950000,7393386000,12190931000,- -
88,Other Investing Activites,-1695000,2000,257000,7000,- -
89,Cash Used for Investing Activites,-10140000,-198720000,-2504566000,-5596304000,- -
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,1366860000,5687251000,- -
92,Common Stock Repurchased,- -,- -,-86739000,-282543000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,56531000,-29193000,-34056000,-132608000,- -
95,Cash Used/Provided by Financing Activities,56531000,-29193000,1246065000,5272100000,- -
96,Effect of Forex Changes on Cash,-40000,9000,14155000,2188000,- -
97,Net Change In Cash,-3292000,13965000,40708000,281257000,- -
98,Cash at the End of Period,19294000,33259000,73967000,355224000,- -
99,Cash at the Beginning of Period,22586000,19294000,33259000,73967000,- -
100,Free Cash Flow,-50013000,229735000,1223787000,319201000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
