,https://roic.ai/company/MNTV,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,207295000,218773000,254324000,307421000,375610000,443786000
2,COGS,67755000,62679000,77982000,76524000,83917000,86421000
3,Gross Profit,139540000,156094000,176342000,230897000,291693000,357365000
4,Gross Profit Ratio,0.6731,0.7135,0.6934,0.7511,0.7766,0.8053
5,Research and Development Exp.,37985000,53660000,106188000,90545000,112989000,139262000
6,General and Administrative Exp.,36832000,47940000,97339000,83288000,87909000,106667000
7,Selling and Marketing Exp.,73970000,73511000,95783000,123573000,172376000,224008000
8,"Selling, General and Administrative Exp.",110802000,121451000,193122000,206861000,260285000,330675000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,148787000,175111000,299310000,297406000,373274000,469937000
11,COGS and Expenses,216542000,237790000,377292000,373930000,457191000,556358000
12,Interest Income ,20000,59000,1161000,3030000,780000,- -
13,Interest Expense (Gain),32893000,26865000,27801000,14157000,10257000,9261000
14,Depreciation and Amortization,36698000,41419000,47166000,44832000,47822000,42857000
15,EBITDA,-2055000,28227000,-79625000,-17649000,-32323000,-70649000
16,EBITDA ratio,-0.0099,0.1290,-0.3131,-0.0574,-0.0861,-0.1592
17,Operating Income,-34503000,-20802000,-126493000,-66443000,-81581000,-112572000
18,Operating Income ratio,-0.1664,-0.0951,-0.4974,-0.2161,-0.2172,-0.2537
19,Total Other Income Expenses (Gains),-37143000,-19255000,-28099000,-10195000,-8821000,-10195000
20,Income Before Tax,-71646000,-40057000,-154592000,-76638000,-90402000,-122767000
21,Income Before Tax Ratio,-0.3456,-0.1831,-0.6079,-0.2493,-0.2407,-0.2766
22,Income Tax expense (Gain),4704000,-16047000,148000,-2779000,1179000,482000
23,Net Income,-76350000,-24010000,-154740000,-73859000,-91581000,-123249000
24,Net Income ratio,-0.3683,-0.1097,-0.6084,-0.2403,-0.2438,-0.2777
25,EPS,-0.63,-0.20,-1.43,-0.56,-0.65,-0.83
26,EPS Diluted,-0.63,-0.20,-1.43,-0.56,-0.65,-0.83
27,Weighted Average Shares Outstanding,121391268,121391268,107900000,131568000,139887000,147877000
28,Weighted Average Shares Outstanding Diluted,121391268,121391268,107900000,131568000,139887000,147877000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739936/000156459021006682/0001564590-21-006682-index.htm,https://www.sec.gov/Archives/edgar/data/1739936/000095017022001217/0000950170-22-001217-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,23287000,35345000,153807000,131035000,224390000,305525000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,23287000,35345000,153807000,131035000,224390000,305525000
34,Net Receivables,6104000,5429000,7336000,17795000,24177000,32489000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,12750000,6281000,9062000,12460000,15949000,19308000
37,Total Current Assets,42141000,47055000,170205000,161290000,264516000,357322000
38,PP&E,123480000,131331000,117718000,98976000,75910000,57674000
39,Goodwill,336861000,336861000,336861000,462927000,468764000,463736000
40,Intangible Assets,61790000,55087000,42604000,66306000,50669000,10773000
41,Intangible Assets,398651000,391948000,379465000,529233000,519433000,474509000
