,https://roic.ai/company/OTIS,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,12323000000,12915000000,13118000000,12756000000,14298000000
2,COGS,8621000000,9189000000,9292000000,8977000000,10105000000
3,Gross Profit,3702000000,3726000000,3826000000,3779000000,4193000000
4,Gross Profit Ratio,0.3004,0.2885,0.2917,0.2963,0.2933
5,Research and Development Exp.,175000000,181000000,163000000,152000000,159000000
6,General and Administrative Exp.,1648000000,1735000000,1810000000,1924000000,- -
7,Selling and Marketing Exp.,1648000000,1735000000,1810000000,1924000000,- -
8,"Selling, General and Administrative Exp.",3296000000,3470000000,3620000000,3848000000,1948000000
9,Other Expenses,-1685000000,-1760000000,-1771000000,-1860000000,-22000000
10,Operating Expenses,1786000000,1891000000,2012000000,2140000000,2085000000
11,COGS and Expenses,10407000000,11080000000,11304000000,11117000000,12190000000
12,Interest Income ,61000000,51000000,53000000,- -,- -
13,Interest Expense (Gain),40000000,37000000,39000000,- -,- -
14,Depreciation and Amortization,177000000,190000000,180000000,191000000,203000000
15,EBITDA,2001000000,1959000000,1929000000,1552000000,1990000000
16,EBITDA ratio,0.1624,0.1517,0.1470,0.1217,0.1392
17,Operating Income,1916000000,1835000000,1814000000,1639000000,2108000000
18,Operating Income ratio,0.1555,0.1421,0.1383,0.1285,0.1474
19,Total Other Income Expenses (Gains),41000000,58000000,47000000,-128000000,-147000000
20,Income Before Tax,1957000000,1893000000,1861000000,1511000000,1961000000
21,Income Before Tax Ratio,0.1588,0.1466,0.1419,0.1185,0.1372
22,Income Tax expense (Gain),1148000000,683000000,594000000,455000000,541000000
23,Net Income,636000000,1049000000,1116000000,906000000,1246000000
24,Net Income ratio,0.0516,0.0812,0.0851,0.0710,0.0871
25,EPS,1.47,2.42,2.27,2.09,3.33
26,EPS Diluted,1.46,2.42,2.26,2.08,3.30
27,Weighted Average Shares Outstanding,433100000,433100000,433100000,433200000,425800000
28,Weighted Average Shares Outstanding Diluted,436400000,433100000,436400000,434600000,430600000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1781335/000178133521000023/0001781335-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133522000007/0001781335-22-000007-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,1329000000,1446000000,1782000000,1565000000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1329000000,1446000000,1782000000,1565000000
34,Net Receivables,- -,3377000000,3390000000,3606000000,3782000000
35,Inventory,- -,637000000,571000000,659000000,622000000
36,Other Current Assets,- -,269000000,251000000,446000000,2292000000
37,Total Current Assets,- -,5612000000,5658000000,6493000000,8261000000
38,PP&E,- -,678000000,1256000000,1316000000,1300000000
39,Goodwill,- -,1688000000,1647000000,1773000000,1667000000
40,Intangible Assets,- -,569000000,490000000,484000000,419000000
41,Intangible Assets,- -,2257000000,2137000000,2257000000,2086000000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,588000000,636000000,644000000,632000000
45,Total Non-Current Assets,- -,3523000000,4029000000,4217000000,4018000000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,9135000000,9687000000,10710000000,12279000000
48,Accounts Payable,- -,1351000000,1331000000,1453000000,1556000000
49,Short-Term Debt,- -,- -,- -,868000000,24000000
50,Tax Payable,- -,- -,- -,284000000,- -
51,Deferred Revenue,- -,2326000000,2270000000,2542000000,2674000000
52,Other Current Liabilities,- -,1626000000,1773000000,1810000000,1993000000
53,Total Current Liabilities,- -,5303000000,5374000000,6673000000,6247000000
54,Long-Term Debt,- -,- -,- -,5629000000,7585000000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1726000000,2082000000,1692000000,1431000000
58,Total Non-Current Liabilities,- -,1726000000,2082000000,7321000000,9016000000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,526000000,534000000,336000000
61,Total Liabilities,- -,7029000000,7456000000,13994000000,15263000000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,2277000000,2458000000,59000000,119000000
64,Retained Earnings,- -,- -,- -,-3076000000,-2256000000
65,Other Comprehensive Income/Loss,- -,-1083000000,-1082000000,-815000000,-763000000
66,Other Total Stockholders Equity,- -,375000000,324000000,- -,-725000000
67,Total Stockholders Equity,- -,1569000000,1700000000,-3832000000,-3625000000
68,Total Liabilities And Stockholders Equity,- -,8598000000,9156000000,10162000000,11638000000
69,Minority Interest,- -,537000000,531000000,548000000,641000000
70,Total Liabilities & Equity,- -,9135000000,9687000000,10710000000,12279000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1781335/000178133521000023/0001781335-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133522000007/0001781335-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,636000000,1049000000,1116000000,906000000,1246000000
74,Depreciation and Amortization,177000000,190000000,180000000,191000000,203000000
75,Deferred Income Tax,472000000,127000000,-8000000,-51000000,- -
76,Stock Based Compensation,29000000,38000000,37000000,63000000,65000000
77,Change in Working Capital,6000000,339000000,-25000000,-464000000,45000000
78,Accounts Receivable,-13000000,-196000000,-191000000,-163000000,-152000000
79,Inventory,-109000000,24000000,60000000,-76000000,14000000
80,Accounts Payable,- -,124000000,- -,20000000,130000000
81,Other Working Capital,-30000000,309000000,284000000,-180000000,53000000
82,Other Non-Cash Items,130000000,-193000000,169000000,835000000,191000000
83,Cash Provided by Operating Activities,1450000000,1550000000,1469000000,1480000000,1750000000
84,CAPEX,-133000000,-172000000,-145000000,-183000000,-156000000
85,Acquisitions Net,-53000000,-50000000,-47000000,-53000000,-80000000
86,Purchases of Investments,- -,- -,- -,-120000000,- -
87,Sales/Maturities of Investments,- -,3000000,- -,- -,- -
88,Other Investing Activites,-133000000,-154000000,-156000000,-180000000,-9000000
89,Cash Used for Investing Activites,-186000000,-201000000,-203000000,-353000000,-89000000
90,Debt Repayment,- -,- -,- -,-1000000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-725000000
93,Dividends Paid,- -,- -,- -,-260000000,-393000000
94,Other Financing Activites,-1404000000,-1497000000,-1133000000,416000000,1176000000
95,Cash Used/Provided by Financing Activities,-1404000000,-1497000000,-1133000000,-844000000,58000000
