,https://roic.ai/company/FBRT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,59393000,79404000,89564000,152288000,198468000,184171000,221649000
2,COGS,12268000,23169000,32359000,70000000,93220000,70209000,60835000
3,Gross Profit,47125000,56235000,57205000,82288000,105248000,113962000,160814000
4,Gross Profit Ratio,0.7934,0.7082,0.6387,0.5403,0.5303,0.6188,0.7255
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,12612000,19347000,21482000,32063000,44220000,39262000,47418000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12612000,19347000,21482000,32063000,44220000,39262000,47418000
9,Other Expenses,318000,1293000,-715000,3370000,3514000,15529000,-3085000
10,Operating Expenses,12930000,20640000,20767000,35433000,47734000,54791000,44333000
11,COGS and Expenses,25198000,43809000,53126000,105433000,140954000,125000000,105168000
12,Interest Income ,- -,- -,- -,- -,- -,- -,216890000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,507000,2233000,2107000
15,EBITDA,24933000,29990000,34004000,52904000,88914000,54917000,31408000
16,EBITDA ratio,0.4198,0.3777,0.3797,0.3474,0.4480,0.2982,0.1417
17,Operating Income,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-9262000,-5605000,-2434000,6049000,30893000,-6487000,- -
20,Income Before Tax,24933000,29990000,34004000,52904000,88407000,52684000,29301000
21,Income Before Tax Ratio,0.4198,0.3777,0.3797,0.3474,0.4454,0.2861,0.1322
22,Income Tax expense (Gain),- -,- -,225000,79000,4483000,-2062000,3599000
23,Net Income,24933000,29990000,33779000,52825000,83924000,54746000,25702000
24,Net Income ratio,0.4198,0.3777,0.3771,0.3469,0.4229,0.2973,0.1160
25,EPS,0.56,0.67,0.76,1.11,1.50,0.90,-0.18
26,EPS Diluted,0.56,0.67,0.76,1.11,1.50,0.90,-0.18
27,Weighted Average Shares Outstanding,44494494,44494494,44494494,44494494,44494494,44384813,43419209
28,Weighted Average Shares Outstanding Diluted,44494494,44494494,44494494,44494494,44494494,44398879,43434731
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1562528/000156252821000007/0001562528-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1562528/000156252822000007/0001562528-22-000007-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,118048000,83711000,191390000,87246000,82071000,154929000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,4566871000
33,Cash and Short-Term Investments,- -,118048000,83711000,191390000,87246000,82071000,4721800000
34,Net Receivables,- -,1074091000,1487814000,2370166000,2980495000,2875343000,4528239000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,6937000,12004000,17264000,27198000,18608000,83632000
37,Total Current Assets,- -,1199076000,1583529000,2578820000,3094939000,2976022000,9333671000
