,https://roic.ai/company/ALKS,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1700000,9500000,7800000,12300000,14000000,19826947,31326648,43715586,22920357,56029865,54101513,47266225,39054017,76126000,166601000,239965000,240717000,326839000,178281000,186640000,390000000,575500000,618789000,628335000,745694000,903374000,1094274000,1170947000,1038756000,1173751000
2,COGS,6400000,15200000,-2800000,-2200000,-2400000,- -,- -,- -,- -,- -,- -,10910172,19036443,16834000,23489000,45209000,40677000,43396000,49438000,52185000,127600000,170500000,447875000,138989000,132122000,154748000,176420000,180385000,572904000,603913000
3,Gross Profit,-4700000,-5700000,10600000,14500000,16400000,- -,- -,- -,- -,- -,- -,36356053,20017574,59292000,143112000,194756000,200040000,283443000,128843000,134455000,262400000,405000000,170914000,489346000,613572000,748626000,917854000,990562000,465852000,569838000
4,Gross Profit Ratio,-2.7647,-0.6000,1.3590,1.1789,1.1714,- -,- -,- -,- -,- -,- -,0.7692,0.5126,0.7789,0.8590,0.8116,0.8310,0.8672,0.7227,0.7204,0.6728,0.7037,0.2762,0.7788,0.8228,0.8287,0.8388,0.8459,0.4485,0.4855
5,Research and Development Exp.,- -,- -,20500000,19000000,21600000,29553988,31339121,48456824,54482672,68773691,92092381,85387510,91097087,91065000,89068000,117315000,125268000,89478000,95363000,97239000,141900000,140000000,- -,344404000,387148000,412889000,425406000,512833000,- -,- -
6,General and Administrative Exp.,2700000,35100000,5900000,5100000,6300000,7689625,8133760,30795413,44371409,17163621,24386425,26695111,26029346,28823000,40383000,66399000,59508000,59008000,76514000,82847000,137600000,125800000,- -,311558000,374130000,421578000,526408000,599449000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2700000,35100000,5900000,5100000,6300000,7689625,8133760,30795413,44371409,17163621,24386425,26695111,26029346,28823000,40383000,66399000,59508000,59008000,76514000,82847000,137632000,125758000,199905000,311558000,374130000,421578000,526408000,599449000,538827000,560977000
9,Other Expenses,600000,1500000,2800000,2200000,2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11630000,- -,- -,- -,71148000,-98148000,58153000,-286719000,-326189000,-350830000,-360238000,-472475000,39452000,38148000
