,https://roic.ai/company/ERJ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1871500000,2739184000,2926995000,2525800000,2143460000,3440533000,3909054000,3902589000,5245172000,6335200000,5466300000,5364100000,5803000000,6177900000,6235000000,6288800000,5928100000,6217500000,5839300000,5071100000,2618100000,3771100000,4197200000
2,COGS,1258435000,1870041000,1799688000,1531720000,1335032000,2267330000,2981801000,2943999000,4093504000,4991700000,4352200000,4338100000,4495900000,4683000000,4818900000,5038300000,4816800000,4980700000,4773400000,4303100000,2259900000,3293500000,3537600000
3,Gross Profit,613065000,869143000,1127307000,994080000,808428000,1173203000,927253000,958590000,1151668000,1343500000,1114100000,1026000000,1307100000,1494900000,1416100000,1250500000,1111300000,1236800000,1065900000,768000000,358200000,477600000,659600000
4,Gross Profit Ratio,0.3276,0.3173,0.3851,0.3936,0.3772,0.3410,0.2372,0.2456,0.2196,0.2121,0.2038,0.1913,0.2252,0.2420,0.2271,0.1988,0.1875,0.1989,0.1825,0.1514,0.1368,0.1266,0.1572
5,Research and Development Exp.,- -,- -,113700000,158499000,173216000,44506000,- -,- -,259726000,197000000,144000000,72100000,85300000,77300000,74700000,47100000,41700000,47600000,49200000,46100000,19700000,29800000,43000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,232400000,191500000,197500000,262500000,280500000,210500000,207500000,182000000,164300000,179100000,182600000,136700000,143400000,153200000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,393100000,305100000,374100000,419300000,482000000,454400000,419900000,361600000,368600000,307000000,304200000,148200000,194000000,226400000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,625500000,496600000,571600000,681800000,762500000,664900000,627400000,543600000,532900000,486100000,486800000,284900000,337400000,379600000
9,Other Expenses,265484000,442805000,362229000,366019000,370397000,584711000,471056000,763110000,517737000,-16000000,137900000,-9400000,221800000,70600000,139200000,97100000,142900000,323500000,109200000,142800000,158400000,258100000,54000000
10,Operating Expenses,265484000,442805000,475929000,524518000,543613000,629217000,471056000,763110000,777463000,806500000,778500000,634300000,988900000,910400000,878800000,771600000,728200000,904000000,644500000,675700000,463000000,625300000,476600000
11,COGS and Expenses,1523919000,2312846000,2275617000,2056238000,1878645000,2896547000,3452857000,3707109000,4870967000,5798200000,5130700000,4972400000,5484800000,5593400000,5697700000,5809900000,5545000000,5884700000,5417900000,4978800000,2722900000,3918800000,4014200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,110400000,151500000,140300000,160600000,119900000,138000000,175000000,185400000,225500000,157800000,126100000,91400000,28900000,21000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,281800000,139800000,122800000,251300000,124100000,140200000,163100000,177000000,208600000,217400000,230000000,15500000,219800000,243900000
14,Depreciation and Amortization,70874000,109935000,46417000,55602000,58878000,59685000,121618000,154543000,58798000,70500000,86700000,219200000,238800000,278800000,290600000,286300000,316800000,368400000,342700000,272000000,209700000,292100000,208600000
15,EBITDA,249990000,498887000,593251000,466696000,166932000,552030000,501957000,518199000,550848000,782100000,489500000,734900000,728800000,1016200000,1029200000,940300000,818400000,734400000,832400000,358800000,6400000,-126900000,478700000
16,EBITDA ratio,0.1336,0.1821,0.2027,0.1848,0.0779,0.1604,0.1284,0.1328,0.1050,0.1235,0.0895,0.1370,0.1256,0.1645,0.1651,0.1495,0.1381,0.1181,0.1426,0.0708,0.0024,-0.0337,0.1141
17,Operating Income,347581000,426338000,651378000,469562000,264815000,543986000,456197000,243223000,374205000,537000000,335600000,- -,318200000,612100000,713400000,543300000,331500000,206000000,329300000,35300000,-162400000,-323400000,201300000
18,Operating Income ratio,0.1857,0.1556,0.2225,0.1859,0.1235,0.1581,0.1167,0.0623,0.0713,0.0848,0.0614,- -,0.0548,0.0991,0.1144,0.0864,0.0559,0.0331,0.0564,0.0070,-0.0620,-0.0858,0.0480
19,Total Other Income Expenses (Gains),-168465000,-37386000,-109984000,-58468000,-156544000,-50335000,-255971000,-6855000,125709000,-99700000,-58800000,16400000,-70700000,2000000,-111000000,-39400000,4700000,-46900000,-41000000,-171500000,61200000,-311800000,-173900000
20,Income Before Tax,179116000,388952000,541394000,411094000,108271000,493651000,200226000,236368000,499914000,437300000,276800000,408100000,247500000,614100000,602400000,503900000,336200000,159100000,288300000,-136200000,-101200000,-635200000,27400000
21,Income Before Tax Ratio,0.0957,0.1420,0.1850,0.1628,0.0505,0.1435,0.0512,0.0606,0.0953,0.0690,0.0506,0.0761,0.0427,0.0994,0.0966,0.0801,0.0567,0.0256,0.0494,-0.0269,-0.0387,-0.1684,0.0065
22,Income Tax expense (Gain),-49999000,129739000,218394000,188502000,-27990000,112139000,76915000,72812000,2745000,41100000,14500000,62700000,127100000,265500000,256400000,156200000,255400000,-8700000,25500000,35000000,103500000,93100000,70900000
23,Net Income,229115000,259213000,328440000,222592000,136044000,380206000,303424000,290844000,489305000,388700000,248500000,330200000,111600000,347800000,342000000,334700000,69200000,166100000,246800000,-178200000,-322300000,-731900000,-44700000
24,Net Income ratio,0.1224,0.0946,0.1122,0.0881,0.0635,0.1105,0.0776,0.0745,0.0933,0.0614,0.0455,0.0616,0.0192,0.0563,0.0549,0.0532,0.0117,0.0267,0.0423,-0.0351,-0.1231,-0.1941,-0.0106
25,EPS,1.92,2.20,2.28,1.28,0.76,2.12,2.47,2.11,2.64,2.14,1.37,1.83,0.62,1.92,1.88,1.82,0.38,0.90,1.34,-0.96,-1.75,-3.98,-0.24
26,EPS Diluted,1.92,1.88,2.16,1.28,0.76,2.11,2.46,2.10,2.64,2.14,1.37,1.82,0.62,1.91,1.86,1.82,0.38,0.90,1.34,-0.96,-1.75,-3.98,-0.24
27,Weighted Average Shares Outstanding,120304500,135852468,88025500,174239500,178443000,179384500,180458000,184976000,185035500,181521000,180925000,180925000,180925000,181250000,182250000,183425000,182550000,183900000,183575000,183516250,183975000,184050000,183682500
28,Weighted Average Shares Outstanding Diluted,120304500,135852468,95840750,175489750,179336000,180440250,181320750,185725750,185261750,181521000,180925000,181000000,181200000,181925000,183450000,184375000,183400000,184325000,183700000,183516250,183975000,184050000,183682500
