,https://roic.ai/company/DMTK,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,- -,3364000,5885000,11838000
2,COGS,- -,- -,- -,306243,3304000,5981000,10564000
3,Gross Profit,- -,- -,- -,-306243,60000,-96000,1274000
4,Gross Profit Ratio,- -,- -,- -,-Infinity,0.0178,-0.0163,0.1076
5,Research and Development Exp.,- -,- -,- -,- -,2497000,5293000,16261000
6,General and Administrative Exp.,- -,- -,- -,- -,8865000,13823000,24836000
7,Selling and Marketing Exp.,- -,- -,- -,- -,6303000,16077000,37575000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,15168000,29900000,62411000
9,Other Expenses,- -,- -,60,306243,- -,- -,- -
10,Operating Expenses,- -,- -,60,306243,17665000,35193000,78672000
11,COGS and Expenses,- -,- -,60,306243,20969000,41174000,89236000
12,Interest Income ,- -,- -,- -,1208066,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,2657000,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,89000,486000,- -
15,EBITDA,- -,- -,-60,-260827,-16943000,-34763000,-78335000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-5.0366,-5.9071,-6.6172
17,Operating Income,- -,- -,-60,-306243,-17605000,-35289000,-77398000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-5.2334,-5.9964,-6.5381
19,Total Other Income Expenses (Gains),- -,- -,- -,1162650,-2084000,40000,-937000
20,Income Before Tax,- -,- -,-60,856407,-19689000,-35249000,-78335000
21,Income Before Tax Ratio,- -,- -,-Infinity,Infinity,-5.8529,-5.9896,-6.6172
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-60,856407,-19689000,-35249000,-78335000
24,Net Income ratio,- -,- -,-Infinity,Infinity,-5.8529,-5.9896,-6.6172
25,EPS,- -,- -,-0.00,-0.10,-2.81,-2.08,-5.42
26,EPS Diluted,- -,- -,-0.00,-0.10,-2.81,-2.08,-5.42
27,Weighted Average Shares Outstanding,- -,- -,8065000,2360592,7005037,16979411,14442437
28,Weighted Average Shares Outstanding Diluted,- -,- -,8065000,2360592,7005037,16979411,14442437
29,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651944/000156459021011293/0001564590-21-011293-index.htm,https://www.sec.gov/Archives/edgar/data/1651944/000156459022009635/0001564590-22-009635-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,16441,25000,449942,15374000,24248000,176882000
32,Short-Term Investments,- -,- -,- -,- -,- -,39529000,- -
33,Cash and Short-Term Investments,- -,16441,25000,449942,15374000,63777000,176882000
34,Net Receivables,- -,- -,- -,- -,680000,1480000,3847000
35,Inventory,- -,- -,- -,- -,35000,104000,480000
36,Other Current Assets,- -,- -,- -,93503,1061000,1521000,51615000
37,Total Current Assets,- -,16441,25000,543445,17150000,66882000,232824000
38,PP&E,- -,- -,- -,- -,977000,2731000,12293000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,146350150,- -,39529000,48449000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,133988,169742,- -,84000,-39362000,-45257000
45,Total Non-Current Assets,- -,133988,169742,146350150,1061000,2898000,15485000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,150429,194742,146893595,18211000,69780000,248309000
