,https://roic.ai/company/HTA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,80418000,129486000,199879000,274438000,295340000,317341000,369571000,403553000,460563000,612556000,696030000,691527000,738414000,767073000
2,COGS,28174000,45024000,65338000,88760000,95307000,97053000,113508000,123390000,143751000,192147000,220617000,211479000,226859000,- -
3,Gross Profit,52244000,84462000,134541000,185678000,200033000,220288000,256063000,280163000,316812000,420409000,475413000,480048000,511555000,- -
4,Gross Profit Ratio,0.6497,0.6523,0.6731,0.6766,0.6773,0.6942,0.6929,0.6942,0.6879,0.6863,0.6830,0.6942,0.6928,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,26081000,24448000,24947000,25578000,28773000,33403000,35196000,41360000,42969000,49744000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,26081000,24448000,24947000,25578000,28773000,33403000,35196000,41360000,42969000,49744000
9,Other Expenses,46836000,69663000,103376000,136237000,116418000,121476000,140432000,154134000,176866000,244986000,279630000,290384000,303828000,- -
10,Operating Expenses,46836000,69663000,103376000,136237000,142499000,145924000,165379000,179712000,205639000,278389000,314826000,331744000,346797000,49744000
11,COGS and Expenses,75010000,114687000,168714000,224997000,237806000,242977000,278887000,303102000,349390000,470536000,535443000,543223000,573656000,- -
12,Interest Income ,469000,249000,119000,174000,4304000,2558000,1934000,269000,365000,1434000,396000,513000,551000,- -
13,Interest Expense (Gain),21343000,29347000,35336000,41892000,52993000,52255000,57489000,58107000,62146000,86375000,101849000,96632000,94613000,92762000
14,Depreciation and Amortization,35617000,48808000,72678000,104045000,114575000,119904000,137188000,151614000,175285000,239044000,271441000,280969000,283039000,283300000
15,EBITDA,28512000,53078000,100111000,151478000,143144000,196420000,240048000,242652000,283343000,389335000,586753000,407755000,430270000,475846000
16,EBITDA ratio,0.3545,0.4099,0.5009,0.5520,0.4847,0.6190,0.6495,0.6013,0.6152,0.6356,0.8430,0.5896,0.5827,0.6203
17,Operating Income,5408000,14799000,31165000,49441000,57534000,74364000,90684000,100451000,111173000,142020000,160587000,148304000,164758000,3150000
18,Operating Income ratio,0.0672,0.1143,0.1559,0.1802,0.1948,0.2343,0.2454,0.2489,0.2414,0.2318,0.2307,0.2145,0.2231,0.0041
19,Total Other Income Expenses (Gains),-12943000,-10474000,-5363000,-2130000,-81902000,-50787000,-44690000,-66894000,-63828000,-76443000,57039000,-117546000,-111250000,96634000
20,Income Before Tax,- -,- -,- -,- -,-24368000,23577000,45994000,33557000,47345000,65577000,217626000,30758000,53508000,99784000
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.0825,0.0743,0.1245,0.0832,0.1028,0.1071,0.3127,0.0445,0.0725,0.1301
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-28448000,-25077000,-7903000,5541000,-24424000,24261000,45371000,32931000,45912000,63916000,213463000,30154000,52618000,99784000
24,Net Income ratio,-0.3538,-0.1937,-0.0395,0.0202,-0.0827,0.0765,0.1228,0.0816,0.0997,0.1043,0.3067,0.0436,0.0713,0.1301
25,EPS,-0.25,-0.22,-0.07,0.05,-0.22,0.20,0.38,0.26,0.34,0.35,1.04,0.15,0.24,0.46
26,EPS Diluted,-0.25,-0.22,-0.07,0.05,-0.22,0.20,0.37,0.26,0.33,0.34,1.02,0.14,0.24,0.45
27,Weighted Average Shares Outstanding,112075500,112075500,112075500,114695500,111356500,114037500,119904000,126074000,136620000,181064000,206065000,205720000,218078000,218820000
28,Weighted Average Shares Outstanding Diluted,112164500,112164500,112164500,114784000,111356500,114969500,121168000,128004000,140259000,185278000,210061000,209605000,221666000,222811000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1360604/000136060414000013/0001360604-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060415000010/0001360604-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060416000072/0001360604-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060417000022/0001360604-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060418000018/0001360604-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060419000023/0001360604-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060420000025/0001360604-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060421000018/0001360604-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060422000014/0001360604-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,128331000,219001000,29270000,69491000,15956000,18081000,10413000,13070000,11231000,100356000,126221000,32713000,115407000,52353000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,128331000,219001000,29270000,69491000,15956000,18081000,10413000,13070000,11231000,100356000,126221000,32713000,115407000,52353000
34,Net Receivables,5428000,10820000,16385000,12658000,75699000,102256000,83540000,83245000,92007000,114717000,123639000,137204000,152030000,228293000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,7747000,14065000,26679000,16718000,24454000,25715000,45441000,50476000,69718000,76562000,69194000,57392000,49472000,70087000
37,Total Current Assets,141506000,243886000,72334000,98867000,116109000,146052000,139394000,146791000,172956000,291635000,319054000,227309000,316909000,350733000
38,PP&E,810920000,1149789000,1797463000,1806471000,- -,- -,- -,- -,- -,- -,- -,243276000,242987000,245510000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,134623000,203222000,300587000,272390000,282934000,459699000,462776000,472916000,513889000,745913000,698602000,640619000,639072000,415434000
41,Intangible Assets,134623000,203222000,300587000,272390000,282934000,459699000,462776000,472916000,513889000,745913000,698602000,640619000,639072000,415434000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,68577000,67172000,65888000,64360000,62834000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,26874000,76638000,101411000,113901000,2015047000,2146583000,2439480000,2552593000,3060999000,5343457000,5103648000,5461657000,5527364000,5815178000
45,Total Non-Current Assets,972417000,1429649000,2199461000,2192762000,2297981000,2606282000,2902256000,3025509000,3574888000,6157947000,5869422000,6411440000,6473783000,6538956000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1113923000,1673535000,2271795000,2291629000,2414090000,2752334000,3041650000,3172300000,3747844000,6449582000,6188476000,6638749000,6790692000,6889689000
48,Accounts Payable,3063000,4776000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,72000000,55000000,36000000,218000000,88000000,- -,- -,100000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,21919000,30471000,43033000,47801000,63443000,27893000,65042000,-123067000,17034000,167852000,185073000,71698000,200358000,198340000
53,Total Current Liabilities,24982000,35247000,43033000,47801000,135443000,82893000,101042000,94933000,105034000,167852000,185073000,171698000,200358000,198340000
54,Long-Term Debt,460762000,540028000,706526000,639149000,965359000,1214241000,1412461000,1590696000,1768905000,2781031000,2541232000,2749775000,3026999000,3224408000
55,Deferred Revenue,- -,- -,- -,- -,24450000,35339000,32687000,46295000,49859000,61222000,59567000,49203000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,26908000,23394000,31123000,33554000,24243000,20112000,19039000,33418000,43629000,76029000,67690000,237429000,328416000,122625000
58,Total Non-Current Liabilities,487670000,563422000,737649000,672703000,1014052000,1269692000,1464187000,1670409000,1862393000,2918282000,2668489000,3036407000,3355415000,3347033000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198650000,198367000,196286000
61,Total Liabilities,512652000,598669000,780682000,720504000,1149495000,1352585000,1565229000,1765342000,1967427000,3086134000,2853562000,3208105000,3555773000,3545373000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,755000,1405000,2026000,2284000,2147000,2369000,1251000,1270000,1417000,2049000,2053000,2165000,2186000,2289000
64,Retained Earnings,-74786000,-182084000,-310193000,-467249000,-633717000,-742060000,-836044000,-950652000,-1068961000,-1232069000,-1272305000,-1502744000,-1727752000,-1915776000
65,Other Comprehensive Income/Loss,-24650000,-56689000,-102962000,-164783000,- -,- -,- -,- -,- -,274000,307000,4546000,-16979000,-7041000
66,Other Total Stockholders Equity,698001000,1308685000,1898375000,2197088000,1885836000,2126897000,2281932000,2328806000,2754818000,4508528000,4525969000,4854042000,4916784000,5178132000
67,Total Stockholders Equity,599320000,1071317000,1487246000,1567340000,1254266000,1387206000,1447139000,1379424000,1687274000,3278782000,3256024000,3358009000,3174239000,3257604000
68,Total Liabilities And Stockholders Equity,1111972000,1669986000,2267928000,2287844000,2403761000,2739791000,3012368000,3144766000,3654701000,6364916000,6109586000,6566114000,6730012000,6802977000
69,Minority Interest,1951000,3549000,3867000,3785000,10329000,12543000,29282000,27534000,93143000,84666000,78890000,72635000,60680000,86712000
70,Total Liabilities & Equity,1113923000,1673535000,2271795000,2291629000,2414090000,2752334000,3041650000,3172300000,3747844000,6449582000,6188476000,6638749000,6790692000,6889689000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1360604/000136060414000013/0001360604-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060415000010/0001360604-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060416000072/0001360604-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060417000022/0001360604-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060418000018/0001360604-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060419000023/0001360604-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060420000025/0001360604-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060421000018/0001360604-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060422000014/0001360604-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-28448000,-25077000,-7903000,5541000,-24424000,24261000,45371000,32931000,45912000,63916000,213463000,30154000,52618000,99784000
