,https://roic.ai/company/BNL,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,98086000,142869000,181563000,237479000,298815000,321637000,382876000
2,COGS,6081000,7839000,11493000,17686000,24246000,17478000,18459000
3,Gross Profit,92005000,135030000,170070000,219793000,274569000,304159000,364417000
4,Gross Profit Ratio,0.9380,0.9451,0.9367,0.9255,0.9189,0.9457,0.9518
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10158000,13745000,19693000,24335000,27319000,31724000,36366000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10158000,13745000,19693000,24335000,27319000,31724000,36366000
9,Other Expenses,29517000,46767000,62887000,84851000,108818000,132685000,132096000
10,Operating Expenses,39675000,60512000,82580000,109186000,136137000,164409000,168462000
11,COGS and Expenses,45756000,68351000,94073000,126872000,160383000,181887000,186921000
12,Interest Income ,- -,88000,467000,179000,9000,24000,17000
13,Interest Expense (Gain),22605000,29963000,34751000,52855000,72534000,76138000,64146000
14,Depreciation and Amortization,28819000,45839000,62759000,83690000,105408000,131568000,128888000
15,EBITDA,70711000,112156000,152933000,206777000,259751000,259826000,297104000
16,EBITDA ratio,0.7209,0.7850,0.8423,0.8707,0.8693,0.8078,0.7760
17,Operating Income,42383000,- -,84882000,- -,- -,- -,- -
18,Operating Income ratio,0.4321,- -,0.4675,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-21493000,-34250000,-25327000,-35502000,-50903000,-82535000,-56575000
20,Income Before Tax,20890000,40268000,59555000,75105000,87529000,57215000,111172000
21,Income Before Tax Ratio,0.2130,0.2819,0.3280,0.3163,0.2929,0.1779,0.2904
22,Income Tax expense (Gain),- -,- -,624000,857000,2415000,939000,1644000
23,Net Income,19287000,36354000,54799000,69375000,79394000,51181000,102426000
24,Net Income ratio,0.1966,0.2545,0.3018,0.2921,0.2657,0.1591,0.2675
25,EPS,0.14,0.26,0.39,0.49,0.84,0.44,0.87
26,EPS Diluted,0.14,0.26,0.39,0.49,0.84,0.44,0.80
27,Weighted Average Shares Outstanding,140892000,140892000,140892000,140892000,133908000,117150000,117150000
28,Weighted Average Shares Outstanding Diluted,153116000,153116000,153116000,153116000,146136000,128799000,128799000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1424182/000156459018005758/0001564590-18-005758-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459019007675/0001564590-19-007675-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459020007050/0001564590-20-007050-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459021008838/0001564590-21-008838-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000119312522049969/0001193125-22-049969-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,21635000,9355000,18612000,12455000,100486000,21669000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,21635000,9355000,18612000,12455000,100486000,21669000
34,Net Receivables,- -,43459000,59442000,70273000,85468000,103721000,118184000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1728000,1011000,3180000,12613000,22277000,17275000
37,Total Current Assets,- -,66822000,69808000,92065000,110536000,226484000,157128000
38,PP&E,- -,11329000,13554000,13698000,12847000,10738000,9641000
39,Goodwill,- -,- -,- -,- -,- -,339769000,339769000
40,Intangible Assets,- -,168121000,242659000,286258000,331894000,290913000,303642000
41,Intangible Assets,- -,168121000,242659000,286258000,331894000,630682000,643411000
42,Investments,- -,10000000,10000000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1695782000,2242735000,2704776000,3462581000,3390579000,3808468000
45,Total Non-Current Assets,- -,1885232000,2508948000,3004732000,3807322000,4031999000,4461520000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1952054000,2578756000,3096797000,3917858000,4258483000,4618648000
48,Accounts Payable,- -,17396000,20345000,22269000,37377000,74936000,38038000
49,Short-Term Debt,- -,102000000,273000000,141100000,197300000,- -,102000000
