,https://roic.ai/company/SFM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,516816000,1105879000,1794823000,2437900000,2967424000,- -,3593031000,4664612000,5207336000,5634835000,- -,6468759000
2,COGS,366947000,794905000,1264514000,1712600000,2082221000,- -,2541403000,3314487000,3459861000,3740017000,- -,4089470000
3,Gross Profit,149869000,310974000,530309000,725300000,885203000,- -,1051628000,1350125000,1747475000,1894818000,- -,2379289000
4,Gross Profit Ratio,0.2900,0.2812,0.2955,0.2975,0.2983,- -,0.2927,0.2894,0.3356,0.3363,- -,0.3678
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,23277000,58528000,86364000,585800000,685492000,- -,822874000,148408000,- -,1556967000,- -,1863869000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",23277000,58528000,86364000,585800000,685492000,- -,822874000,148408000,- -,1556967000,- -,1863869000
9,Other Expenses,117671000,271785000,371105000,18700000,1138000,- -,5481000,974521000,1512488000,120491000,- -,124124000
10,Operating Expenses,140948000,330313000,457469000,604500000,686630000,- -,828355000,1122929000,1512488000,1677458000,- -,1987993000
11,COGS and Expenses,507895000,1125218000,1721983000,2317100000,2768851000,- -,3369758000,4437416000,4972349000,5417475000,- -,6077463000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),681000,19813000,35488000,-37200000,-25063000,- -,-17723000,21177000,27435000,-21192000,- -,14787000
14,Depreciation and Amortization,14163000,54645000,35773000,47217000,60362000,- -,69169000,96744000,110749000,204646000,- -,225783000
15,EBITDA,23025000,29282000,106028000,94058000,209405000,- -,257439000,323439000,333980000,379622000,- -,617448000
16,EBITDA ratio,0.0446,0.0265,0.0591,0.0386,0.0706,- -,0.0716,0.0693,0.0641,0.0674,- -,0.0955
17,Operating Income,8567000,-25721000,70685000,139504000,199711000,- -,228754000,226070000,222911000,217360000,- -,391665000
18,Operating Income ratio,0.0166,-0.0233,0.0394,0.0572,0.0673,- -,0.0637,0.0485,0.0428,0.0386,- -,0.0605
19,Total Other Income Expenses (Gains),-386000,-19455000,-35918000,-55404000,-25605000,- -,-22761000,-20552000,-27115000,-21192000,- -,-14787000
20,Income Before Tax,8181000,-45176000,34767000,84100000,174106000,- -,205993000,205518000,195796000,196168000,- -,376878000
21,Income Before Tax Ratio,0.0158,-0.0409,0.0194,0.0345,0.0587,- -,0.0573,0.0441,0.0376,0.0348,- -,0.0583
22,Income Tax expense (Gain),3320000,-17731000,15267000,32741000,66414000,- -,77002000,47078000,37260000,46539000,- -,89428000
23,Net Income,4861000,-27445000,19500000,51300000,107692000,- -,128991000,158440000,158536000,149629000,- -,287450000
24,Net Income ratio,0.0094,-0.0248,0.0109,0.0210,0.0363,- -,0.0359,0.0340,0.0304,0.0266,- -,0.0444
25,EPS,0.04,-0.19,0.14,0.38,0.72,- -,0.84,1.17,1.23,1.25,- -,2.44
26,EPS Diluted,0.04,-0.19,0.14,0.37,0.70,- -,0.83,1.15,1.22,1.25,- -,2.43
27,Weighted Average Shares Outstanding,134749000,140815000,134749000,134622000,149751000,- -,153099000,135169000,128827000,119368000,- -,117821000
28,Weighted Average Shares Outstanding Diluted,136597000,143851000,136597000,139765000,154328000,- -,155877000,137884000,129776000,119742000,- -,118224000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1575515/000119312514073116/d660433d10k.htm,https://www.sec.gov/Archives/edgar/data/1575515/000119312515065978/d854295d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1575515/000156459016013299/0001564590-16-013299-index.html,https://www.sec.gov/Archives/edgar/data/1575515/000156459018002782/0001564590-18-002782-index.html,https://www.sec.gov/Archives/edgar/data/1575515/000156459019003562/0001564590-19-003562-index.html,https://www.sec.gov/Archives/edgar/data/1575515/000156459020005552/0001564590-20-005552-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1575515/000156459021008832/0001564590-21-008832-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,14542000,67211000,77700000,130513000,- -,136069000,19479000,1588000,85314000,- -,169697000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,14542000,67211000,77700000,130513000,- -,136069000,19479000,1588000,85314000,- -,169697000
34,Net Receivables,- -,7184000,9880000,11000000,20106000,- -,26276000,25893000,40978000,15713000,- -,23642000
35,Inventory,- -,63618000,98382000,118300000,142793000,- -,165434000,229542000,264366000,275979000,- -,254224000
36,Other Current Assets,- -,18120000,27648000,24600000,40717000,- -,17436000,24593000,26909000,10833000,- -,18397000
37,Total Current Assets,- -,103464000,203121000,231600000,334129000,- -,345215000,299507000,333841000,387839000,- -,465960000
38,PP&E,- -,221343000,303166000,348800000,454889000,- -,494067000,713031000,766429000,1769944000,- -,1771908000
39,Goodwill,- -,199399000,368078000,368100000,368078000,- -,368078000,368078000,368078000,368078000,- -,368878000
40,Intangible Assets,- -,190423000,196772000,195500000,194176000,- -,198601000,196205000,194803000,185395000,- -,184960000
41,Intangible Assets,- -,389822000,564850000,563600000,562254000,- -,566679000,564283000,562881000,553473000,- -,553838000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,43247000,22578000,- -,18600000,- -,- -,- -,- -,54356000,- -,- -
44,Other Non-Current Assets,- -,3770000,9521000,28400000,-799000,- -,20403000,4782000,12463000,-42629000,- -,14698000
45,Total Non-Current Assets,- -,658182000,900115000,940800000,1034944000,- -,1081149000,1282096000,1341773000,2335144000,- -,2340444000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,761646000,1103236000,1172400000,1369073000,- -,1426364000,1581603000,1675614000,2722983000,- -,2806404000
48,Accounts Payable,- -,53945000,82721000,111200000,112877000,- -,134480000,119034000,120265000,122839000,- -,139337000
