,https://roic.ai/company/SGHT,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,7530000,23348000,27640000,48956000
2,COGS,2338000,6544000,9209000,8610000
3,Gross Profit,5192000,16804000,18431000,40346000
4,Gross Profit Ratio,0.6895,0.7197,0.6668,0.8241
5,Research and Development Exp.,5426000,8124000,8874000,15634000
6,General and Administrative Exp.,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,76190000
9,Other Expenses,14063000,32719000,41745000,- -
10,Operating Expenses,19489000,40843000,50619000,91824000
11,COGS and Expenses,21827000,47387000,59828000,100434000
12,Interest Income ,1000,174000,30000,- -
13,Interest Expense (Gain),- -,1961000,2403000,-4366000
14,Depreciation and Amortization,63000,295000,554000,632000
15,EBITDA,-14233000,-23605000,-31675000,-66506000
16,EBITDA ratio,-1.8902,-1.0110,-1.1460,-1.3585
17,Operating Income,-14297000,-24039000,-32188000,-51478000
18,Operating Income ratio,-1.8987,-1.0296,-1.1645,-1.0515
19,Total Other Income Expenses (Gains),1000,-1822000,-2444000,-11294000
20,Income Before Tax,-14296000,-25861000,-34632000,-62772000
21,Income Before Tax Ratio,-1.8985,-1.1076,-1.2530,-1.2822
22,Income Tax expense (Gain),-6000,8000,61000,188000
23,Net Income,-14290000,-25869000,-34693000,-62960000
24,Net Income ratio,-1.8977,-1.1080,-1.2552,-1.2861
25,EPS,-0.44,-0.80,-1.08,-2.36
26,EPS Diluted,-0.44,-0.80,-1.08,-2.36
27,Weighted Average Shares Outstanding,32202665,32202665,32202665,26734097
28,Weighted Average Shares Outstanding Diluted,32202665,32202665,32202665,26734097
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1531177/000095017022004563/0000950170-22-004563-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,4242000,21237000,61511000,260687000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,4242000,21237000,61511000,260687000
34,Net Receivables,1815000,4094000,5363000,8709000
35,Inventory,486000,2244000,2598000,3475000
36,Other Current Assets,621000,426000,1161000,4164000
37,Total Current Assets,7164000,28001000,70633000,277035000
38,PP&E,868000,2572000,1787000,2949000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,62000,168000,386000,202000
45,Total Non-Current Assets,930000,2740000,2173000,3151000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,8094000,30741000,72806000,280186000
48,Accounts Payable,1879000,2315000,2158000,3351000
49,Short-Term Debt,- -,557000,395000,- -
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,1017000,4464000,6761000,10153000
53,Total Current Liabilities,2896000,7336000,9314000,13504000
54,Long-Term Debt,- -,13383000,32089000,32656000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,34160000,64705000,120252000,1919000
58,Total Non-Current Liabilities,34160000,78088000,152341000,34575000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1085000,529000,- -
61,Total Liabilities,37056000,85424000,161655000,48079000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,9000,9000,9000,48000
64,Retained Earnings,-29479000,-55348000,-90041000,-153001000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -
66,Other Total Stockholders Equity,508000,656000,1183000,385060000
67,Total Stockholders Equity,-28962000,-54683000,-88849000,232107000
68,Total Liabilities And Stockholders Equity,8094000,30741000,72806000,280186000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,8094000,30741000,72806000,280186000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1531177/000095017022004563/0000950170-22-004563-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-14290000,-25869000,-34693000,-62960000
74,Depreciation and Amortization,63000,295000,554000,632000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,52000,118000,497000,5083000
77,Change in Working Capital,-358000,16397000,40654000,202212000
78,Accounts Receivable,-1415000,-2320000,-1477000,348000
79,Inventory,-184000,-1799000,-1716000,436000
80,Accounts Payable,1003000,168000,448000,1168000
81,Other Working Capital,4268000,20665000,61319000,263531000
82,Other Non-Cash Items,58000,-15938000,-39186000,-197507000
83,Cash Provided by Operating Activities,-14475000,-24997000,-32174000,-52540000
84,CAPEX,-570000,-672000,-953000,-813000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-570000,-672000,-953000,-813000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,256680000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,12203000,42664000,73401000,-4151000
95,Cash Used/Provided by Financing Activities,12203000,42664000,73401000,252529000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-2842000,16995000,40274000,199176000
98,Cash at the End of Period,4242000,21237000,61511000,260687000
99,Cash at the Beginning of Period,7084000,4242000,21237000,61511000
100,Free Cash Flow,-15045000,-25669000,-33127000,-53353000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1531177/000095017022004563/0000950170-22-004563-index.htm
102,false,,,,
