,https://roic.ai/company/COE,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,21665000,52210000,154675000,418281000,847993000,1145517000,1478493000,2054095000,2166549000
2,COGS,9302000,22214000,59668000,147157000,314121000,410908000,439923000,580417000,557974000
3,Gross Profit,12363000,29996000,95007000,271124000,533872000,734609000,1038570000,1473678000,1608575000
4,Gross Profit Ratio,0.5706,0.5745,0.6142,0.6482,0.6296,0.6413,0.7025,0.7174,0.7425
5,Research and Development Exp.,3018000,10781000,54597000,152709000,223202000,185000000,157505000,162829000,178750000
6,General and Administrative Exp.,8597000,31553000,64903000,165657000,224395000,223057000,196029000,214224000,323968000
7,Selling and Marketing Exp.,17124000,81269000,297337000,464890000,657065000,731233000,792591000,1035620000,1062523000
8,"Selling, General and Administrative Exp.",25721000,112822000,362240000,630547000,881460000,954290000,988620000,1249844000,1386491000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,-43414000,-23223000
10,Operating Expenses,28739000,123603000,416837000,783256000,1104662000,1139290000,1146125000,1369259000,1542018000
11,COGS and Expenses,38041000,145817000,476505000,930413000,1418783000,1550198000,1586048000,1949676000,2099992000
12,Interest Income ,- -,- -,- -,- -,- -,9167000,17654000,38508000,25134000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,9936000,9451000,66000,- -
14,Depreciation and Amortization,177000,1412000,7431000,16579000,29007000,32970000,26625000,18944000,- -
15,EBITDA,-16909000,-93408000,-314752000,-496583000,-547462000,-369908000,-63276000,161871000,59515000
16,EBITDA ratio,-0.7805,-1.7891,-2.0349,-1.1872,-0.6456,-0.3229,-0.0428,0.0788,0.0275
17,Operating Income,-16376000,-93607000,-321830000,-512132000,-570790000,-404681000,-107555000,104419000,34381000
18,Operating Income ratio,-0.7559,-1.7929,-2.0807,-1.2244,-0.6731,-0.3533,-0.0727,0.0508,0.0159
19,Total Other Income Expenses (Gains),-710000,-1213000,-353000,-1030000,-5679000,-8133000,8203000,38442000,25134000
20,Income Before Tax,-17086000,-94820000,-322183000,-513162000,-576469000,-412814000,-99352000,142861000,59515000
21,Income Before Tax Ratio,-0.7886,-1.8161,-2.0830,-1.2268,-0.6798,-0.3604,-0.0672,0.0695,0.0275
22,Income Tax expense (Gain),710000,6882000,4903000,1616000,4342000,3880000,5068000,-4101000,-46139000
23,Net Income,-17796000,-101702000,-327086000,-514778000,-580811000,-416694000,-104420000,146962000,105654000
24,Net Income ratio,-0.8214,-1.9479,-2.1147,-1.2307,-0.6849,-0.3638,-0.0706,0.0715,0.0488
25,EPS,-1.26,-8.04,-20.10,-45.45,-28.95,-20.55,-4.80,6.90,3.36
26,EPS Diluted,-1.26,-8.04,-20.10,-45.45,-28.95,-20.55,-4.80,6.45,3.36
27,Weighted Average Shares Outstanding,16213078,16213078,16213078,13269321,20107337,20302827,20557661,21303579,31421000
28,Weighted Average Shares Outstanding Diluted,16213078,16213078,16213078,13269321,20107337,20302827,20557661,22766875,31469000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1659494/000110465917025888/a17-4667_120f.htm,- -,https://www.sec.gov/Archives/edgar/data/1659494/000110465919023096/a19-1124_120f.htm,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,61502000,209774000,46873000,274873000,320039000,413143000,342951000,326647000,214732000
32,Short-Term Investments,- -,- -,167078000,372150000,303381000,298992000,597029000,987044000,626407000
33,Cash and Short-Term Investments,61502000,209774000,213951000,647023000,623420000,712135000,939980000,1313691000,841139000
34,Net Receivables,- -,- -,- -,9987000,2078000,3215000,3721000,10231000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,308000,1935000,1080000
36,Other Current Assets,868000,7837000,42130000,55779000,82863000,239284000,246494000,291826000,123000000
37,Total Current Assets,62370000,217611000,256081000,712789000,708361000,954634000,1190503000,1617683000,965219000
38,PP&E,372000,6514000,25012000,41576000,49009000,35341000,76974000,119176000,53924000
39,Goodwill,- -,- -,4223000,4223000,4223000,4223000,4223000,4223000,- -
40,Intangible Assets,539000,801000,2608000,4629000,9686000,11790000,9918000,20302000,11211000
41,Intangible Assets,539000,801000,6831000,8852000,13909000,16013000,14141000,24525000,11211000
42,Investments,- -,- -,- -,6943000,6751000,- -,113415000,414000000,100868000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,10268000,56868000
44,Other Non-Current Assets,215000,2141000,3626000,5367000,5526000,4230000,6784000,23896000,5496000
45,Total Non-Current Assets,1126000,9456000,35469000,62738000,75195000,55584000,211314000,591865000,228367000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,63496000,227067000,291550000,775527000,783556000,1010218000,1401817000,2209548000,1193586000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,48128000,42949000,19400000
50,Tax Payable,1822000,12242000,20314000,18923000,24985000,16917000,21661000,19288000,28027000
51,Deferred Revenue,16407000,76880000,264411000,653413000,1176565000,1658800000,2181808000,2718776000,1766032000
52,Other Current Liabilities,7683000,37397000,104637000,185447000,247783000,226827000,188616000,256389000,124232000
53,Total Current Liabilities,24090000,114277000,369048000,838860000,1424348000,1885627000,2418552000,3018114000,1909664000
54,Long-Term Debt,- -,- -,- -,- -,- -,69045000,23545000,53594000,19340000
55,Deferred Revenue,72000,1536000,7765000,33706000,25230000,17321000,4783000,2270000,1126000
56,Deferred Tax Liabilities,- -,- -,380000,226000,124000,21000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,674000,1918000,2245000,853000,1595000,2508000,1547000
58,Total Non-Current Liabilities,72000,1536000,8819000,35850000,27599000,87240000,29923000,58372000,22013000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,55095000,96543000,38740000
61,Total Liabilities,24162000,115813000,377867000,874710000,1451947000,1972867000,2448475000,3076486000,1931677000
62,Preferred Stock,65531000,277723000,478962000,- -,- -,- -,- -,- -,- -
63,Common Stock,50000,45000,45000,196000,197000,199000,205000,213000,- -
64,Retained Earnings,-25563000,-168138000,-569962000,-1172976000,-1753787000,-2094482000,-2198902000,-2051940000,- -
65,Other Comprehensive Income/Loss,-684000,1624000,4638000,32338000,7676000,24615000,29971000,8884000,- -
66,Other Total Stockholders Equity,- -,- -,- -,1041259000,1077523000,1107019000,1122068000,1175905000,- -
67,Total Stockholders Equity,39334000,111254000,-86317000,-99183000,-668391000,-962649000,-1046658000,-866938000,-738091000
68,Total Liabilities And Stockholders Equity,63496000,227067000,291550000,775527000,783556000,1010218000,1401817000,2209548000,1193586000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,63496000,227067000,291550000,775527000,783556000,1010218000,1401817000,2209548000,1193586000
