,https://roic.ai/company/YJ,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,1284444000,6444071000,13015225000,11672024000,5530257000,2155361000
2,COGS,978688000,5172842000,10706596000,9249474000,3939997000,1343386000
3,Gross Profit,305756000,1271229000,2308629000,2422550000,1590260000,811975000
4,Gross Profit Ratio,0.2380,0.1973,0.1774,0.2076,0.2876,0.3767
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,214767000,677722000,1452904000,1558537000,914798000,552990000
7,Selling and Marketing Exp.,138046000,707735000,955128000,1187462000,806140000,296049000
8,"Selling, General and Administrative Exp.",352813000,1385457000,2408032000,2745999000,1720938000,849039000
9,Other Expenses,- -,-894000,-7048000,-68646000,-33218000,-54416000
10,Operating Expenses,352813000,1384563000,2400984000,2677353000,1687720000,794623000
11,COGS and Expenses,1331501000,6557405000,13107580000,11926827000,5627717000,2138009000
12,Interest Income ,727000,11802000,46919000,52889000,46667000,80061000
13,Interest Expense (Gain),98000,- -,- -,- -,6383000,- -
14,Depreciation and Amortization,801000,3808000,9306000,39318000,36786000,- -
15,EBITDA,-44319000,-105247000,-38036000,-103164000,-63879000,192467000
16,EBITDA ratio,-0.0345,-0.0163,-0.0029,-0.0088,-0.0116,0.0893
17,Operating Income,-47057000,-114228000,-99403000,-298402000,-97460000,17352000
18,Operating Income ratio,-0.0366,-0.0177,-0.0076,-0.0256,-0.0176,0.0081
19,Total Other Income Expenses (Gains),1839000,5166000,52431000,161069000,-11100000,191670000
20,Income Before Tax,-45218000,-109062000,-46972000,-137333000,-108560000,209022000
21,Income Before Tax Ratio,-0.0352,-0.0169,-0.0036,-0.0118,-0.0196,0.0970
22,Income Tax expense (Gain),-20550000,-3331000,12346000,-16720000,39298000,60501000
23,Net Income,-24668000,-105724000,-59688000,-125762000,-146346000,131966000
24,Net Income ratio,-0.0192,-0.0164,-0.0046,-0.0108,-0.0265,0.0612
25,EPS,-0.50,-8.57,-0.29,-9.10,-0.70,0.62
26,EPS Diluted,-0.50,-8.57,-0.29,-9.10,-0.70,0.62
27,Weighted Average Shares Outstanding,202413011,202413011,202413011,181848792,212590640,212590640
28,Weighted Average Shares Outstanding Diluted,202413011,202413011,202413011,181848792,212590640,212590640
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,287107000,328741000,1519146000,883369000,1063900000,567204000
32,Short-Term Investments,33000000,663780000,1099394000,774736000,134146000,380052000
33,Cash and Short-Term Investments,320107000,992521000,2618540000,1658105000,1198046000,947256000
34,Net Receivables,45819000,125185000,169369000,441427000,486516000,120698000
35,Inventory,97443000,332778000,675543000,428322000,135245000,84500000
36,Other Current Assets,47955000,155072000,343499000,333025000,326161000,552682000
37,Total Current Assets,511324000,1605556000,3806951000,2860879000,2145968000,1705136000
38,PP&E,8561000,18558000,36954000,88387000,115334000,18262000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,507000,16999000,198860000,158931000,381401000
43,Tax Assets,20641000,48540000,56640000,97792000,59455000,17497000
44,Other Non-Current Assets,- -,- -,1255000,56281000,70793000,227674000
45,Total Non-Current Assets,29202000,67605000,111848000,441320000,404513000,644834000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,540526000,1673161000,3918799000,3302199000,2550481000,2349970000
48,Accounts Payable,158790000,770025000,1432274000,741959000,501549000,254839000
49,Short-Term Debt,- -,- -,- -,17559000,6988000,5571000
50,Tax Payable,6739000,34129000,74807000,40498000,19044000,- -
51,Deferred Revenue,112715000,324287000,610801000,348603000,206613000,105752000
52,Other Current Liabilities,199312000,571588000,1071934000,690356000,510322000,499598000
53,Total Current Liabilities,470817000,1665900000,3115009000,1798477000,1225472000,865760000
54,Long-Term Debt,- -,- -,- -,27734000,8309000,3123000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,5164000,197000,11329000,1832000,2572000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,5164000,197000,39063000,10141000,5695000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,45293000,15297000,8694000
61,Total Liabilities,470817000,1671064000,3115206000,1837540000,1235613000,871455000
62,Preferred Stock,255938000,1920698000,- -,- -,- -,- -
63,Common Stock,- -,- -,64000,70000,70000,70000
64,Retained Earnings,-187229000,-1922828000,-4180922000,-5805332000,-5952085000,-5818645000
65,Other Comprehensive Income/Loss,- -,4227000,64069000,100496000,22076000,-1645000
66,Other Total Stockholders Equity,- -,- -,4914020000,7158735000,7241946000,7298116000
67,Total Stockholders Equity,69709000,2097000,797231000,1453969000,1312007000,1477896000
68,Total Liabilities And Stockholders Equity,540526000,1673161000,3912437000,3291509000,2547620000,2349351000
69,Minority Interest,- -,- -,6362000,10690000,2861000,619000
70,Total Liabilities & Equity,540526000,1673161000,3918799000,3302199000,2550481000,2349970000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-24668000,-105724000,-59688000,-125762000,-146346000,- -
74,Depreciation and Amortization,801000,3808000,9306000,39318000,36786000,- -
75,Deferred Income Tax,-20641000,-22735000,-13067000,-30020000,28840000,- -
76,Stock Based Compensation,- -,2008000,54300000,128197000,98378000,- -
77,Change in Working Capital,170449000,804026000,888215000,-701759000,-357591000,- -
78,Accounts Receivable,- -,-778000,-6658000,-4525000,-154413000,- -
79,Inventory,-59220000,-242780000,-345305000,243613000,251998000,- -
80,Accounts Payable,130234000,611235000,662249000,-674414000,-205824000,- -
81,Other Working Capital,64119000,211256000,223424000,-365147000,-130853000,- -
82,Other Non-Cash Items,-6403000,18199000,3971000,-426790000,78419000,- -
83,Cash Provided by Operating Activities,119538000,699582000,883037000,-1116816000,-261514000,- -
84,CAPEX,-8998000,-13720000,-28731000,-28184000,-84403000,- -
85,Acquisitions Net,- -,-500000,-14500000,- -,-7144000,- -
86,Purchases of Investments,-33000000,-2195822000,-11539398000,-4914811000,-1801848000,- -
87,Sales/Maturities of Investments,45000000,1564542000,11124565000,5028793000,2495957000,- -
88,Other Investing Activites,- -,508000,17000,-201281000,-51547000,- -
89,Cash Used for Investing Activites,3002000,-644992000,-458047000,-115483000,551015000,- -
90,Debt Repayment,-13427000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,737297000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-117371000,-23171000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,137342000,26255000,747921000,3480000,9295000,- -
95,Cash Used/Provided by Financing Activities,123915000,26255000,747921000,623406000,-13876000,- -
96,Effect of Forex Changes on Cash,6367000,-10911000,34594000,11390000,-53624000,- -
97,Net Change In Cash,252822000,69934000,1207505000,-597503000,222001000,- -
98,Cash at the End of Period,287807000,357741000,1565246000,967743000,1189744000,- -
99,Cash at the Beginning of Period,34985000,287807000,357741000,1565246000,967743000,- -
100,Free Cash Flow,110540000,685862000,854306000,-1145000000,-345917000,- -
101,SEC Link,- -,- -,- -,- -,- -,undefined
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
