,https://roic.ai/company/FTS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,447035000,474300000,493826000,474354000,505218000,584575000,628254000,715465000,843080000,1146128000,1441471000,1471736000,2718000000,3903000000,3637000000,3664000000,3747000000,3654000000,4047000000,5401000000,6727000000,6838000000,8301000000,8390000000,8783000000,8935000000,9448000000
2,COGS,230095000,- -,243119000,- -,- -,- -,- -,- -,- -,- -,- -,540485000,1287000000,2112000000,1799000000,1686000000,1697000000,1522000000,1617000000,2197000000,2561000000,2341000000,2361000000,2495000000,2520000000,2562000000,2951000000
3,Gross Profit,216940000,- -,250707000,- -,- -,- -,- -,- -,- -,- -,- -,931251000,1431000000,1791000000,1838000000,1978000000,2050000000,2132000000,2430000000,3204000000,4166000000,4497000000,5940000000,5895000000,6263000000,6373000000,6497000000
4,Gross Profit Ratio,0.4853,- -,0.5077,- -,- -,- -,- -,- -,- -,- -,- -,0.6328,0.5265,0.4589,0.5054,0.5398,0.5471,0.5835,0.6004,0.5932,0.6193,0.6576,0.7156,0.7026,0.7131,0.7133,0.6877
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,122906000,- -,145847000,382983000,401891000,471176000,481073000,542345000,642264000,882284000,1085010000,576098000,890000000,1091000000,1137000000,1238000000,1284000000,1338000000,1578000000,2181000000,2737000000,3014000000,3440000000,3530000000,3802000000,3865000000,4028000000
10,Operating Expenses,122906000,- -,145847000,382983000,401891000,471176000,481073000,542345000,642264000,882284000,1085010000,576098000,890000000,1091000000,1137000000,1238000000,1284000000,1338000000,1578000000,2181000000,2737000000,3014000000,3440000000,3530000000,3802000000,3865000000,4028000000
11,COGS and Expenses,353001000,- -,388966000,382983000,401891000,471176000,481073000,542345000,642264000,882284000,1085010000,1116583000,2177000000,3203000000,2936000000,2924000000,2981000000,2860000000,3195000000,4378000000,5298000000,5355000000,5801000000,6025000000,6322000000,6427000000,6979000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,7000000,13000000,8000000,7000000,14000000,15000000,16000000,13000000,5000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361000000,350000000,370000000,384000000,412000000,574000000,580000000,707000000,914000000,974000000,1035000000,1042000000,1003000000
14,Depreciation and Amortization,37998000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360000000,408000000,422000000,470000000,541000000,688000000,873000000,983000000,1179000000,1243000000,1350000000,1428000000,1505000000
15,EBITDA,93372000,36400000,59455000,50480000,56659000,54392000,81530000,95740000,111866000,137782000,207513000,181310000,235000000,324000000,1050000000,1138000000,1219000000,1277000000,1395000000,1707000000,2481000000,2495000000,3709000000,3548000000,4396000000,3975000000,4036000000
16,EBITDA ratio,0.2089,0.0767,0.1204,0.1064,0.1121,0.0930,0.1298,0.1338,0.1327,0.1202,0.1440,0.1232,0.0865,0.0830,0.2887,0.3106,0.3253,0.3495,0.3447,0.3161,0.3688,0.3649,0.4468,0.4229,0.5005,0.4449,0.4272
17,Operating Income,94034000,474300000,104860000,91371000,103327000,113399000,147181000,173120000,200816000,263844000,356461000,355153000,541000000,700000000,701000000,740000000,766000000,794000000,852000000,1023000000,1429000000,1483000000,2500000000,2365000000,3038000000,2508000000,2469000000
18,Operating Income ratio,0.2104,1.0000,0.2123,0.1926,0.2045,0.1940,0.2343,0.2420,0.2382,0.2302,0.2473,0.2413,0.1990,0.1793,0.1927,0.2020,0.2044,0.2173,0.2105,0.1894,0.2124,0.2169,0.3012,0.2819,0.3459,0.2807,0.2613
19,Total Other Income Expenses (Gains),-41694000,- -,-45405000,-40891000,-46611000,-59007000,-66372000,-77380000,-88950000,-126062000,-148948000,-173843000,-306000000,-376000000,-360000000,-350000000,-330000000,-362000000,-420000000,-572000000,-366000000,-625000000,-787000000,-914000000,-897000000,-888000000,-830000000
20,Income Before Tax,52340000,- -,59455000,50480000,56716000,54392000,80809000,95740000,111866000,137782000,207513000,181310000,235000000,324000000,341000000,390000000,436000000,432000000,432000000,451000000,1063000000,858000000,1713000000,1451000000,2141000000,1620000000,1639000000
21,Income Before Tax Ratio,0.1171,- -,0.1204,0.1064,0.1123,0.0930,0.1286,0.1338,0.1327,0.1202,0.1440,0.1232,0.0865,0.0830,0.0938,0.1064,0.1164,0.1182,0.1067,0.0835,0.1580,0.1255,0.2064,0.1729,0.2438,0.1813,0.1735
22,Income Tax expense (Gain),20334000,- -,29449000,23066000,27476000,17633000,28088000,32488000,38236000,46927000,70416000,32538000,36000000,65000000,49000000,67000000,80000000,61000000,32000000,66000000,223000000,145000000,588000000,165000000,289000000,231000000,234000000
23,Net Income,35040000,36400000,30006000,27414000,29183000,36759000,53442000,63252000,73630000,90855000,137097000,148772000,199000000,259000000,280000000,313000000,347000000,362000000,410000000,379000000,805000000,660000000,1028000000,1166000000,1722000000,1274000000,1294000000
24,Net Income ratio,0.0784,0.0767,0.0608,0.0578,0.0578,0.0629,0.0851,0.0884,0.0873,0.0793,0.0951,0.1011,0.0732,0.0664,0.0770,0.0854,0.0926,0.0991,0.1013,0.0702,0.1197,0.0965,0.1238,0.1390,0.1961,0.1426,0.1370
25,EPS,0.63,0.59,0.59,0.53,0.56,0.68,0.90,0.97,1.06,1.07,1.35,1.42,1.40,1.56,1.54,1.65,1.75,1.66,1.74,1.41,2.61,1.89,2.32,2.59,3.79,2.60,2.61
26,EPS Diluted,0.63,0.59,0.59,0.53,0.56,0.68,0.90,0.97,1.02,1.01,1.24,1.37,1.32,1.52,1.51,1.62,1.74,1.65,1.73,1.40,2.59,1.89,2.31,2.59,3.78,2.60,2.61
27,Weighted Average Shares Outstanding,48398904,49275552,50492000,51632000,52188000,54068000,59512000,65108000,69236000,84736000,101750000,103578000,137857143,157400000,170200000,172900000,181600000,190000000,202500000,225600000,278600000,308900000,415500000,424700000,436800000,464800000,470900000
28,Weighted Average Shares Outstanding Diluted,48398904,49275552,50492000,51632000,52188000,54068000,59512000,65108000,71834146,89955446,110562097,107435766,146212121,161184211,184800000,187100000,190000000,197200000,209300000,226100000,284700000,313400000,416200000,425200000,437500000,465400000,471400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1666175/000166617517000006/0001666175-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1666175/000166617518000005/0001666175-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1666175/000166617519000011/0001666175-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1666175/000166617520000006/0001666175-20-000006-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5498000,- -,11823000,6961000,11291000,18432000,14285000,26258000,65094000,37203000,33416000,40921000,58000000,66000000,85000000,109000000,89000000,154000000,72000000,230000000,242000000,269000000,327000000,332000000,370000000,249000000,131000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5498000,- -,11823000,6961000,11291000,18432000,14285000,26258000,65094000,37203000,33416000,40921000,58000000,66000000,85000000,109000000,89000000,154000000,72000000,230000000,242000000,269000000,327000000,332000000,370000000,249000000,131000000
34,Net Receivables,57823000,- -,58186000,70455000,64345000,76800000,102156000,136072000,130251000,169649000,204169000,285619000,635000000,681000000,595000000,655000000,644000000,587000000,732000000,900000000,926000000,1127000000,1131000000,1357000000,1297000000,1369000000,1511000000
35,Inventory,6897000,- -,6373000,7396000,17226000,16731000,18173000,17792000,16470000,30235000,32033000,32675000,233000000,229000000,178000000,168000000,134000000,133000000,143000000,321000000,337000000,372000000,367000000,398000000,394000000,422000000,478000000
36,Other Current Assets,2441000,- -,2221000,- -,- -,- -,321000,- -,- -,19449000,43075000,49924000,138000000,174000000,268000000,272000000,253000000,219000000,349000000,512000000,352000000,398000000,382000000,1174000000,513000000,572000000,608000000
37,Total Current Assets,72659000,- -,78603000,84812000,92862000,111963000,134935000,180122000,211815000,256536000,312693000,409139000,1064000000,1150000000,1126000000,1204000000,1120000000,1093000000,1296000000,1963000000,1857000000,2166000000,2207000000,3261000000,2574000000,2612000000,2728000000
38,PP&E,723461000,- -,778348000,789627000,989748000,1114411000,1284595000,1506289000,1609477000,2688136000,3020669000,468984000,7241000000,7908000000,8246000000,8762000000,8687000000,10249000000,12267000000,17816000000,19595000000,29337000000,29668000000,32654000000,34034000000,36038000000,37856000000
39,Goodwill,27060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1560000000,1553000000,1557000000,1568000000,2075000000,3732000000,4173000000,12364000000,11644000000,12530000000,12004000000,11792000000,11720000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279000000,324000000,341000000,325000000,345000000,488000000,541000000,1011000000,1081000000,1200000000,1260000000,1291000000,1343000000
41,Intangible Assets,27060000,- -,44845000,41916000,38987000,36164000,32838000,85497000,87574000,532496000,526166000,671130000,1559000000,- -,1839000000,1877000000,1898000000,1893000000,2420000000,4220000000,4714000000,13375000000,12725000000,13730000000,13264000000,13083000000,13063000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,10000000,12000000,125000000,99000000,124000000,153000000,126000000,158000000,178000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,16000000,8000000,- -,7000000,62000000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,93229000,- -,115600000,120837000,122011000,216058000,172384000,215091000,301715000,360828000,456663000,3898188000,409000000,2120000000,932000000,1044000000,1849000000,1712000000,1908000000,2555000000,2513000000,2927000000,3098000000,3253000000,3406000000,3590000000,3834000000
