,https://roic.ai/company/HLNE,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,139764000,155385000,180797000,179820000,244033000,252179000,274048000,341635000
2,COGS,55950000,60157000,92065000,72116000,82868000,97719000,98519000,136319000
3,Gross Profit,83814000,95228000,88732000,107704000,161165000,154460000,175529000,205316000
4,Gross Profit Ratio,0.5997,0.6129,0.4908,0.5990,0.6604,0.6125,0.6405,0.6010
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,24760000,26865000,26898000,31589000,38212000,50236000,59100000,49588000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",24760000,26865000,26898000,31589000,38212000,50236000,59100000,49588000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,24760000,26865000,26898000,31589000,38212000,50236000,59100000,49588000
11,COGS and Expenses,80710000,87022000,118963000,103705000,121080000,147955000,157619000,185907000
12,Interest Income ,142000,87000,194000,320000,528000,255000,709000,1676000
13,Interest Expense (Gain),8503000,5883000,12641000,14565000,5989000,3039000,2816000,2044000
14,Depreciation and Amortization,1853000,1867000,2027000,1915000,1891000,2979000,3291000,4134000
15,EBITDA,72690000,70230000,72644000,17408000,58554000,70151000,80900000,128617000
16,EBITDA ratio,0.5201,0.4520,0.4018,0.0968,0.2399,0.2782,0.2952,0.3765
17,Operating Income,59054000,68363000,61834000,76115000,122953000,104224000,116429000,155728000
18,Operating Income ratio,0.4225,0.4400,0.3420,0.4233,0.5038,0.4133,0.4248,0.4558
19,Total Other Income Expenses (Gains),7845000,3622000,-5113000,-1361000,16677000,25333000,24315000,37474000
20,Income Before Tax,66899000,71985000,56721000,74754000,139630000,129557000,140744000,193202000
21,Income Before Tax Ratio,0.4787,0.4633,0.3137,0.4157,0.5722,0.5138,0.5136,0.5655
22,Income Tax expense (Gain),-128000,483000,869000,316000,33333000,30560000,13968000,24417000
23,Net Income,62462000,- -,57107000,612000,17341000,33573000,60825000,98022000
24,Net Income ratio,0.4469,- -,0.3159,0.0034,0.0711,0.1331,0.2220,0.2869
25,EPS,3.66,- -,3.35,0.03,0.94,1.41,2.17,2.82
26,EPS Diluted,3.66,- -,3.35,0.03,0.93,1.40,2.15,2.81
27,Weighted Average Shares Outstanding,17070505,17070505,17070505,17788363,18414715,23836401,28088578,33152318
28,Weighted Average Shares Outstanding Diluted,17070505,17070505,17070505,18341079,18990369,24298795,28438772,33362365
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1433642/000143364218000038/0001433642-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1433642/000143364219000071/0001433642-19-000071-index.html,https://www.sec.gov/Archives/edgar/data/1433642/000143364220000039/0001433642-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1433642/000143364221000077/0001433642-21-000077-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,67089000,68584000,32286000,47596000,49357000,50124000,87336000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,67089000,68584000,32286000,47596000,49357000,50124000,87336000
34,Net Receivables,- -,18822000,14680000,15426000,18160000,22948000,32989000,31697000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3226000,3353000,4442000,4088000,6947000,10074000,285187000
37,Total Current Assets,- -,89137000,86617000,52154000,69844000,79252000,93187000,404220000
38,PP&E,- -,5678000,4612000,4063000,4782000,8108000,16979000,87692000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,103360000,102749000,120147000,137253000,154491000,207747000,373623000
43,Tax Assets,- -,- -,- -,61223000,73381000,107726000,137941000,251949000
44,Other Non-Current Assets,- -,3325000,2658000,3030000,8535000,11014000,17675000,19035000
45,Total Non-Current Assets,- -,112363000,110019000,188463000,223951000,281339000,380342000,732299000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,201500000,196636000,240617000,293795000,360591000,473529000,1136519000
48,Accounts Payable,- -,1667000,641000,1366000,1700000,2619000,1968000,2173000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,7411000,9386000,13119000,49863000,92390000,112812000,222842000
53,Total Current Liabilities,- -,9078000,10027000,14485000,51563000,95009000,114780000,225015000
54,Long-Term Debt,- -,107719000,243317000,84310000,84162000,70954000,74524000,238456000
55,Deferred Revenue,- -,1960000,45166000,45166000,6245000,3704000,3704000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,9053000,10064000,10029000,15751000,21202000,43120000,82847000
58,Total Non-Current Liabilities,- -,118732000,298547000,139505000,106158000,95860000,121348000,321303000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,10184000,75281000
61,Total Liabilities,- -,127810000,308574000,153990000,157721000,190869000,236128000,546318000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,47000,48000,51000,52000,53000
64,Retained Earnings,- -,- -,- -,612000,4549000,17686000,47090000,87512000
65,Other Comprehensive Income/Loss,- -,-13979000,-10857000,-311000,- -,7000,-78000,- -
66,Other Total Stockholders Equity,- -,87669000,- -,59694000,73829000,92482000,107727000,150564000
67,Total Stockholders Equity,- -,56238000,-123306000,60042000,78426000,110226000,154791000,238129000
68,Total Liabilities And Stockholders Equity,- -,184048000,185268000,214032000,236147000,301095000,390919000,784447000
69,Minority Interest,- -,17452000,11368000,26585000,57648000,59496000,82610000,352072000
70,Total Liabilities & Equity,- -,201500000,196636000,240617000,293795000,360591000,473529000,1136519000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1433642/000143364218000038/0001433642-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1433642/000143364219000071/0001433642-19-000071-index.html,https://www.sec.gov/Archives/edgar/data/1433642/000143364220000039/0001433642-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1433642/000143364221000077/0001433642-21-000077-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,62462000,- -,57107000,612000,17341000,33573000,60825000,98022000
74,Depreciation and Amortization,1853000,1867000,2027000,1915000,1891000,2979000,3291000,4134000
75,Deferred Income Tax,- -,274000,- -,26000,22983000,21665000,7929000,7027000
76,Stock Based Compensation,3070000,3390000,3730000,4681000,5544000,6382000,7183000,7079000
77,Change in Working Capital,4438000,80591000,-3469000,-38921000,-19388000,-34038000,-5836000,200798000
78,Accounts Receivable,4948000,-6643000,4041000,-285000,-2624000,-5390000,-10003000,1182000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-80000,689000,-1026000,725000,334000,919000,-654000,205000
81,Other Working Capital,-532000,80059000,76590000,37669000,18281000,-15757000,-21593000,179205000
82,Other Non-Cash Items,-4964000,-9219000,49702000,113366000,68321000,81061000,42981000,-128902000
83,Cash Provided by Operating Activities,66859000,76903000,109097000,81679000,96692000,111622000,116373000,188158000
84,CAPEX,-1510000,-3874000,-921000,-1275000,-2254000,-5366000,-6150000,-19637000
85,Acquisitions Net,- -,- -,- -,- -,-5228000,- -,- -,- -
86,Purchases of Investments,-12127000,-19653000,-18164000,-24222000,-30346000,-46048000,-57699000,-436411000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,22531000,6419000,- -
88,Other Investing Activites,11349000,13468000,21587000,8782000,16055000,9670000,3358000,33267000
89,Cash Used for Investing Activites,-2288000,-10059000,2502000,-16715000,-21773000,-19213000,-49900000,-421781000
90,Debt Repayment,-26000000,-15620000,-121680000,-162600000,-87038000,-13263000,-86250000,-1406000
91,Common Stock Issued,- -,- -,- -,203233000,- -,193504000,147122000,749339000
92,Common Stock Repurchased,- -,- -,- -,- -,-2000,-2000,-5883000,-6024000
93,Dividends Paid,-16789000,-47089000,-67815000,-80457000,-46454000,-69325000,-76435000,-74044000
94,Other Financing Activites,-3380000,-12192000,79391000,-61387000,73823000,-201124000,-43263000,-397205000
95,Cash Used/Provided by Financing Activities,-46169000,-74901000,-110104000,-101211000,-59671000,-90210000,-64709000,270660000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,8000,-144000,130000
97,Net Change In Cash,18402000,-8057000,1495000,-36247000,15248000,2207000,1620000,37167000
98,Cash at the End of Period,75818000,68809000,68584000,34135000,49383000,51590000,53210000,90377000
99,Cash at the Beginning of Period,57416000,76866000,67089000,70382000,34135000,49383000,51590000,53210000
100,Free Cash Flow,65349000,73029000,108176000,80404000,94438000,106256000,110223000,168521000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1433642/000143364218000038/0001433642-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1433642/000143364219000071/0001433642-19-000071-index.html,https://www.sec.gov/Archives/edgar/data/1433642/000143364220000039/0001433642-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1433642/000143364221000077/0001433642-21-000077-index.htm
102,false,,,,,,,,
