,https://roic.ai/company/CRM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5435000,22409000,50991000,96023000,176375000,309857000,497098000,748700000,1076769000,1305583000,1657139000,2266539000,3050195000,4071003000,5373586000,6667216000,8391984000,10480012000,13282000000,17098000000,21252000000,26492000000
2,COGS,3422000,6047000,10363000,17273000,33454000,69126000,118890000,171591000,220471000,257925000,323813000,488886000,683579000,968428000,1289270000,1654548000,2234039000,2773522000,3451000000,4235000000,5438000000,7026000000
3,Gross Profit,2013000,16362000,40628000,78750000,142921000,240731000,378208000,577109000,856298000,1047658000,1333326000,1777653000,2366616000,3102575000,4084316000,5012668000,6157945000,7706490000,9831000000,12863000000,15814000000,19466000000
4,Gross Profit Ratio,0.3704,0.7302,0.7968,0.8201,0.8103,0.7769,0.7608,0.7708,0.7952,0.8024,0.8046,0.7843,0.7759,0.7621,0.7601,0.7518,0.7338,0.7354,0.7402,0.7523,0.7441,0.7348
5,Research and Development Exp.,3366000,5308000,4648000,6962000,9822000,23330000,44614000,63812000,99530000,131897000,187887000,295347000,429479000,623798000,792917000,946300000,1208127000,1553073000,1886000000,2766000000,3598000000,4465000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,158613000,195290000,255913000,347781000,433821000,596719000,679936000,711621000,967563000,1088358000,1346000000,1704000000,2087000000,2598000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,534413000,605199000,792029000,1169610000,1614026000,2168132000,2757096000,3239824000,3918027000,4829291000,6064000000,7930000000,9674000000,11855000000
8,"Selling, General and Administrative Exp.",32247000,32922000,46480000,71515000,126579000,197584000,337192000,492988000,693026000,800489000,1047942000,1517391000,2047847000,2764851000,3437032000,3951445000,4885590000,5917649000,7410000000,9634000000,11761000000,14453000000
9,Other Expenses,- -,7657000,- -,-3445000,- -,-285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,35613000,45887000,51128000,75032000,136401000,220629000,381806000,556800000,792556000,932386000,1235829000,1812738000,2477326000,3388649000,4229949000,4897745000,6093717000,7470722000,9296000000,12400000000,15359000000,18918000000
11,COGS and Expenses,39035000,51934000,61491000,92305000,169855000,289755000,500696000,728391000,1013027000,1190311000,1559642000,2301624000,3160905000,4357077000,5519219000,6552293000,8327756000,10244244000,12747000000,16635000000,20797000000,25944000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,25236000,- -,28273000,20791000,17903000,9512000,10129000,14146000,21901000,36480000,61000000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,2569000,2000000,24909000,17045000,30948000,77211000,73237000,72485000,88988000,86943000,154000000,- -,- -,- -
14,Depreciation and Amortization,- -,- -,5549000,11190000,18745000,20633000,35885000,66414000,94703000,53177000,75746000,157286000,216795000,369423000,448296000,525750000,632245000,752600000,962000000,2135000000,2846000000,3298000000
15,EBITDA,-31671000,-28609000,-4167000,15245000,27308000,47797000,46161000,108155000,178257000,193585000,199730000,141014000,119949000,88699000,308448000,662514000,746616000,1041651000,2099000000,2841000000,5407000000,4830000000
16,EBITDA ratio,-5.8272,-1.2767,-0.0817,0.1588,0.1548,0.1543,0.0929,0.1445,0.1655,0.1483,0.1205,0.0622,0.0393,0.0218,0.0574,0.0994,0.0890,0.0994,0.1580,0.1662,0.2544,0.1823
17,Operating Income,-33600000,-29525000,-10500000,3718000,6520000,20102000,-3598000,20309000,63742000,115272000,97497000,-35085000,-110710000,-286074000,-145633000,114923000,64228000,235768000,535000000,297000000,455000000,548000000
18,Operating Income ratio,-6.1822,-1.3176,-0.2059,0.0387,0.0370,0.0649,-0.0072,0.0271,0.0592,0.0883,0.0588,-0.0155,-0.0363,-0.0703,-0.0271,0.0172,0.0077,0.0225,0.0403,0.0174,0.0214,0.0207
19,Total Other Income Expenses (Gains),1736000,491000,492000,521000,2633000,8096000,16094000,25904000,21850000,27109000,6801000,1768000,-17084000,-71861000,-67452000,-50644000,-38845000,-33660000,448000000,409000000,2106000000,984000000
20,Income Before Tax,-31864000,-29034000,-10008000,4239000,9153000,28198000,12496000,46213000,85592000,142381000,104298000,-33317000,-127794000,-357935000,-213085000,64279000,25383000,202108000,983000000,706000000,2561000000,1532000000
21,Income Before Tax Ratio,-5.8627,-1.2956,-0.1963,0.0441,0.0519,0.0910,0.0251,0.0617,0.0795,0.1091,0.0629,-0.0147,-0.0419,-0.0879,-0.0397,0.0096,0.0030,0.0193,0.0740,0.0413,0.1205,0.0578
22,Income Tax expense (Gain),- -,- -,- -,541000,1217000,-1310000,9795000,23385000,37557000,57689000,34601000,-21745000,142651000,-125760000,49603000,111705000,-154249000,74630000,-127000000,580000000,-1511000000,88000000
23,Net Income,-31671000,-28609000,-9716000,3514000,7346000,28474000,481000,18356000,43428000,80719000,64474000,-11572000,-270445000,-232175000,-262688000,-47426000,179632000,127478000,1110000000,126000000,4072000000,1444000000
24,Net Income ratio,-5.8272,-1.2767,-0.1905,0.0366,0.0416,0.0919,0.0010,0.0245,0.0403,0.0618,0.0389,-0.0051,-0.0887,-0.0570,-0.0489,-0.0071,0.0214,0.0122,0.0836,0.0074,0.1916,0.0545
25,EPS,-0.59,-0.34,-0.09,0.03,0.03,0.07,0.00,0.04,0.09,0.16,0.13,-0.02,-0.48,-0.39,-0.42,-0.07,0.26,0.18,1.48,0.15,4.48,1.51
26,EPS Diluted,-0.59,-0.34,-0.09,0.01,0.02,0.06,0.00,0.04,0.09,0.16,0.12,-0.02,-0.48,-0.39,-0.42,-0.07,0.26,0.17,1.43,0.15,4.38,1.48
27,Weighted Average Shares Outstanding,53256000,84156000,105500000,118420000,302012000,429096000,449544000,467360000,484732000,497848000,520888000,541208000,564896000,597613000,624148000,661647000,687797000,714919000,751000000,829000000,908000000,955000000
28,Weighted Average Shares Outstanding Diluted,53256000,84156000,105500000,381636000,443496000,474948000,480616000,489688000,500912000,512456000,548714894,541208000,564896000,597613000,624148000,661647000,700217000,734598000,775000000,850000000,930000000,974000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000008/0001108524-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000013/0001108524-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,8709000,10463000,35731000,99842000,86608000,279095000,483834000,1011306000,424292000,607284000,747245000,781635000,908117000,1158363000,1606549000,2543484000,2669000000,4145000000,6195000000,5464000000
32,Short-Term Investments,- -,- -,7300000,25349000,83087000,107723000,165816000,171748000,213769000,230659000,72678000,170582000,120376000,57139000,87312000,183018000,602338000,1978221000,1673000000,3802000000,5771000000,5073000000
33,Cash and Short-Term Investments,- -,- -,16009000,35812000,118818000,207565000,252424000,450843000,697603000,1241965000,496970000,777866000,867621000,838774000,995429000,1341381000,2208887000,4521705000,4342000000,7947000000,11966000000,10537000000
34,Net Receivables,- -,- -,9581000,26536000,48874000,76128000,128693000,220061000,266555000,320956000,426943000,683745000,872634000,1360837000,1905506000,2523506000,3230820000,3950093000,4924000000,6174000000,7786000000,9739000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,4377000,11798000,11023000,19524000,37979000,69907000,104399000,143238000,151011000,210611000,275625000,480641000,649137000,482440000,557120000,818573000,1417000000,1842000000,2137000000,2574000000
37,Total Current Assets,- -,- -,29967000,74146000,178715000,303217000,419096000,740811000,1068557000,1706159000,1074924000,1672222000,2015880000,2680252000,3550072000,4347327000,5996827000,9290371000,10683000000,15963000000,21889000000,22850000000
38,PP&E,- -,- -,4988000,5069000,7637000,24216000,30155000,41380000,77027000,89711000,387174000,527946000,604669000,1240746000,1125866000,1715828000,1787534000,1946527000,2051000000,5415000000,5663000000,5695000000
39,Goodwill,- -,- -,- -,- -,- -,- -,6705000,8556000,44872000,48955000,396081000,785381000,1529378000,3500823000,3782660000,3849937000,7263846000,7314096000,12851000000,25134000000,26318000000,47937000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,11489000,24570000,29989000,34809000,165521000,249542000,270549000,909993000,779248000,653403000,1294258000,995289000,2075000000,5303000000,4114000000,8978000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,18194000,33126000,74861000,83764000,561602000,1034923000,1799927000,4410816000,4561908000,4503340000,8558104000,8309385000,14926000000,30437000000,30432000000,56915000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,184962000,485083000,937652000,723257000,942349000,574732000,1070629000,1904717000,566953000,677283000,1302000000,1963000000,3909000000,4784000000
43,Tax Assets,- -,- -,- -,- -,- -,10416000,20625000,26512000,26589000,27579000,41199000,87587000,19212000,9691000,9275000,15986000,28939000,36523000,- -,- -,2693000000,2623000000
44,Other Non-Current Assets,- -,- -,4718000,8296000,94147000,96900000,176762000,247764000,47826000,67905000,88614000,118219000,146919000,236693000,375232000,283574000,646566000,749713000,1775000000,1348000000,1715000000,2342000000
45,Total Non-Current Assets,- -,- -,9706000,13365000,101784000,131532000,245736000,348782000,411265000,754042000,2016241000,2491932000,3513076000,6472678000,7142910000,8423445000,11588096000,11719431000,20054000000,39163000000,44412000000,72359000000
46,Other Assets,37047000,29713000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,37047000,29713000,39673000,87511000,280499000,434749000,664832000,1089593000,1479822000,2460201000,3091165000,4164154000,5528956000,9152930000,10692982000,12770772000,17584923000,21009802000,30737000000,55126000000,66301000000,95209000000
48,Accounts Payable,- -,- -,606000,2035000,2525000,10212000,8870000,7478000,16379000,14791000,18106000,33258000,14535000,64988000,95537000,71481000,115257000,76465000,165000000,3433000000,4355000000,- -
49,Short-Term Debt,- -,- -,531000,78000,563000,615000,176000,- -,- -,- -,- -,496149000,521278000,572159000,- -,15402000,19594000,1127256000,3000000,750000000,766000000,686000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,3619000,8424000,49135000,100471000,120341000,153026000,184844000,205781000,239699000,305861000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,19171000,49677000,95900000,169175000,284063000,468821000,583763000,690177000,913239000,1291622000,1798640000,2473705000,3286768000,4267667000,5505689000,7094705000,8564000000,10662000000,12607000000,15628000000
52,Other Current Liabilities,- -,- -,8487000,18216000,32683000,54623000,83890000,129618000,166824000,203162000,345121000,502442000,583171000,869336000,1007798000,1262455000,1617813000,1831092000,2523000000,- -,- -,5474000000
53,Total Current Liabilities,- -,- -,28795000,70006000,131671000,234625000,376999000,605917000,766966000,908130000,1276466000,2323471000,2917624000,3980188000,4390103000,5617005000,7258353000,10129518000,11255000000,14845000000,17728000000,21788000000
54,Long-Term Debt,- -,- -,78000,- -,721000,184000,6000,- -,20106000,463683000,498025000,48651000,126658000,1936404000,2197593000,2040950000,2689952000,1372204000,3173000000,5118000000,5515000000,13295000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,10263000,14171000,21702000,88673000,64355000,48410000,34681000,23886000,37113000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18481000,- -,- -,108760000,94396000,85996000,99378000,115717000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,66265000,62967000,1596000,1155000,1402000,22674000,- -,17551000,- -,37258000,49074000,13953000,1026000,66000,- -,- -,704000000,1278000000,1565000000,1995000000
58,Total Non-Current Liabilities,- -,- -,66343000,62967000,2317000,1339000,1408000,22674000,30369000,495405000,538208000,174582000,240087000,2107527000,2327696000,2150898000,2826443000,1487921000,3877000000,6396000000,7080000000,15290000000
59,Other Liabilities,66376000,19924000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,78000,- -,721000,184000,6000,- -,7616000,13485000,25487000,48651000,126658000,634474000,826901000,762405000,701155000,779962000,- -,3195000000,3608000000,3389000000
61,Total Liabilities,66376000,19924000,95138000,132973000,133988000,235964000,378407000,628591000,797335000,1403535000,1814674000,2498053000,3157711000,6087715000,6717799000,7767903000,10084796000,11617439000,15132000000,21241000000,24808000000,37078000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,29000,32000,105000,111000,115000,119000,123000,127000,133000,137000,146000,610000,651000,671000,708000,730000,1000000,1000000,1000000,1000000
64,Retained Earnings,-37123000,-65732000,-75448000,-71934000,-64588000,-36114000,-35633000,-17586000,25842000,106561000,171035000,159463000,-110982000,-343157000,-605845000,-653271000,-464910000,-337432000,1735000000,1861000000,5933000000,7377000000
65,Other Comprehensive Income/Loss,- -,- -,-11156000,-9915000,-7634000,-4636000,-2187000,-2276000,-2905000,-1430000,6719000,12683000,17137000,17680000,-24108000,-49917000,-75841000,-27142000,-58000000,-93000000,-42000000,-166000000
66,Other Total Stockholders Equity,7794000,75521000,30700000,35580000,217248000,237010000,319496000,471802000,648724000,938544000,1098604000,1493818000,2464944000,3390082000,4604485000,5705386000,8040170000,9756207000,13927000000,32116000000,35601000000,50919000000
67,Total Stockholders Equity,-29329000,9789000,-55875000,-46237000,145131000,196371000,281791000,452059000,671784000,1043802000,1276491000,1666101000,2371245000,3065215000,3975183000,5002869000,7500127000,9392363000,15605000000,33885000000,41493000000,58131000000
68,Total Liabilities And Stockholders Equity,37047000,29713000,39263000,86736000,279119000,432335000,660198000,1080650000,1469119000,2447337000,3091165000,4164154000,5528956000,9152930000,10692982000,12770772000,17584923000,21009802000,30737000000,55126000000,66301000000,95209000000
69,Minority Interest,- -,- -,410000,775000,1380000,2414000,4634000,8943000,10703000,12864000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,37047000,29713000,39673000,87511000,280499000,434749000,664832000,1089593000,1479822000,2460201000,3091165000,4164154000,5528956000,9152930000,10692982000,12770772000,17584923000,21009802000,30737000000,55126000000,66301000000,95209000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000008/0001108524-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000013/0001108524-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-9716000,3514000,7346000,28474000,481000,18356000,43428000,80719000,64474000,-11572000,-270445000,-232175000,-262688000,-47426000,179632000,127478000,1110000000,126000000,4072000000,1444000000
74,Depreciation and Amortization,- -,- -,5549000,11190000,18745000,20633000,35885000,66414000,94703000,53177000,75746000,157286000,216795000,369423000,448296000,525750000,632245000,752600000,962000000,2135000000,2846000000,3298000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2003000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120429000,229258000,379350000,503280000,564765000,593628000,820367000,997013000,1283000000,1785000000,2190000000,2779000000
