,https://roic.ai/company/AFYA,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,216008000,333935000,750630000,1201191000,1719371000
2,COGS,124065000,168052000,308853000,434654000,652300000
3,Gross Profit,91943000,165883000,441777000,766537000,1067071000
4,Gross Profit Ratio,0.4256,0.4968,0.5885,0.6381,0.6206
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,45355000,70034000,239120000,402855000,622615000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",45355000,70034000,239120000,402855000,622615000
9,Other Expenses,-2755000,-599000,4207000,2008000,6867000
10,Operating Expenses,42600000,69435000,243327000,404863000,629482000
11,COGS and Expenses,166665000,237487000,552180000,839517000,1281782000
12,Interest Income ,3174000,4364000,9680000,11876000,23040000
13,Interest Expense (Gain),1042000,2404000,55471000,70001000,175649000
14,Depreciation and Amortization,4023000,9078000,73152000,108744000,154220000
15,EBITDA,52958000,101823000,296714000,497887000,584374000
16,EBITDA ratio,0.2452,0.3049,0.3953,0.4145,0.3399
17,Operating Income,49343000,96448000,205251000,363335000,440895000
18,Operating Income ratio,0.2284,0.2888,0.2734,0.3025,0.2564
19,Total Other Income Expenses (Gains),1636000,2274000,-18314000,-28281000,-167433000
20,Income Before Tax,50979000,98722000,186937000,335054000,273462000
21,Income Before Tax Ratio,0.2360,0.2956,0.2490,0.2789,0.1590
22,Income Tax expense (Gain),2500000,3988000,14175000,27067000,31179000
23,Net Income,45393000,86353000,153916000,292075000,223326000
24,Net Income ratio,0.2101,0.2586,0.2050,0.2432,0.1299
25,EPS,0.52,0.98,2.03,3.15,2.39
26,EPS Diluted,0.52,0.98,2.02,3.12,2.37
27,Weighted Average Shares Outstanding,87682644,87682644,75969797,92722222,93291480
28,Weighted Average Shares Outstanding Diluted,87682644,87682644,76191643,93613782,94103298
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1771007/000129281421001953/0001292814-21-001953-index.htm,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,25490000,62260000,943209000,1045042000,748562000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,25490000,62260000,943209000,1045042000,748562000
34,Net Receivables,32738000,60710000,131924000,323336000,403930000
35,Inventory,448000,1115000,3932000,7509000,11827000
36,Other Current Assets,1802000,9415000,32700000,29614000,42533000
37,Total Current Assets,60478000,133500000,1111765000,1405501000,1206852000
38,PP&E,32475000,65763000,413595000,679455000,1083494000
39,Goodwill,- -,169535000,459409000,810656000,1184336000
40,Intangible Assets,4729000,512934000,852929000,1762354000,2716499000
41,Intangible Assets,4729000,682469000,1312338000,2573010000,3900835000
42,Investments,- -,- -,45634000,51410000,48477000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5943000,36686000,29121000,83717000,207748000
45,Total Non-Current Assets,43147000,784918000,1800688000,3387592000,5240554000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,103625000,918418000,2912453000,4793093000,6447406000
48,Accounts Payable,6739000,96972000,149511000,224163000,298947000
49,Short-Term Debt,1161000,26800000,76300000,179641000,168153000
50,Tax Payable,2579000,6750000,22655000,37550000,38364000
51,Deferred Revenue,8250000,13737000,36860000,63839000,114585000
52,Other Current Liabilities,35792000,44823000,70558000,121736000,184821000
53,Total Current Liabilities,51942000,182332000,333229000,589379000,766506000
54,Long-Term Debt,2662000,51029000,268572000,961728000,1993534000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2259000,94703000,196926000,408206000,687348000
58,Total Non-Current Liabilities,4921000,145732000,465498000,1369934000,2680882000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,284515000,447703000,714085000
61,Total Liabilities,56863000,328064000,798727000,1959313000,3447388000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,66485000,315000000,17000,17000,17000
64,Retained Earnings,- -,- -,- -,407991000,631317000
65,Other Comprehensive Income/Loss,43214000,59807000,115916000,- -,- -
66,Other Total Stockholders Equity,-63588000,127175000,1949161000,2374212000,2316815000
67,Total Stockholders Equity,46111000,501982000,2065094000,2782220000,2948149000
68,Total Liabilities And Stockholders Equity,102974000,830046000,2863821000,4741533000,6395537000
69,Minority Interest,651000,88372000,48632000,51560000,51869000
70,Total Liabilities & Equity,103625000,918418000,2912453000,4793093000,6447406000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1771007/000129281421001953/0001292814-21-001953-index.htm,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,45393000,86353000,153916000,292075000,273462000
74,Depreciation and Amortization,4023000,9078000,73152000,108744000,154220000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,2161000,18114000,32610000,43377000
77,Change in Working Capital,-14658000,-36439000,-24599000,-169139000,-48795000
78,Accounts Receivable,-9789000,-28198000,-35556000,-164286000,-79665000
79,Inventory,-140000,-593000,-236000,-3110000,-3720000
80,Accounts Payable,-2377000,-1528000,3029000,4475000,14479000
81,Other Working Capital,4278000,-662000,25448000,9174000,59458000
82,Other Non-Cash Items,5159000,19165000,78633000,107217000,208603000
83,Cash Provided by Operating Activities,39917000,80318000,299216000,371507000,630867000
84,CAPEX,-21066000,-21687000,-121709000,-137585000,-276800000
85,Acquisitions Net,- -,-221298000,-241568000,-913991000,-1006057000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-5292000,-22457000,-55617000,-38939000,-142126000
89,Cash Used for Investing Activites,-22070000,-262389000,-354149000,-1042762000,-1274052000
90,Debt Repayment,-1619000,-6598000,-114872000,-210545000,-245827000
91,Common Stock Issued,- -,- -,992778000,389170000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-213722000
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,-2506000,225439000,43529000,577797000,824227000
95,Cash Used/Provided by Financing Activities,-4125000,218841000,921435000,756422000,364678000
96,Effect of Forex Changes on Cash,- -,- -,14447000,16666000,-17973000
97,Net Change In Cash,13722000,36770000,880949000,101833000,-296480000
98,Cash at the End of Period,25490000,62260000,943209000,1045042000,748562000
99,Cash at the Beginning of Period,11768000,25490000,62260000,943209000,1045042000
100,Free Cash Flow,18851000,58631000,177507000,233922000,354067000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1771007/000129281421001953/0001292814-21-001953-index.htm,- -
102,Forex Rate,0.3019,0.2576,0.2488,0.1925,0.1795
