,https://roic.ai/company/HEI-A,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,32300000,47300000,46900000,43200000,26500000,26200000,25400000,21700000,25900000,32400000,40400000,34600000,63700000,95400000,141300000,202909000,171259000,172112000,176453000,215744000,269647000,392190000,507924000,582347000,538296000,617020000,764891000,897347000,1008757000,1132311000,1188648000,1376258000,1524813000,1777721000,2055647000,1787009000,1865682000
2,COGS,18400000,25000000,24600000,26800000,14800000,17400000,15000000,12800000,16300000,20700000,25300000,20300000,41400000,56400000,77600000,117323000,100113000,110610000,118349000,139932000,168651000,249677000,330466000,371852000,357285000,394673000,490450000,569911000,637576000,733999000,754469000,860766000,950088000,1087006000,1241807000,1104882000,1138259000
3,Gross Profit,13900000,22300000,22300000,16400000,11700000,8800000,10400000,8900000,9600000,11700000,15100000,14300000,22300000,39000000,63700000,85586000,71146000,61502000,58104000,75812000,100996000,142513000,177458000,210495000,181011000,222347000,274441000,327436000,371181000,398312000,434179000,515492000,574725000,690715000,813840000,682127000,727423000
4,Gross Profit Ratio,0.4303,0.4715,0.4755,0.3796,0.4415,0.3359,0.4094,0.4101,0.3707,0.3611,0.3738,0.4133,0.3501,0.4088,0.4508,0.4218,0.4154,0.3573,0.3293,0.3514,0.3745,0.3634,0.3494,0.3615,0.3363,0.3604,0.3588,0.3649,0.3680,0.3518,0.3653,0.3746,0.3769,0.3885,0.3959,0.3817,0.3899
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305479000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7100000,8600000,8700000,11000000,5300000,5200000,6200000,6500000,7500000,7300000,8000000,7700000,11500000,17100000,24700000,36576000,39578000,39102000,34899000,43193000,56347000,75646000,91444000,104707000,92756000,113174000,136010000,164142000,187591000,194924000,204523000,250147000,268067000,314470000,356743000,305479000,334523000
9,Other Expenses,900000,1200000,1600000,1900000,2400000,1800000,1800000,1900000,1600000,2000000,2600000,2100000,1600000,2800000,6100000,9775000,577000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,8000000,9800000,10300000,12900000,7700000,7000000,8000000,8400000,9100000,9300000,10600000,9800000,13100000,19900000,30800000,46351000,40155000,39102000,34899000,43193000,56347000,75646000,91444000,104707000,92756000,113174000,136010000,164142000,187591000,194924000,204523000,250147000,268067000,314470000,356743000,305479000,334523000
11,COGS and Expenses,26400000,34800000,34900000,39700000,22500000,24400000,23000000,21200000,25400000,30000000,35900000,30100000,54500000,76300000,108400000,163674000,140268000,149712000,153248000,183125000,224998000,325323000,421910000,476559000,450041000,507847000,626460000,734053000,825167000,928923000,958992000,1110913000,1218155000,1401476000,1598550000,1410361000,1472782000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,615000,508000,142000,2432000,3717000,5441000,4626000,8272000,9790000,19901000,21695000,13159000,7285000
14,Depreciation and Amortization,900000,1200000,1600000,1900000,2400000,1800000,1800000,1900000,1600000,2000000,2600000,2100000,1600000,2800000,6100000,9775000,10588000,4532000,5081000,6779000,7409000,10565000,12167000,15052000,14967000,17597000,18543000,30656000,36790000,47757000,47907000,60277000,64823000,77191000,83497000,88561000,93019000
15,EBITDA,5900000,13100000,14400000,5600000,-1500000,2000000,4900000,700000,2700000,4600000,7000000,13700000,11900000,20200000,34000000,55601000,37901000,24688000,25175000,38357000,46321000,63353000,78702000,99013000,88208000,109743000,134405000,172735000,199103000,234291000,257297000,305641000,350898000,426925000,511188000,466575000,461824000
16,EBITDA ratio,0.1827,0.2770,0.3070,0.1296,-0.0566,0.0763,0.1929,0.0323,0.1042,0.1420,0.1733,0.3960,0.1868,0.2117,0.2406,0.2740,0.2213,0.1434,0.1427,0.1778,0.1718,0.1615,0.1549,0.1700,0.1639,0.1779,0.1757,0.1925,0.1974,0.2069,0.2165,0.2221,0.2301,0.2402,0.2487,0.2611,0.2475
17,Operating Income,5900000,12500000,12000000,3500000,4000000,1800000,2400000,500000,500000,2400000,4500000,4500000,9200000,19100000,32900000,39235000,30991000,22400000,23205000,32619000,44649000,66867000,86014000,105788000,88255000,109173000,138431000,163294000,183590000,203388000,229656000,265345000,306658000,376245000,457097000,376648000,392900000
18,Operating Income ratio,0.1827,0.2643,0.2559,0.0810,0.1509,0.0687,0.0945,0.0230,0.0193,0.0741,0.1114,0.1301,0.1444,0.2002,0.2328,0.1934,0.1810,0.1301,0.1315,0.1512,0.1656,0.1705,0.1693,0.1817,0.1640,0.1769,0.1810,0.1820,0.1820,0.1796,0.1932,0.1928,0.2011,0.2116,0.2224,0.2108,0.2106
19,Total Other Income Expenses (Gains),-900000,-600000,800000,200000,-1500000,900000,700000,-1700000,100000,-200000,-100000,900000,1100000,-1700000,-5000000,8013000,-3678000,-921000,-1096000,3936000,-608000,-2884000,-3198000,-2951000,-410000,-118000,-78000,-2119000,-2829000,-4816000,-4692000,-8295000,-8698000,-19959000,-19256000,-11793000,-5842000
20,Income Before Tax,5000000,11900000,12800000,3700000,2500000,2700000,3100000,-1200000,600000,2200000,4400000,5400000,10300000,17400000,27900000,47248000,27313000,21479000,22109000,36555000,44041000,63983000,82816000,102837000,87845000,109055000,138353000,161175000,180761000,198572000,224964000,257050000,297960000,356286000,437841000,364855000,387058000
