,https://roic.ai/company/AMRX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,1018225000,1033654000,1662991000,1626373000,1992523000,2093669000
2,COGS,420770000,507476000,946588000,1273376000,1364130000,22692000
3,Gross Profit,597455000,526178000,716403000,352997000,628393000,2070977000
4,Gross Profit Ratio,0.5868,0.5090,0.4308,0.2170,0.3154,0.9892
5,Research and Development Exp.,204747000,191938000,249710000,248906000,193265000,710000
6,General and Administrative Exp.,118757000,109046000,230435000,289598000,326727000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",118757000,109046000,230435000,289598000,326727000,365504000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,323504000,300984000,480145000,538504000,519992000,366214000
11,COGS and Expenses,744274000,808460000,1426733000,1811880000,1884122000,388906000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),55283000,71061000,143571000,168205000,145998000,-136325000
14,Depreciation and Amortization,33016000,45936000,137403000,207235000,235387000,233406000
15,EBITDA,301072000,286643000,109829000,396854000,368086000,128447000
16,EBITDA ratio,0.2957,0.2773,0.0660,0.2440,0.1847,0.0614
17,Operating Income,284881000,245103000,-19673000,-248682000,91155000,152716000
18,Operating Income ratio,0.2798,0.2371,-0.0118,-0.1529,0.0457,0.0729
19,Total Other Income Expenses (Gains),-70060000,-73780000,-183049000,28440000,-126935000,-121350000
20,Income Before Tax,214821000,171323000,-202722000,-220242000,-35780000,31366000
21,Income Before Tax Ratio,0.2110,0.1657,-0.1219,-0.1354,-0.0180,0.0150
22,Income Tax expense (Gain),5395000,1998000,-1419000,383331000,-104358000,11196000
23,Net Income,207378000,167648000,-169726000,-361917000,91059000,20170000
24,Net Income ratio,0.2037,0.1622,-0.1021,-0.2225,0.0457,0.0096
25,EPS,1.81,1.46,-0.16,-2.74,0.62,0.14
26,EPS Diluted,1.81,1.46,-0.16,-2.74,0.61,0.14
27,Weighted Average Shares Outstanding,114859163,114859163,127252000,132106000,147443000,147443000
28,Weighted Average Shares Outstanding Diluted,114859163,114859163,127252000,132106000,148913000,148913000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1723128/000172312818000005/0001723128-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000172312819000028/0001723128-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000156459020008179/0001564590-20-008179-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000172312821000013/0001723128-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000172312822000006/0001723128-22-000006-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,74166000,213394000,151197000,341378000,247790000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,74166000,213394000,151197000,341378000,247790000
34,Net Receivables,- -,382727000,565322000,635893000,674214000,662583000
35,Inventory,- -,284038000,457219000,381067000,490649000,489389000
36,Other Current Assets,- -,31002000,50709000,42053000,45298000,-247790000
37,Total Current Assets,- -,771933000,1286644000,1210210000,1551539000,1151972000
38,PP&E,- -,486758000,544146000,609153000,604710000,554057000
39,Goodwill,- -,26444000,426226000,419504000,522814000,593017000
40,Intangible Assets,- -,44599000,1654969000,1382753000,1304626000,1166922000
41,Intangible Assets,- -,71043000,2081195000,1802257000,1827440000,1759939000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,898000,373159000,- -,- -,- -
44,Other Non-Current Assets,- -,11257000,67592000,44270000,22344000,- -
45,Total Non-Current Assets,- -,569956000,3066092000,2455680000,2454494000,2313996000
46,Other Assets,- -,- -,- -,- -,- -,5101688000
47,Total Assets,- -,1341889000,4352736000,3665890000,4006033000,3939664000
48,Accounts Payable,- -,70013000,114846000,103021000,153140000,- -
49,Short-Term Debt,- -,89482000,21715000,36954000,55680000,37431000
50,Tax Payable,- -,- -,- -,8729000,5538000,- -
