,https://roic.ai/company/AIRT,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11500000,15800000,17700000,25600000,20100000,26800000,30700000,33000000,36100548,35103272,51025640,52120017,58846138,70245873,70958103,42871727,55996845,69999438,79528631,67303345,78398806,90668010,81076989,83361932,89382131,103064239,100772045,112181158,148211938,148471659,194519345,249834478,236785000,175121000
2,COGS,7400000,12000000,14100000,21700000,15600000,20800000,24600000,26400000,29542330,28508503,41226786,43312271,49428541,58164625,58776058,34936696,44134089,57523729,66096434,53228729,62700952,72321581,64584157,69071573,75717558,87874955,85319615,95410574,123268471,128323989,160909403,203372454,189896000,143450000
3,Gross Profit,4100000,3800000,3600000,3900000,4500000,6000000,6100000,6600000,6558218,6594769,9798854,8807746,9417597,12081248,12182045,7935031,11862756,12475709,13432197,14074616,15697854,18346429,16492832,14290359,13664573,15189284,15452430,16770584,24943467,20147670,33609942,46462024,46889000,31671000
4,Gross Profit Ratio,0.3565,0.2405,0.2034,0.1523,0.2239,0.2239,0.1987,0.2000,0.1817,0.1879,0.1920,0.1690,0.1600,0.1720,0.1717,0.1851,0.2118,0.1782,0.1689,0.2091,0.2002,0.2023,0.2034,0.1714,0.1529,0.1474,0.1533,0.1495,0.1683,0.1357,0.1728,0.1860,0.1980,0.1809
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,777942,1042496,195653,- -,- -,- -
6,General and Administrative Exp.,1600000,2400000,2000000,2200000,2500000,3200000,3300000,3600000,3815987,4234113,5970003,7212251,7521446,8738131,9139897,6892795,7903173,8373195,9591353,9582151,10171711,11242304,10643656,10589408,11335044,12456893,12843507,14222996,18139830,22180477,29168766,38376113,39617000,34264000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1600000,2400000,2000000,2200000,2500000,3200000,3300000,3600000,3815987,4234113,5970003,7212251,7521446,8738131,9139897,6892795,7903173,8373195,9591353,9582151,10171711,11242304,10643656,10589408,11335044,12456893,12843507,14222996,18139830,22180477,29168766,38376113,39617000,34264000
9,Other Expenses,900000,900000,100000,300000,200000,300000,11900000,12600000,30027041,28880118,41796115,43961200,50350332,58990643,59442447,35514412,44691640,58157547,66779533,53894547,63173407,437744,415104,262500,255989,- -,- -,- -,- -,- -,-562500,- -,- -,- -
